PDB,plddt,inactive_rmsd_global,active_rmsd_global,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_103_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.78250632911393,3.7522397,3.0743678,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.04179746835443,3.6856627,4.033646,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_105_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,79.39273417721519,4.3346133,2.15919,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_100_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,69.24430379746835,3.5870044,4.0133524,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_101_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.27237974683544,3.4967477,3.327761,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_86_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,78.0886835443038,3.5035427,3.1896038,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.31078481012659,3.3382423,3.9456,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.40615189873418,3.4265804,3.0250704,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.059417721519,3.536952,3.5259614,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_85_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.28078481012658,3.581192,4.142712,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_65_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.17032911392404,3.532877,3.0420575,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.86420253164557,4.38609,1.8811998,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_56_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.74359493670886,4.37481,2.0825047,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.91774683544304,3.6823692,2.740619,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_96_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.96924050632913,4.5844536,1.9992658,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,78.44035443037974,4.6241903,2.281847,17,1
