Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,9,1180,5022
MGYP001123568598,8,124,496
UniRef100_A0A418WJD0,9,113,496
UniRef100_UPI00167A9604,9,135,496
UniRef100_A0A7L9R975,9,109,496
UniRef100_C7BQE6,9,115,496
UniRef100_UPI001B7FA06B,10,140,496
SRR5437868_4540218,9,133,496
UniRef100_A0A967Z7J6,9,119,496
SRR5271157_1784534,10,115,496
UniRef100_A0A7H1NRP5,9,139,496
UniRef100_UPI001C955149,9,142,496
A1U820,9,130,496
ERR1041385_1377671,9,125,496
11762|Ga0302304_11169405_1|+1|10,9,118,496
21914|scaffold342203_1|+3|10,9,98,496
SRR3546814_10981111,9,108,496
UniRef100_A0A9C8ZLM4,9,114,496
MGYP000902592058,9,118,496
MGYP000573705625,9,102,496
UniRef100_A0A850NR02,10,143,496
UniRef100_A0A1M4V0G9,9,121,496
SRR5262245_37979910,9,111,496
UniRef100_UPI001F0831BE,9,111,496
C8X073,9,114,496
MGYP000745980588,9,130,496
SRR5207237_7740672,9,150,496
UniRef100_UPI00200C6B7A,9,134,496
UniRef100_A0A2H4ZGA3,8,115,496
UniRef100_A0A2E2E4D2,9,101,496
SRR5437899_12896882,9,123,496
MGYP001097629024,9,152,496
UniRef100_A0A9E8KW24,3,122,496
SRR6266571_3389742,9,132,496
A0A0K1RDY7,9,115,496
A0A1Z4GWV5,9,116,496
UniRef100_UPI001F06B515,9,111,496
UniRef100_A0A095VEB3,9,131,496
ERR1041385_7264329,9,133,496
MGYP000980434614,9,118,496
UniRef100_A0A0W0VKW3,8,118,496
MGYP000238057308,9,113,496
SRR5207248_10630720,9,122,496
MGYP000100174614,8,108,496
SRR5258706_2057691,9,94,496
SRR5579885_3479564,9,118,496
UniRef100_UPI0019803722,9,109,496
SRR5882724_4872393,8,117,496
SRR5690242_18904345,8,128,496
A0A2E2P0E8,8,113,496
UniRef100_A0A1H3XN79,8,114,496
UniRef100_A0A934CSS0,9,126,496
ERR1035437_754504,8,101,496
UniRef100_UPI00035DB439,9,115,496
UniRef100_UPI00082B17F8,9,125,496
UniRef100_A0A2N6GHU1,9,147,496
UniRef100_A0A2S6CYJ4,9,128,496
UniRef100_UPI0021BC712A,9,94,496
UniRef100_UPI000463D749,9,133,496
SRR5690348_6113944,10,138,496
UniRef100_UPI00135BB559,9,103,496
UniRef100_A0A6L8EB95,9,107,496
UniRef100_A0A965PQM7,9,124,496
UniRef100_UPI00037877AE,9,139,496
MGYP000389122552,9,132,496
SRR5690606_8137719,9,94,496
SRR5438105_4791228,9,156,496
MGYP000895608820,8,140,496
UniRef100_UPI001A8F3153,9,103,496
UniRef100_A0A2V7WY84,9,123,496
SRR5689334_21255833,9,175,496
SRR5208283_632435,9,138,496
MGYP000939490761,9,115,496
UniRef100_A0A4R2MZT9,9,112,496
ERR1700730_8013868,9,117,496
SRR3990167_6171658,9,125,496
MGYP000252061614,3,105,496
UniRef100_A0A2T2WLJ2,9,134,496
MGYP000896229227,9,131,496
A0A1I5U8E8,9,119,496
UniRef100_A0A2A6HYF6,9,120,496
UniRef100_A0A1F9CX82,10,98,496
SRR5215469_8101413,9,131,496
UniRef100_A0A511QVQ1,3,106,496
UniRef100_UPI0020127D90,9,131,496
10840|scaffold107852_2|-450|00,10,114,496
MGYP001263537148,9,137,496
SRR5258706_7893928,9,121,496
UniRef100_UPI000882BF59,9,140,496
UniRef100_A0A9D5ZFR0,9,114,496
3300020714.a:Ga0214182_1001246_8,9,101,496
UniRef100_A0A539DW22,9,111,496
A0A139VR67,9,126,496
UniRef100_A0A5N5RJM2,9,100,496
UniRef100_A0A7Y0BRS8,9,105,496
MGYP000067756917,10,109,496
