PDB,plddt,2haw_tmscore,1k23_tmscore,seq_count
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.42569579288019,0.77375,0.69494,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.43766990291256,0.80705,0.68171,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.14048543689321,0.70948,0.75314,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.71702265372167,0.67774,0.89405,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_65_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.81184466019417,0.82525,0.67681,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.22427184466015,0.86897,0.67883,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_56_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.93145631067961,0.82433,0.67563,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.9960517799353,0.77725,0.69799,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.53145631067966,0.70132,0.7559,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.8292880258899,0.70578,0.76762,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_54_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.63999999999993,0.7073,0.77165,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_28_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.41611650485436,0.69256,0.79025,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.12485436893202,0.72482,0.72364,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_22_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.32880258899674,0.70441,0.77656,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_68_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.53656957928803,0.81771,0.68076,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.86203883495149,0.71778,0.73677,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_21_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.66488673139149,0.85653,0.67494,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_41_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.84278317152099,0.72243,0.71755,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.34307443365697,0.73316,0.71778,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_58_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.36841423948222,0.72688,0.72437,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_50_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.20572815533978,0.71229,0.74838,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.10582524271854,0.71158,0.74095,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_17_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.40346278317155,0.73795,0.70551,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.87789644012943,0.85345,0.6775,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.7433333333333,0.71762,0.73399,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_12_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.60475728155339,0.76279,0.70106,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_63_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.7582524271845,0.73573,0.71192,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_38_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.76262135922329,0.80792,0.68228,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_15_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.53867313915858,0.81888,0.6832,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_23_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.97304207119744,0.82049,0.67991,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_51_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.75336569579295,0.65568,0.75651,11
results/PPAC_BACSU/run1/02_sampling/sampling_42/group_5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.21621359223312,0.73398,0.72419,11
