Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
seq,75,817,12544
UniRef100_UPI0006B0B96E,76,11,111
UniRef100_A0A1V4JSD6,73,10,111
UniRef100_UPI0006B09EE8,75,9,111
UniRef100_UPI0011AE87FE,21,8,111
UniRef100_W4XBI2,23,6,111
UniRef100_UPI000B45CFD2,75,11,111
UniRef100_R7V8G0,73,11,111
UniRef100_UPI0011F1F387,75,7,111
UniRef100_UPI00105595D2,22,9,111
UniRef100_A0A3Q0QNB7,73,7,111
UniRef100_F6YF06,75,11,111
UniRef100_UPI0012B56F13,25,7,111
UniRef100_A0A402FK03,22,11,111
UniRef100_E9GME2,74,9,111
UniRef100_A0A1W4U6F9,75,9,111
UniRef100_UPI0012B5F0D5,24,7,111
UniRef100_UPI0006D92F69,74,14,111
UniRef100_A0A0B2UYY4,21,8,111
UniRef100_UPI000BBDA686,76,8,111
UniRef100_UPI0009753652,75,13,111
UniRef100_UPI0003D734C8,24,8,111
UniRef100_UPI0003F07D15,24,8,111
UniRef100_F6YCW2,76,10,111
UniRef100_UPI000E776DC9,75,6,111
UniRef100_UPI00057753CB,73,7,111
UniRef100_UPI000BBDB0C8,75,14,111
UniRef100_A0A5Q0TX28,74,7,111
UniRef100_A0A2G8LB39,19,9,111
UniRef100_A0A2Z5H022,27,7,111
UniRef100_UPI001185D873,74,8,111
UniRef100_UPI000334701F,73,8,111
UniRef100_A0A3Q0SL56,21,8,111
UniRef100_UPI000BAF4E1E,75,8,111
UniRef100_UPI00034F9FB8,21,9,111
UniRef100_UPI0005298E99,74,10,111
UniRef100_UPI00046298D4,31,8,111
UniRef100_UPI001131E8F0,74,9,111
UniRef100_UPI0012390369,74,7,111
UniRef100_UPI0008FA14A8,75,12,111
UniRef100_UPI0009E56789,74,11,111
UniRef100_A0A3M6TG91,75,8,111
UniRef100_H3K0H0,20,6,111
UniRef100_UPI0008547E61,74,11,111
UniRef100_Q86J18,75,14,111
UniRef100_V4C5L6,75,12,111
UniRef100_H3A397,73,11,111
UniRef100_UPI000C76C00E,76,6,111
UniRef100_UPI00077B08DB,22,6,111
UniRef100_A0A401S7M8,25,9,111
UniRef100_L5L6Z2,75,8,111
UniRef100_G5EDW2,76,11,111
UniRef100_UPI000C764C7D,75,15,111
UniRef100_A0A3Q2QVB5,74,7,111
UniRef100_UPI0003EBD01E,72,6,111
UniRef100_H3A3T7,24,7,111
UniRef100_V5UZ27,75,12,111
UniRef100_UPI001156530D,76,12,111
UniRef100_UPI000E595A8E,74,11,111
UniRef100_A0A0R3S3M4,74,11,111
UniRef100_UPI0011F23916,73,9,111
UniRef100_UPI0012BB607C,75,8,111
UniRef100_UPI0009E63560,75,11,111
UniRef100_UPI0011566B0C,75,10,111
UniRef100_UPI000F677766,75,12,111
UniRef100_UPI0009E5B865,75,8,111
UniRef100_UPI0011309177,74,8,111
UniRef100_UPI001238D748,73,12,111
UniRef100_UPI0012B64AB0,21,7,111
UniRef100_A0A3P8VKY8,74,10,111
UniRef100_W5M1B0,22,8,111
UniRef100_UPI00077FB780,23,8,111
UniRef100_A0A194QDW6,74,7,111
UniRef100_UPI000947B54F,76,7,111
UniRef100_UPI000A2A4A26,76,10,111
UniRef100_UPI0007D886D8,75,14,111
UniRef100_L5M771,75,13,111
UniRef100_A0A3Q2EIM5,28,6,111
UniRef100_A0A3Q0EFX6,74,9,111
UniRef100_Q4S5H7,75,9,111
UniRef100_UPI00052ED2DA,75,9,111
UniRef100_UPI000E55A0A2,75,11,111
UniRef100_UPI00122FB5CC,21,10,111
UniRef100_UPI000FFC296B,30,7,111
UniRef100_A0A183HYQ1,75,12,111
UniRef100_UPI000BAF9335,74,8,111
UniRef100_A0A5A9PQK5,75,8,111
UniRef100_A0A3B4UN04,76,7,111
UniRef100_Q16983,74,11,111
UniRef100_A0A088A7A3,76,11,111
UniRef100_A0A1B0YZ31,75,12,111
UniRef100_A0A3M6TAB4,19,6,111
UniRef100_UPI0012ED5E4C,76,9,111
UniRef100_A0A4W6DFH0,73,8,111
UniRef100_UPI0009751DE3,74,9,111
UniRef100_UPI000D73A729,73,7,111
UniRef100_A0A3R7NRM0,73,8,111
UniRef100_UPI000C1417ED,20,8,111
UniRef100_K7IQB3,73,10,111
UniRef100_UPI001039C979,74,13,111
UniRef100_E9GBT2,76,7,111
UniRef100_UPI000779F74E,76,10,111
UniRef100_UPI000A2A9349,74,6,111
UniRef100_UPI000E40D10D,74,7,111
UniRef100_A0A091R0V3,24,7,111
UniRef100_A0A315V3V9,76,8,111
UniRef100_UPI0007712EF3,76,7,111
UniRef100_UPI0007A6CE07,75,9,111
UniRef100_A0A2K5Q2Q5,74,10,111
UniRef100_UPI000670CAAF,74,7,111
UniRef100_UPI001161C3FC,74,12,111
UniRef100_UPI0005F4D08E,24,7,111
UniRef100_W5KKH7,74,8,111
UniRef100_A0A5G3IRK4,75,16,111
UniRef100_UPI000975355F,75,9,111
UniRef100_A0A1S3JQ97,75,7,111
UniRef100_UPI000B9108A7,19,8,111
UniRef100_UPI000FFD5C78,75,11,111
UniRef100_A0A1B6E7F3,75,8,111
UniRef100_UPI000775C411,75,8,111
UniRef100_UPI000B90DB34,75,10,111
UniRef100_UPI000950DCDD,76,11,111
UniRef100_A0A3R7SH12,19,6,111
UniRef100_UPI000EFDE060,74,10,111
UniRef100_UPI0005D09F11,75,6,111
UniRef100_UPI0012B58ADE,74,8,111
UniRef100_UPI000642FDDF,76,9,111
UniRef100_UPI000FFBBC23,73,10,111
UniRef100_UPI0010F983E2,23,10,111
UniRef100_UPI0007ACA838,73,9,111
UniRef100_UPI0003F074E9,22,7,111
UniRef100_A0A5N4D236,75,8,111
UniRef100_UPI000C200E07,74,12,111
UniRef100_A0A498LVU6,75,13,111
UniRef100_A0A498NUB8,75,10,111
UniRef100_A0A0K0PUJ7,21,9,111
UniRef100_UPI0009B38F93,19,8,111
UniRef100_UPI0008F9FE91,76,9,111
UniRef100_UPI00094EF409,27,7,111
UniRef100_A0A4W5PMI2,25,8,111
UniRef100_A0A5G3IV38,76,9,111
UniRef100_F7BRB5,22,8,111
UniRef100_UPI000B76F141,75,8,111
UniRef100_A0A3Q3MZS2,75,10,111
UniRef100_UPI00076FBABB,75,9,111
UniRef100_UPI000A35F685,21,13,111
UniRef100_UPI000BAEAD00,73,10,111
UniRef100_A0A3B4DJH3,75,10,111
UniRef100_A0A3P8UNI7,75,9,111
UniRef100_UPI000878DA3E,22,6,111
UniRef100_UPI00123BDB60,74,9,111
UniRef100_A0A1X7VAC1,19,6,111
UniRef100_UPI0007E7B34A,25,6,111
UniRef100_A0A3S0ZMB5,75,11,111
UniRef100_B4LCF2,24,6,111
UniRef100_UPI00064BF216,74,8,111
UniRef100_UPI0009E4832A,75,9,111
UniRef100_A0A2I1GX14,75,9,111
UniRef100_U4UXI3,75,13,111
UniRef100_UPI000F54FBD8,22,8,111
UniRef100_A0A0V1KW36,73,9,111
UniRef100_UPI0006B0AD83,24,8,111
UniRef100_UPI000D536D77,73,10,111
UniRef100_UPI00045E101A,75,12,111
UniRef100_UPI000B90DAB6,74,9,111
UniRef100_UPI000BA82972,74,8,111
UniRef100_UPI0010A8E440,74,14,111
UniRef100_UPI00097D37CD,76,11,111
UniRef100_A0A384CBB3,75,13,111
UniRef100_A0A224XPF4,76,13,111
UniRef100_UPI00080A1870,76,8,111
UniRef100_UPI00093E0D39,73,7,111
UniRef100_UPI00038BFD22,73,8,111
UniRef100_W5MTH3,73,9,111
UniRef100_A0A3Q4HHB3,75,10,111
UniRef100_UPI0007B78C31,73,8,111
UniRef100_I3MJT4,76,8,111
UniRef100_A0A182P412,75,17,111
UniRef100_A0A3M6TEA9,21,8,111
UniRef100_A0A2B4RG08,23,10,111
UniRef100_V9KVU9,74,8,111
UniRef100_UPI0003C4C01B,76,9,111
UniRef100_A0A0R3UH35,74,10,111
UniRef100_UPI000BAEF429,74,10,111
UniRef100_UPI0012EDDC5D,74,10,111
