PDB,plddt,seq_count,6fhz_tmscore,6hfb_tmscore
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.27203904555316,13,0.88686,0.85635
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000058_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,90.86082429501084,13,0.87468,0.86454
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.26947939262472,13,0.90329,0.84475
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000052_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.95963123644252,13,0.85822,0.89037
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.11021691973968,13,0.90701,0.83881
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000032_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.52453362255964,13,0.82583,0.92137
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000017_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.4434924078091,13,0.84525,0.90051
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000042_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.4380694143167,13,0.91212,0.83477
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000036_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.33661605206075,13,0.8865,0.85822
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000071_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.82418655097614,13,0.94978,0.80059
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000023_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.30334056399131,13,0.86047,0.87765
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.92863340563991,13,0.77953,0.96326
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000056_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.6439262472885,13,0.89033,0.85476
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.49726681127983,13,0.81426,0.93475
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000022_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,90.02759219088938,13,0.89745,0.84262
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000074_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.45396963123645,13,0.82175,0.92442
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000046_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.88136659436009,13,0.88932,0.86053
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000031_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,90.85572668112798,13,0.86763,0.86818
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000060_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.13505422993491,13,0.92667,0.82644
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000020_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,87.82971800433839,13,0.95253,0.80512
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000027_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.50498915401302,13,0.81686,0.92784
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000075_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.23843817787419,13,0.90747,0.83944
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.84982646420825,13,0.84528,0.90568
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000053_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.70644251626898,13,0.82008,0.92648
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000066_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,90.37590021691976,13,0.9,0.85035
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.90661605206074,13,0.94654,0.81087
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000049_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,89.48982646420824,13,0.8832,0.86142
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000073_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.76162689804772,13,0.89691,0.84066
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000063_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,87.72930585683297,13,0.821,0.92531
results_updated/pfmate/run3/occurrence_voting_6fhz/batches/batch_001/group_000061_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,88.09030368763557,13,0.94124,0.80715
