Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,11,1171,2500
UniRef100_UPI0006FC48C0,11,21,49
SRR4051794_13195825,11,25,49
ERR1700712_4028871,11,19,49
UniRef100_UPI00223AB7E9,11,20,49
MGYP001372220067,11,22,49
SRR5690348_5355741,11,28,49
SRR3954454_8403977,11,20,49
12684|Ga0207652_11722284_1|+1|10,11,21,49
SRR5690606_32734380,11,24,49
SRR5688500_14390133,11,26,49
MGYP000968435101,11,28,49
16188|scaffold396175_1|+3|10,11,21,49
SRR5687768_13062983,11,24,49
UniRef100_A0A3A5AMV8,11,17,49
SRR5687767_3050291,11,28,49
ERR1700752_3713811,11,18,49
UniRef100_UPI001EE9442B,11,20,49
RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold2055076_1,11,26,49
MGYP000935021440,11,25,49
SRR5918995_814072,11,23,49
UniRef100_O27167,11,31,49
26105|scaffold_302880_c1_1|+3|10,11,24,49
SRR6476646_6946972,11,34,49
SRR5687768_2906383,11,22,49
ERR1700720_4348163,11,22,49
U2E7T8,11,26,49
3973|scaffold35645291_1|-3|11,11,24,49
SRR6185436_17039065,11,18,49
SRR5215472_4198126,12,18,49
UniRef100_UPI000EAFD4D2,11,23,49
ERR1700722_12366374,11,17,49
UniRef100_A0A9E0M7S5,11,33,49
UniRef100_A0A1Z4H5J9,11,26,49
171|scaffold1585334_1|-2|11,11,20,49
ERR1035437_1154656,11,20,49
MGYP001389227295,11,24,49
UniRef100_A0A924UEV4,11,22,49
SRR4051794_26292551,11,26,49
SRR5438105_15652586,11,25,49
UniRef100_A0A846SWT5,12,18,49
UniRef100_A0A6L9ZZJ6,11,24,49
ERR1043165_4850293,11,22,49
UniRef100_A0A1F9YDV5,11,24,49
MGYP000380281539,11,18,49
18111|scaffold5496596_1|+1|10,11,20,49
MGYP001461277908,11,24,49
UniRef100_M1X0J1,11,19,49
UniRef100_A0A9E0XK36,12,19,49
MGYP000993669757,11,20,49
UniRef100_A0A934IM09,11,17,49
MGYP001278583078,11,22,49
ERR1700722_20511130,11,17,49
UniRef100_A0A4P5VG86,11,23,49
A0A1J5C613,11,24,49
UniRef100_UPI00098B3875,11,23,49
MGYP001066236307,11,29,49
SRR5688572_8839368,11,21,49
ERR1700730_14184032,11,13,49
SRR5208283_4615029,11,25,49
ERR1700733_3944419,11,15,49
ERR1700744_1552269,11,22,49
SRR5579875_1882168,11,29,49
ERR1051325_6712386,11,19,49
UniRef100_UPI001FF365F9,11,16,49
13960|scaffold3178441_1|-3|10,11,26,49
SRR3954468_6301146,11,26,49
GraSoiStandDraft_36_1057302.scaffolds.fasta_scaffold2197951_1,11,16,49
UniRef100_UPI0003674D18,11,27,49
SRR5579864_8100049,11,19,49
1009|scaffold_164546_c1_1|-61|01,11,19,49
UniRef100_A0A419FZ30,11,23,49
SRR5262245_31175274,11,19,49
SRR5579875_3560703,11,16,49
SRR5690348_10329468,11,19,49
MGYP001025353121,11,27,49
UniRef100_A0A2Z5SWA1,11,21,49
2994|scaffold1408702_1|+3|10,12,18,49
UniRef100_A0A969QGP7,11,22,49
SRR5262245_48067131,11,20,49
SRR4051812_9386550,11,23,49
SRR5688572_24969558,11,22,49
SRR5476649_2031641,11,22,49
SRR4051812_41837794,11,27,49
UniRef100_A0A1G5QMV4,11,22,49
SRR4051812_13525659,11,21,49
SRR5215469_2096045,11,27,49
UniRef100_A0A957VRB9,11,30,49
A0A1F9YDV5,11,32,49
SRR5687767_10232196,11,24,49
UniRef100_A0A925PSQ1,11,19,49
14421|Ga0335080_12489233_1|+1|10,11,24,49
UniRef100_A0A3N5LCK4,11,26,49
SRR4051794_36083926,11,32,49
ERR1700722_2481008,11,30,49
A0A1Z9J5R9,11,28,49
MGYP000975491216,11,20,49
SRR5471032_894942,11,18,49
UniRef100_A0A925KJE3,11,26,49
UniRef100_A0A6P2AVH7,11,28,49
UniRef100_UPI0022ABC7BC,11,23,49
UniRef100_UPI001C0312E0,11,24,49
SRR6056297_1232051,11,37,49
UniRef100_UPI000BBB0EDC,11,20,49
SRR5206468_12654715,11,18,49
UniRef100_A0A842YB97,12,18,49
UniRef100_A0A958FYA2,11,15,49
UniRef100_A0A969LVT8,11,22,49
UniRef100_A0A8I1MLB3,11,27,49
SRR5215212_6862074,11,27,49
SRR5437763_1847144,11,22,49
UniRef100_A0A2N2TE21,11,24,49
ERR1700712_3522394,11,24,49
UniRef100_A0A661RW79,11,15,49
2308|scaffold3535599_2|+154|01,11,23,49
UniRef100_A0A0W1AAC0,11,25,49
UniRef100_A0A2U3KYZ8,11,22,49
SRR5271170_5186789,11,26,49
16318|scaffold4329361_1|-1|10,11,27,49
SRR5436190_13122249,11,24,49
10430|Ga0209474_10144690_2|+905|00,11,22,49
UniRef100_UPI000381C4D0,11,26,49
9894|scaffold58955_1|+2|10,11,21,49
UniRef100_A0A929A0D7,11,20,49
UniRef100_A0A517R0M2,11,26,49
SRR4029079_15302362,11,32,49
UniRef100_A0A1I3Z4Q8,11,32,49
MGYP000861593678,11,19,49
UniRef100_A0A3P3WBM7,11,30,49
SRR5688572_6709826,11,19,49
SRR5436309_11883760,11,16,49
UniRef100_UPI000388386E,11,23,49
SRR6478735_1265867,11,16,49
UniRef100_A0A519GDS4,11,24,49
SRR5688500_1765209,11,25,49
SRR6185436_113182,11,19,49
SRR4051794_5282852,11,23,49
SRR2546423_1827470,11,27,49
MGYP001122549760,11,28,49
SRR3954464_92275,11,23,49
SRR4051812_21121977,11,23,49
SRR5437879_4677045,11,20,49
UniRef100_A0A2V7X935,11,36,49
UniRef100_A0A9E8NCQ1,11,20,49
ERR1041385_7021105,11,30,49
ERR1700742_4553115,11,22,49
SRR5512142_2780170,11,27,49
SRR3954464_11281254,11,20,49
UniRef100_A0A934ZHZ1,11,24,49
SRR5688572_5223885,11,31,49
MGYP001056320070,11,29,49
ERR1700741_3616879,11,24,49
SRR5215212_4966909,11,23,49
UniRef100_A0A5Q4HDZ7,11,22,49
SRR5258708_26845243,11,25,49
5889|Ga0247693_1092479_2|-73|01,11,23,49
SRR5262245_21053283,11,27,49
SRR5215472_10696085,11,27,49
SRR5688572_22257099,11,24,49
ERR671929_666605,11,19,49
UniRef100_A0A978SYP4,11,31,49
SRR6185295_5819301,11,28,49
UniRef100_UPI0007C7CDF6,11,27,49
SRR6185312_1433265,11,21,49
UniRef100_UPI0003480352,11,24,49
UniRef100_A0A1T4Y342,11,17,49
MGYP000402617958,11,19,49
SRR4051812_35137885,11,21,49
SRR5450432_410360,11,26,49
UniRef100_A0A1Z3HNK6,11,26,49
SRR5918911_2630293,11,19,49
SRR5262249_35616129,11,22,49
SRR5690348_834293,11,26,49
UniRef100_UPI001FBB081A,11,28,49
SRR5512140_1866603,11,19,49
UniRef100_A0A932QS39,11,26,49
UniRef100_A0A5B9QXM9,11,23,49
UniRef100_A0A7W0T423,11,26,49
UniRef100_A0A2A3U575,11,19,49
SRR5207248_3272038,11,29,49
SRR3954447_15983665,11,21,49
SoimicmetaTmtLMB_FD_contig_41_2280986_length_732_multi_3_in_0_out_0_2,11,20,49
MGYP001100262719,11,30,49
UniRef100_UPI000949A987,11,34,49
SRR6218665_791880,11,29,49
UniRef100_A0A3C1EZQ8,11,21,49
UniRef100_B7KFQ6,11,26,49
DEB19_MinimDraft_3_1074340.scaffolds.fasta_scaffold00558_11,11,25,49
SRR5256885_6056400,11,20,49
SRR6476469_387071,11,18,49
SRR5215208_4761597,11,17,49
SRR5205085_12007674,11,18,49
UniRef100_A0A7Y4R9W3,11,26,49
SRR3569833_1614500,11,24,49
SRR5579883_146820,11,25,49
SRR3989304_3335605,11,22,49
MGYP000029325622,11,27,49
SRR5512142_2493476,11,24,49
UniRef100_A0A5R9GNN8,11,14,49
UniRef100_A0A975R7G8,11,27,49
SRR3989442_15969486,11,26,49
SRR5438552_14729310,11,22,49
ERR1035437_1306682,11,17,49
12753|scaffold2797581_1|-1|10,11,23,49
SRR6185503_3141018,11,23,49
SRR5215475_16207902,11,22,49
22526|Ga0209918_1002141_3|-3888|00,11,29,49
ERR1700755_2736157,11,16,49
10576|scaffold24494_2|-1840|00,11,27,49
SRR4051794_6504291,11,23,49
11546|Ga0302155_10504043_2|-92|01,11,20,49
UniRef100_A0A238V520,11,19,49
26217|Ga0315288_10656754_2|+580|00,11,28,49
SRR3954462_14822670,11,15,49
SRR3954462_5469870,11,22,49
UniRef100_UPI0021E125E4,11,28,49
UniRef100_A0A4Q3W7Z8,11,22,49
SRR5690349_8418101,11,15,49
MGYP000365168829,11,21,49
UniRef100_A0A1G1IJ96,11,22,49
SRR6187549_1112222,11,29,49
UPI000463B7AB,11,22,49
A0A1M7BTQ6,11,18,49
SRR4051812_39967108,11,22,49
UniRef100_A0A7C5ZKV2,11,23,49
MGYP001177781319,11,25,49
SRR5688572_6412517,11,29,49
UniRef100_A0A926TPC0,11,20,49
2942|Ga0136616_10246876_2|+265|00,11,22,49
UniRef100_A0A7V8ZTA7,11,25,49
UniRef100_A0A3N5MRU8,11,20,49
UniRef100_UPI0008330A3D,11,29,49
UniRef100_UPI001655675A,11,23,49
3300025161.a:Ga0209381_1000059_155,11,20,49
SRR5262245_50139842,11,23,49
UniRef100_A0A846AAL4,11,29,49
UniRef100_A0A6P2ADR8,11,26,49
18753|scaffold297192_2|-1307|01,11,19,49
UniRef100_A0A953J5U9,11,27,49
UniRef100_A0A502Y6R9,11,21,49
UniRef100_A0A832S9P6,11,16,49
UniRef100_A0A940VRZ4,11,23,49
MGYP001065615226,11,27,49
UniRef100_UPI0020C5257D,11,27,49
23068|scaffold_2846872_c1_2|-80|01,11,35,49
SRR3954465_2949529,11,27,49
24830|scaffold_62857_c1_2|+1010|00,11,26,49
UniRef100_A0A1L9QSP5,11,22,49
UniRef100_A0A5C4XPJ0,11,17,49
SRR3954470_1804896,11,21,49
SRR4030042_668180,11,27,49
MGYP001346457885,11,24,49
ERR1044071_6346850,11,25,49
A0A1V9FV28,11,24,49
SRR5687768_9919759,11,24,49
SRR5688500_10455638,11,27,49
23889|scaffold_12667_c1_5|-4648|00,11,28,49
SRR5580765_8576686,11,24,49
SRR5579864_3960189,11,22,49
SRR6185503_10146701,11,25,49
SRR5512147_820220,11,19,49
SRR6478672_5408653,11,20,49
SRR6184192_2923604,11,24,49
UniRef100_UPI00196462EA,11,17,49
SRR5664280_1488431,11,19,49
SRR6185503_1734336,11,28,49
MGYP001448036103,11,25,49
ERR1051325_1995856,11,16,49
SRR5437763_15984754,11,24,49
22001|scaffold347243_2|+385|00,11,25,49
3300005101.a:Ga0072934_10062312_5,11,21,49
UniRef100_A0A929FDN0,11,26,49
UniRef100_A0A5Q0EN85,11,21,49
UniRef100_A0A968VCZ5,11,22,49
UniRef100_UPI001565DCEC,11,22,49
SRR5215467_8530085,11,16,49
A0A1V2CGZ9,11,26,49
SRR3954464_5017664,11,21,49
3300005286.a:Ga0065721_10055603_6,11,24,49
UniRef100_A0A3N5JI30,11,22,49
4897|Ga0209722_1004395_9|+8395|00,11,18,49
UniRef100_A0A924TG80,11,22,49
UniRef100_A0A6N2EMP2,11,21,49
MGYP000568355136,11,19,49
SRR4029453_4972704,11,18,49
692|scaffold_331_c1_9|+8123|00,11,28,49
SRR5687767_14767911,11,14,49
12119|Ga0209624_10599000_1|+2|10,11,17,49
A0A0M9EDR1,11,19,49
UniRef100_W4LKA2,11,18,49
ERR1700746_1752687,11,27,49
6728|Ga0208741_11041925_1|-2|11,11,20,49
MGYP000910624549,11,24,49
SRR5689334_19297450,11,28,49
23056|scaffold_250092_c1_2|+372|00,11,20,49
UniRef100_A0A8I2FSR2,11,15,49
SRR5262249_20748905,11,24,49
APLak6261663012_1056037.scaffolds.fasta_scaffold80611_1,11,18,49
SRR6185295_240585,11,26,49
UniRef100_A0A6L4YNY1,11,28,49
3300025246.a:Ga0209646_1000002_1027,11,20,49
SRR5437879_13735226,12,18,49
MGYP000523306397,11,22,49
UniRef100_A0A978U7E1,11,20,49
SRR3954470_847416,11,26,49
16188|scaffold437766_2|+515|00,11,25,49
SRR5579872_6892297,11,28,49
ERR1700737_5516373,11,25,49
SRR5687768_2932128,11,16,49
MGYP000897754582,11,27,49
SRR5579883_2846887,11,23,49
SRR5688572_17625275,11,29,49
SRR5262249_29068267,11,18,49
MGYP001049093332,11,28,49
UniRef100_A0A957W1G2,11,22,49
MGYP001026620245,11,25,49
SRR6266699_1897987,11,29,49
UniRef100_UPI00190A34C5,11,19,49
MGYP000707665229,11,28,49
UniRef100_UPI00036E68E4,11,22,49
UniRef100_UPI001F4425CB,11,18,49
SRR4030042_2893361,11,24,49
UniRef100_A0A6M4GVG6,11,26,49
18208|scaffold1308709_1|+2|10,11,20,49
SRR5204862_7987645,11,23,49
MGYP000691606298,11,23,49
ERR1700722_7501246,11,24,49
12123|Ga0209625_1018534_1|-121|00,12,16,49
SRR5688572_8394065,11,21,49
UniRef100_A0A924UHZ2,11,13,49
SRR5579871_3073929,11,25,49
MGYP001262297709,11,13,49
UniRef100_A0A5B8NP44,11,22,49
SRR6266536_2842250,11,22,49
SRR5512142_679953,11,22,49
UniRef100_A0A936BL48,11,32,49
MGYP001115732493,11,20,49
SRR6478736_7850779,11,19,49
UniRef100_A0A936MN34,11,20,49
D1Z0I1,11,20,49
MGYP001052831870,11,24,49
UniRef100_UPI001C72C3C0,11,22,49
UniRef100_A0A2I8A1T2,11,30,49
A0A127EN01,11,24,49
SRR5688572_25254041,11,23,49
848|scaffold_1231214_c1_1|+3|11,11,19,49
AntAceMinimDraft_9_1070365.scaffolds.fasta_scaffold1334249_1,11,26,49
UniRef100_UPI000B28CBC7,11,26,49
SRR4030042_1227890,11,30,49
SRR5580658_9059256,11,23,49
UniRef100_A0A7V9KF91,11,20,49
UniRef100_A0A5M6J065,11,23,49
SRR5215204_108230,11,24,49
UniRef100_A0A8J2V8I4,11,21,49
UniRef100_A0A9E8ZJG4,11,26,49
UniRef100_UPI001E49B911,11,16,49
12748|scaffold3401826_1|-1|10,11,31,49
MGYP001107490977,11,24,49
MGYP001328576421,11,23,49
UniRef100_A0A945S339,11,19,49
SRR2546423_656432,11,17,49
SRR4030088_591582,11,17,49
SRR5688572_28419056,11,18,49
UniRef100_A0A6J4VUP1,11,23,49
SRR3990167_9553097,11,30,49
ERR1035437_4349388,11,24,49
ERR1700733_14882006,11,25,49
MGYP000387665789,11,23,49
SRR5690349_13778028,11,33,49
MGYP001202534773,11,23,49
12912|scaffold4490941_1|+2|11,11,23,49
SRR6185295_2885682,11,26,49
ERR1035441_10178891,11,24,49
SRR6185503_19175280,11,22,49
SRR6476469_2017625,11,29,49
UniRef100_A0A977M877,11,21,49
MGYP001047132845,11,28,49
SRR5512140_1027437,11,29,49
SRR5579859_5764648,11,24,49
3300026184.a:Ga0209918_1000379_11,11,29,49
UniRef100_A0A537I5N4,11,15,49
UniRef100_UPI00194FEA27,11,30,49
SRR5690349_13213359,11,22,49
MGYP001195859732,11,26,49
SRR5580704_12000780,11,27,49
ERR1700759_2508342,11,21,49
UniRef100_UPI0002AC7C29,11,26,49
ERR1700736_4166285,11,15,49
SRR5688572_5649392,11,24,49
SRR5690625_1669145,11,33,49
ERR1700736_5474897,11,18,49
SRR3569833_1196333,11,20,49
