Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,5,15,100
SRR5581483_9579826,5,3,9
A0A7K0EV72,5,4,9
UPI001B9933B3,7,2,9
MGYP001321741116,14,2,9
A0A429VB88,20,2,9
SRR5579859_967681,5,2,9
UPI0016804F03,16,2,9
A0A7Y5I6Q7,5,2,9
SRR5690242_17528190,16,3,9
SRR3954466_9108902,24,2,9
2319|Ga0118677_10783977_1|-55|01,5,2,9
MGYP001349795122,17,2,9
A0A132BQ78,14,2,9
UPI00166E6F3A,21,2,9
A0A1W9K3F8,17,2,9
13237|Ga0315904_10249254_2|-1062|00,23,3,9
SRR5690242_1177726,5,2,9
A0A6M5YJ12,5,3,9
ERR1041384_589563,20,2,9
UPI00191EF1E2,6,1,9
A0A011PNZ0,16,2,9
MGYP001300112163,7,3,9
UPI00168252BB,26,2,9
A0A3A4X4R9,17,2,9
K9WPH4,5,4,9
A0A3N5RPA9,6,1,9
11380|Ga0208218_1090453_1|+3|10,24,2,9
13981|scaffold698595_1|+3|10,24,2,9
A0A1F9BPC1,26,3,9
173|scaffold704735_1|-2|10,17,2,9
MGYP001481546843,24,3,9
SRR6185436_8254321,6,3,9
A0A1Y6K949,6,2,9
UPI00035D66C5,24,3,9
UPI00196B8DEE,24,2,9
ERR1700733_12917706,10,2,9
ERR1700722_19122324,16,2,9
MGYP000414202694,16,2,9
MGYP000669006660,6,2,9
A0A1V4XZJ6,5,1,9
A0A4Q3L2H8,10,2,9
A0A4Q6BBW4,5,1,9
MGYP000938888740,5,3,9
UPI000B4A33C4,17,2,9
SRR6202161_1113006,5,2,9
A0A7C2NKK5,7,2,9
SRR5271165_5716281,5,1,9
SRR5512144_2940642,8,2,9
I0HWB2,5,3,9
D6SSH4,20,2,9
18601|scaffold916880_2|-240|01,5,3,9
SRR5688500_8476973,24,2,9
UPI0003B60F96,23,2,9
SRR3990172_3006631,5,2,9
SRR4051794_733615,24,2,9
ERR1700719_1738249,7,2,9
25887|scaffold1591382_1|+3|10,5,3,9
MGYP001442273170,7,1,9
MGYP001295453701,5,2,9
MGYP000241638177,5,3,9
H8Z3C2,6,2,9
MGYP001010541018,5,2,9
SRR4029079_221829,20,2,9
G3ITY9,5,2,9
ERR1700712_3196745,7,2,9
SRR4029453_2961687,7,2,9
A0A7W1J921,7,2,9
SRR5688572_24935210,20,2,9
SRR5579863_6216684,10,2,9
21848|Ga0299913_12576099_1|-203|01,6,2,9
SRR5262247_155891,7,2,9
MGYP000128985391,23,2,9
10036|scaffold1076801_1|+1|10,26,3,9
SRR5512145_1165997,5,2,9
A0A846DT91,5,4,9
ERR1700712_3522394,5,5,9
SRR5207237_8638112,5,3,9
SRR3954469_11606200,5,4,9
SRR5512146_2817292,5,2,9
A0A522GRL4,5,2,9
A0A139BT09,5,5,9
A0A2K8UD14,26,3,9
25887|scaffold1138731_1|+37|00,16,2,9
18593|scaffold3475860_1|+2|10,7,4,9
SRR5687768_13401378,20,2,9
MGYP001342810007,23,2,9
SRR6266511_2668383,6,2,9
UPI00189478B6,24,3,9
A0A2G7GFE6,5,1,9
SRR5512142_2890835,23,2,9
13953|Ga0207665_10799434_2|-290|00,6,1,9
SRR5215212_3580401,14,1,9
ERR1700722_12366374,8,1,9
A0A1W9NTX5,5,2,9
A0A8D5AMP0,24,2,9
5889|Ga0247693_1092479_2|-73|01,5,3,9
A0A2M7PVZ9,23,3,9
SRR5580698_10751794,5,1,9
A0A7T0JR36,20,2,9
SRR5512142_2493476,20,2,9
A0A0D6AI59,7,2,9
SRR5581483_3038448,5,1,9
A0A1G3IGU8,24,3,9
MGYP000175541642,7,2,9
SRR4051812_21958414,5,3,9
GraSoiStandDraft_45_1057281.scaffolds.fasta_scaffold90591_3,5,1,9
SRR5512135_1912863,23,2,9
12647|Ga0207705_11186763_1|+3|10,10,2,9
A0A6N7PV71,24,2,9
MGYP001195859732,26,3,9
SRR3712207_5592670,5,1,9
SRR5512133_2215233,5,3,9
ERR1700742_372393,16,3,9
UPI001570B682,16,2,9
A0A832M402,7,4,9
SRR5439155_17459155,24,2,9
D8G8W8,5,4,9
SRR4029453_10914918,5,3,9
A0A7J5WH97,20,2,9
