Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,10,914,2500
MGYP001103499012,10,22,49
UniRef100_UPI0005F0715B,10,14,49
ERR1719378_1950428,10,17,49
UniRef100_UPI001CDC40AA,10,21,49
UniRef100_Q9U2U8,10,14,49
A0A151M188,10,18,49
UniRef100_A0A818F958,11,13,49
UniRef100_A0A8D9BPY6,10,14,49
UniRef100_UPI000E6E2328,10,20,49
UniRef100_UPI0022DF808C,10,23,49
UniRef100_A0A811K687,10,18,49
L8HDH5,10,24,49
UniRef100_A0A8C7Z7B7,10,14,49
UniRef100_A0A1A6H976,10,20,49
ERR1719285_1632577|ERR1726614_k119_1852874|+|1718|0|8|452|4227|452[452]:1078[1078]:627[627]|1388[1388]:1633[1633]:246[246]|1972[1978]:2106[2106]:135[129]|2270[2270]:2512[2512]:243[243]|2612[2615]:3031[3031]:420[417]|3080[3095]:3355[3355]:276[261]|3558[3558]:3758[3758]:201[201]|4054[4054]:4227[4227]:174[174],10,24,49
ERR1712136_194773,10,15,49
UniRef100_A0A2G8JGB6,11,13,49
ERR1711988_582555,10,23,49
A0A0N5E4U7,10,23,49
UniRef100_A0A226DUU9,10,16,49
UniRef100_A0A4Z2DW61,10,23,49
UniRef100_A0A3P9Q6E2,10,20,49
UniRef100_A0A261CJB1,10,26,49
UniRef100_A0A1D2MH26,10,24,49
UniRef100_A0A7C9AH48,10,23,49
UniRef100_A8XHW0,10,15,49
UniRef100_UPI0020B3271A,10,24,49
TARA_MED_95_MAG_00463_000000001373.5.11,10,19,49
UniRef100_F0WWH4,10,16,49
UniRef100_A0A3M6TK71,10,17,49
MGYP001043895668,10,15,49
UniRef100_A0A8C1H9U8,10,25,49
UniRef100_A0A6P7Y4Y6,10,15,49
UniRef100_A0A9D3MKP7,10,22,49
UniRef100_A0A1D1WA82,10,14,49
UniRef100_UPI00083994BF,10,18,49
ERR1719342_1514845,10,21,49
UniRef100_A0A851YAK8,11,15,49
UniRef100_A0A061S7W5,10,20,49
SRR3989338_108042,10,18,49
UniRef100_A0A914DIE0,10,23,49
9309|Ga0210274_1574327_1|-42|01,10,16,49
UniRef100_UPI001402A2BC,10,22,49
UniRef100_UPI001BF7967D,10,19,49
UniRef100_A0A024UXU4,10,24,49
S4RR31,10,20,49
UniRef100_A0A914AF89,10,19,49
UniRef100_A0A813PWD3,10,18,49
UniRef100_A0A8B8CG71,10,22,49
UniRef100_UPI0008F9A8A2,10,19,49
UniRef100_UPI000EFF08B9,10,18,49
UniRef100_A0A158PE66,10,22,49
A0A1I8IWR4,10,16,49
UniRef100_A0A814HGX0,10,18,49
UniRef100_UPI001BB2275D,11,7,49
UniRef100_A0A2P6TEI9,10,22,49
UniRef100_UPI0014559629,10,16,49
MGYP001046782151,10,13,49
Dee2metaT_28_FD_contig_21_3245477_length_258_multi_5_in_0_out_0_1,10,21,49
UniRef100_A0A6B2L2F5,10,17,49
4411|Ga0307468_100442389_1|-2|10,10,15,49
UniRef100_UPI0018F5F14C,10,8,49
MGYP000374436788,10,21,49
