Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_R7V8G0,12,19,111
UniRef100_UPI0006D92F69,15,18,111
UniRef100_A0A5Q0TX28,16,18,111
UniRef100_H3K0H0,17,16,111
UniRef100_UPI0008547E61,11,21,111
UniRef100_A0A3Q2QVB5,14,17,111
UniRef100_H3A3T7,17,19,111
UniRef100_W5M1B0,15,15,111
UniRef100_L5M771,10,19,111
UniRef100_UPI000FFC296B,10,20,111
UniRef100_Q16983,11,16,111
UniRef100_A0A1B0YZ31,10,24,111
UniRef100_UPI000C200E07,15,17,111
UniRef100_A0A498NUB8,9,15,111
UniRef100_A0A3P8UNI7,15,20,111
UniRef100_UPI00064BF216,11,17,111
UniRef100_A0A224XPF4,11,16,111
UniRef100_A0A3Q4HHB3,10,15,111
UniRef100_I3MJT4,11,19,111
UniRef100_A0A182P412,10,25,111
UniRef100_V9KVU9,10,18,111
UniRef100_UPI000703C448,17,21,111
UniRef100_A0A182,13,18,111
UniRef100_A0A1D1W6N8,10,16,111
UniRef100_UPI0008753242,17,17,111
UniRef100_A0A4W4DSB8,16,17,111
UniRef100_UPI000333AEDB,16,18,111
UniRef100_F7EXI2,11,15,111
UniRef100_T1E209,10,19,111
UniRef100_UPI00112D353C,10,16,111
UniRef100_A0A0L0C399,11,19,111
UniRef100_UPI000529EEC3,10,17,111
UniRef100_R7UVQ3,11,17,111
UniRef100_UPI00053F5CC1,14,16,111
UniRef100_UPI000E6E1B3F,11,13,111
UniRef100_A0A3Q3WJD5,14,16,111
UniRef100_A0A1D2MRL3,10,23,111
UniRef100_A0A401NRU3,16,21,111
UniRef100_A0A556TIN2,17,19,111
UniRef100_UPI0003F074E5,17,17,111
UniRef100_A0A3Q1IMX0,17,19,111
UniRef100_A0A5C6N0C0,9,16,111
UniRef100_UPI001054367A,16,22,111
UniRef100_A0A2C9L3F1,16,18,111
UniRef100_UPI0007B87190,16,19,111
UniRef100_P43218,9,19,111
UniRef100_UPI000704393A,14,16,111
UniRef100_UPI000703E0EA,16,20,111
UniRef100_A0A5F4CTT2,11,23,111
UniRef100_UPI0003C91640,10,20,111
UniRef100_UPI00093CB2B1,9,18,111
UniRef100_A0A0E3XI08,11,22,111
UniRef100_A0A210PZ56,15,18,111
UniRef100_A0A2U9C884,16,24,111
UniRef100_UPI0004BD49A2,15,22,111
UniRef100_UPI001176BCBD,16,17,111
UniRef100_UPI000D62C208,10,22,111
UniRef100_A0A1S2ZUQ3,10,22,111
UniRef100_A0A4W3HSE2,16,24,111
UniRef100_A0A4W5PPZ8,16,17,111
UniRef100_UPI0003C8D0FD,10,21,111
UniRef100_UPI0005215D66,11,29,111
UniRef100_UPI000F5D6A91,13,16,111
UniRef100_UPI0006234C37,11,18,111
UniRef100_UPI000B8E568E,13,15,111
UniRef100_UPI0002658BB4,16,26,111
UniRef100_A0A2U9PFW0,10,20,111
UniRef100_UPI00064ABE1D,10,21,111
UniRef100_A0A3P9PY58,15,18,111
UniRef100_A0A3P9Q024,10,21,111
UniRef100_A0A2R5LCZ4,11,16,111
UniRef100_A0A3M0JUW1,10,21,111
UniRef100_A0A2K6H0L3,10,23,111
UniRef100_G1P1I6,10,20,111
UniRef100_A0A5A9N941,10,21,111
UniRef100_A0A2K6FCC7,11,17,111
UniRef100_A0A2K6CQ94,16,19,111
UniRef100_A0A3N0Y5F8,10,32,111
UniRef100_X2BBW7,10,23,111
UniRef100_A0A293LQG1,10,18,111
