PDB,plddt,1ake_rmsd,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.39378504672898,4.895352,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_86_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.52383177570093,3.1457858,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.9852336448598,3.324382,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.05705607476635,4.0359297,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.8785046728972,3.8001533,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_85_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.35593457943926,3.6947381,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_65_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.4350934579439,3.4417005,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.41051401869159,4.219121,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_56_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.49023364485983,3.5503817,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.33196261682244,3.5575778,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_96_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.28271028037383,3.5694656,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.90499999999999,4.293576,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_77_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.44308411214953,4.269814,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.74612149532712,3.6599886,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_73_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.25341121495329,4.969613,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_81_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.11341121495326,4.211579,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_54_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.73046728971963,4.148851,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_28_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.78934579439253,3.881487,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_76_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.0029906542056,4.0546975,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_74_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.4077570093458,4.0803976,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.55144859813085,3.6927118,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_22_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.72205607476634,4.7820997,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_68_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.39855140186916,3.6349423,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_78_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.12364485981308,2.5116084,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.68607476635513,4.1399093,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_21_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,92.10939252336449,4.267271,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_41_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.84883177570093,3.798213,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_79_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.44855140186917,4.124698,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.32392523364486,3.6590712,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_58_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.10658878504672,3.1268184,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_50_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.71406542056076,4.4615517,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KAD_ECOLI/run2/m_fold_sampling_voting_random/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,90.42228971962618,4.0546007,11,1
