Sequence_Header,Bin_Assignment_1,Bin_Assignment_2,Vote_Count,Total_Votes
101,4,10,1200,135424
UniRef100_A0A024FXG8,4,17,10,368
UniRef100_A0A0K2BKI2,3,13,8,368
UniRef100_A0A367JHR8,3,7,7,368
UniRef100_A0A077DE38,3,12,12,368
UniRef100_A0A315VG49,17,7,8,368
UniRef100_A0A534EQM1,5,10,8,368
UniRef100_A0A0D9QPY1,4,14,8,368
UniRef100_A0A2V0NQV8,3,14,7,368
UniRef100_A0A1X0P8F6,5,8,8,368
UniRef100_A0A158NFJ9,4,10,9,368
UniRef100_C6HW99,14,5,9,368
UniRef100_A0A3M5I3V2,2,14,12,368
UniRef100_UPI00077257DE,2,12,7,368
UniRef100_UPI00094DE566,3,15,7,368
UniRef100_A0A432H5S3,2,16,7,368
UniRef100_A0A0Q8UUB0,8,13,10,368
UniRef100_A0A2J8AIM7,9,8,9,368
UniRef100_A0A3Q0RC48,3,14,8,368
UniRef100_A0A2E6W9S5,3,11,8,368
UniRef100_A0A1Y2CKA1,7,13,8,368
UniRef100_UPI001183F647,9,5,7,368
UniRef100_A0A177EDT3,6,4,11,368
UniRef100_A0A5J4YRR5,3,12,8,368
UniRef100_A0A1C7MHS4,10,7,7,368
UniRef100_A5BR95,4,7,7,368
UniRef100_A0A354RCP9,12,6,10,368
UniRef100_A0A3B9N4U3,16,8,10,368
UniRef100_A0A1Y2GME0,5,12,10,368
UniRef100_F4P268,15,5,9,368
UniRef100_A0A2H0UN73,10,8,8,368
UniRef100_UPI00078AE3F3,11,5,9,368
UniRef100_A0A103WY13,5,7,8,368
UniRef100_A0A496QB46,18,10,9,368
UniRef100_A0A2N3A6T7,4,11,8,368
UniRef100_Q3LDT2,5,16,9,368
UniRef100_A0A101GLH5,16,8,10,368
UniRef100_A0A2S6SI84,7,12,7,368
UniRef100_A0A3G2SA63,6,8,10,368
UniRef100_UPI000810200F,4,11,8,368
UniRef100_A0A1X7VCJ5,4,12,9,368
UniRef100_S9V789,16,7,9,368
UniRef100_A0A2R6NCZ3,4,10,7,368
UniRef100_T1GJX5,3,16,6,368
UniRef100_UPI000298C0E4,9,11,9,368
UniRef100_C4YT77,3,12,8,368
UniRef100_A0A1T2L7S2,6,6,8,368
UniRef100_A0A2D7ATT5,11,7,8,368
UniRef100_A0A2H9TM10,6,13,9,368
UniRef100_UPI0001CBA9E6,3,16,8,368
UniRef100_A0A3D8RPU0,9,6,9,368
UniRef100_A0A1V6FHF1,10,6,8,368
UniRef100_A0A1F8EDE8,14,7,8,368
UniRef100_I7LWN2,12,3,8,368
UniRef100_UPI000695DDC7,6,8,9,368
UniRef100_A0A1S3DEP0,9,5,9,368
UniRef100_A0A2M7TT45,3,11,7,368
UniRef100_A0A352A2A9,8,6,9,368
UniRef100_A0A2J6IE26,18,12,11,368
UniRef100_A0A2E2VT32,13,4,8,368
UniRef100_A0A1V5UYB6,4,17,8,368
UniRef100_D6TYG9,14,7,8,368
UniRef100_A0A2E7ZI83,5,5,7,368
UniRef100_A0A1B1UFT8,17,7,9,368
UniRef100_A0A4P9XWB7,4,10,8,368
UniRef100_A0A1G2CIN2,14,6,7,368
UniRef100_A0A3A5VH54,7,9,8,368
UniRef100_Q98Q02,11,4,8,368
UniRef100_A0A2J6KI17,5,15,10,368
UniRef100_A0A0L8RLU7,5,6,8,368
UniRef100_A0A2H0WLL5,6,9,9,368
UniRef100_A0A2R6HXH0,5,12,9,368
UniRef100_UPI0003656FBB,4,17,11,368
UniRef100_A0A0S4IM97,3,11,9,368
UniRef100_A0A537SM93,3,16,7,368
UniRef100_A0A1I4CM69,3,7,9,368
UniRef100_K1WKA4,6,15,10,368
UniRef100_A0A2E0WNB6,4,14,8,368
UniRef100_V6TUL8,2,14,10,368
UniRef100_A0A078A6K8,11,5,10,368
UniRef100_H3GGY7,5,8,9,368
UniRef100_A0A0P1B6N2,6,14,8,368
UniRef100_A0A1J4XJG1,12,8,8,368
UniRef100_A0A2G6HID3,4,17,7,368
UniRef100_UPI0009FBA27C,16,9,8,368
UniRef100_A0A2E7H2E4,3,15,9,368
UniRef100_A0A1E3JTC6,4,17,9,368
UniRef100_A0A1G2CFQ0,8,6,9,368
UniRef100_UPI000B91115A,4,14,15,368
UniRef100_A0A1F5YIS5,3,15,8,368
UniRef100_D8R2E1,5,12,8,368
UniRef100_UPI000E6C0837,4,17,9,368
UniRef100_A0A1E7QJ42,12,6,9,368
UniRef100_A0A2J7PP94,9,4,7,368
UniRef100_A0A3M7LYA5,14,6,8,368
UniRef100_A0A484BVL7,11,4,11,368
UniRef100_A0A0L0NP11,16,7,9,368
UniRef100_F2UG06,5,11,10,368
UniRef100_A0A0C3GP66,7,12,9,368
UniRef100_UPI000E1BC418,5,5,9,368
UniRef100_A0A1V0HQ21,2,17,14,368
UniRef100_A0A292SRJ3,11,8,9,368
UniRef100_A0A5N6RRV9,5,13,9,368
UniRef100_A0A522BSQ4,7,8,8,368
UniRef100_A0A068V830,4,12,8,368
UniRef100_UPI0011B80320,4,13,6,368
UniRef100_A0A225WWD5,2,14,7,368
UniRef100_A5ELK6,3,17,12,368
UniRef100_A0A419DYZ8,6,13,9,368
UniRef100_A0A2R5G1A8,3,11,10,368
UniRef100_H3GIQ0,4,10,7,368
UniRef100_A0A066VVB4,4,14,8,368
UniRef100_W6MSC0,7,13,8,368
UniRef100_A0A103XGY7,8,6,7,368
UniRef100_A0A0X1SHZ4,16,8,7,368
UniRef100_A0A1Y5IJR3,5,15,8,368
UniRef100_A0A3D9VBB3,6,12,8,368
UniRef100_A0A288GUU6,3,11,10,368
UniRef100_R9NZV2,7,11,11,368
UniRef100_A0A177B5P1,6,6,7,368
UniRef100_UPI0012D42944,7,9,8,368
UniRef100_J9M062,4,14,8,368
UniRef100_A0A2D6K778,5,15,11,368
UniRef100_A0A565BIP5,8,10,7,368
UniRef100_A0A2V4A3L9,4,17,7,368
UniRef100_A0A4E0RA76,4,11,10,368
UniRef100_UPI0009502639,6,10,8,368
UniRef100_H0YUT2,8,8,8,368
UniRef100_UPI0007DA2216,6,11,7,368
UniRef100_A0A0G0V7Q4,16,8,8,368
UniRef100_A0A3N5TD70,12,2,7,368
UniRef100_UPI000D52F88A,4,13,7,368
UniRef100_A0A2J0MW71,7,12,8,368
UniRef100_UPI000CD61128,3,12,8,368
UniRef100_A0A444CPW8,6,12,8,368
UniRef100_A0A0G0MS72,8,11,9,368
UniRef100_A0A418V4A3,5,13,9,368
UniRef100_A0A2D8I5G0,14,6,8,368
UniRef100_D0P1X9,6,14,8,368
UniRef100_A0A2N5ZRM9,4,7,10,368
UniRef100_A0A2H0VE20,4,10,11,368
UniRef100_UPI0006D91414,5,11,8,368
UniRef100_A0A389MVI1,5,15,10,368
UniRef100_A0A4P5VRC7,16,7,9,368
UniRef100_A0A1X2HHI4,8,5,7,368
UniRef100_A0A2D7D6N8,16,7,9,368
UniRef100_A0A1G4J7L4,16,7,8,368
UniRef100_A0A287XAJ7,7,12,9,368
UniRef100_UPI000C7F5368,8,7,8,368
UniRef100_A0A5C3MAP4,4,17,7,368
UniRef100_A0A2G9Z611,5,12,11,368
UniRef100_A0A2N3AF43,18,13,10,368
UniRef100_A0A1V9ZYL0,6,9,8,368
UniRef100_A0A1I8BKM8,3,16,7,368
UniRef100_V4SY98,5,14,11,368
UniRef100_A0A0H3M1I4,2,10,8,368
UniRef100_M1B3D6,6,5,8,368
UniRef100_A0A0C9Y327,5,17,9,368
UniRef100_A0A2G9YG01,18,13,11,368
UniRef100_UPI00041A008F,3,12,10,368
UniRef100_A0A2A4WTF2,3,9,7,368
UniRef100_A0A3B8S7J6,4,7,11,368
UniRef100_A0A0D7BP37,8,11,6,368
UniRef100_A0A1G0XPI8,11,6,8,368
UniRef100_A0A2K1QYR3,7,7,7,368
UniRef100_UPI000B8CD015,11,6,8,368
UniRef100_A0A0N1LUB5,16,9,8,368
UniRef100_G0U577,15,8,9,368
UniRef100_A0A067EDD9,5,5,8,368
UniRef100_UPI000499289D,9,4,7,368
UniRef100_A0A5D0MFY7,8,9,9,368
UniRef100_A4HQJ5,4,16,8,368
UniRef100_K8EDI0,12,6,8,368
UniRef100_UPI0011D26482,6,9,7,368
UniRef100_A0A1S8VNH1,4,16,8,368
UniRef100_A0A3N5RIF4,5,13,8,368
UniRef100_A0A166I2Q6,5,10,7,368
UniRef100_A0A2G9MR89,9,8,10,368
UniRef100_A0A2W6AHF6,17,9,11,368
UniRef100_A0A554KRS3,16,5,7,368
UniRef100_A0A419PFS4,3,12,9,368
UniRef100_A0A257SVP9,8,9,8,368
UniRef100_A0A4V1S602,5,12,9,368
UniRef100_A0A316YG19,4,16,8,368
UniRef100_A0A2V8YIW6,7,7,7,368
UniRef100_A0A554MDQ1,6,13,8,368
UniRef100_A0A067C4L8,10,7,7,368
UniRef100_A0A199W2V2,4,8,8,368
UniRef100_A0A1J3K907,5,15,9,368
UniRef100_UPI0011B4EF60,6,5,7,368
UniRef100_A0A2U8W3K5,7,9,8,368
UniRef100_A0A5B6U9T8,3,11,8,368
UniRef100_UPI00129E8E3A,5,11,9,368
UniRef100_A0A3E2H895,11,6,13,368
UniRef100_A0A2T0YRZ8,4,17,9,368
UniRef100_UPI0012629245,3,17,7,368
UniRef100_UPI001246DB80,2,11,8,368
UniRef100_F7VXW8,4,18,9,368
UniRef100_A0A0E0MKY2,4,15,8,368
UniRef100_A0A1F4VC38,14,8,10,368
UniRef100_A0A1X1QMY9,3,11,9,368
UniRef100_A0A0J8BGR6,8,6,8,368
UniRef100_A0A1X0P0N7,7,10,8,368
UniRef100_A0A2T7NM80,4,16,12,368
UniRef100_A0A3D1ARL4,5,5,11,368
UniRef100_A0A2H3IQI8,7,6,9,368
UniRef100_A0A1F6U3E2,5,15,9,368
UniRef100_A0A2D6MDG8,9,5,11,368
UniRef100_A0A5N6QUZ3,10,5,8,368
UniRef100_A0A0G1YJ01,18,11,8,368
UniRef100_A0A091CXT9,5,8,8,368
UniRef100_UPI000995597C,5,7,8,368
UniRef100_A0A0D6EIN9,12,6,8,368
UniRef100_A0A2E7GCY6,2,12,7,368
UniRef100_A0A164ZM06,5,8,8,368
UniRef100_A0A2M6YQW4,9,7,9,368
UniRef100_A0A1I0AGW5,9,3,7,368
UniRef100_UPI00057B1051,7,6,8,368
UniRef100_G7DUL5,4,18,9,368
UniRef100_A0A1V6KHD1,8,6,9,368
