PDB,6fhz_rmsd,6hfb_rmsd,plddt
top_sequences_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_005.pdb,5.167633,1.1506222,92.05488069414318
top_sequences_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_004.pdb,5.224769,1.2267003,91.73520607375269
top_sequences_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_003.pdb,5.193707,1.2247,91.59058568329718
top_sequences_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_006.pdb,5.232099,1.1313285,91.50642082429502
top_sequences_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_001.pdb,5.217807,1.1761737,91.40594360086767
top_sequences_unrelaxed_rank_006_alphafold2_ptm_model_3_seed_000.pdb,5.155004,1.2131972,91.31941431670282
top_sequences_unrelaxed_rank_007_alphafold2_ptm_model_3_seed_007.pdb,5.2312984,1.1787944,91.27052060737527
top_sequences_unrelaxed_rank_008_alphafold2_ptm_model_2_seed_005.pdb,5.226356,1.0692912,91.08301518438178
top_sequences_unrelaxed_rank_009_alphafold2_ptm_model_2_seed_006.pdb,5.5116696,1.0559589,90.95741865509763
top_sequences_unrelaxed_rank_010_alphafold2_ptm_model_5_seed_005.pdb,4.9053097,1.4526254,90.89281995661605
top_sequences_unrelaxed_rank_011_alphafold2_ptm_model_3_seed_002.pdb,5.2693396,1.3445568,90.73902386117138
top_sequences_unrelaxed_rank_012_alphafold2_ptm_model_2_seed_003.pdb,5.225963,1.1354706,90.76624728850325
top_sequences_unrelaxed_rank_013_alphafold2_ptm_model_5_seed_004.pdb,4.996798,1.2985363,90.73765726681127
top_sequences_unrelaxed_rank_014_alphafold2_ptm_model_5_seed_006.pdb,4.9860835,1.3089846,90.71019522776572
top_sequences_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_000.pdb,5.3264794,1.061986,90.65841648590022
top_sequences_unrelaxed_rank_016_alphafold2_ptm_model_2_seed_007.pdb,5.3503838,1.06674,90.66158351409977
top_sequences_unrelaxed_rank_017_alphafold2_ptm_model_2_seed_004.pdb,5.361082,1.0726161,90.57433839479394
top_sequences_unrelaxed_rank_018_alphafold2_ptm_model_5_seed_007.pdb,4.9071736,1.4185444,90.55318872017352
top_sequences_unrelaxed_rank_019_alphafold2_ptm_model_5_seed_003.pdb,4.9984465,1.3295792,90.57073752711497
top_sequences_unrelaxed_rank_020_alphafold2_ptm_model_4_seed_005.pdb,4.7340956,1.6618495,90.24206073752711
top_sequences_unrelaxed_rank_021_alphafold2_ptm_model_4_seed_004.pdb,4.8043427,1.4559671,90.2013665943601
top_sequences_unrelaxed_rank_022_alphafold2_ptm_model_5_seed_000.pdb,4.907715,1.4146777,90.17381778741866
top_sequences_unrelaxed_rank_023_alphafold2_ptm_model_2_seed_001.pdb,5.3008595,1.1165223,90.122863340564
top_sequences_unrelaxed_rank_024_alphafold2_ptm_model_5_seed_001.pdb,4.8377795,1.5897318,90.11865509761388
top_sequences_unrelaxed_rank_025_alphafold2_ptm_model_4_seed_007.pdb,4.6976595,1.6710247,90.04683297180043
top_sequences_unrelaxed_rank_026_alphafold2_ptm_model_1_seed_003.pdb,4.90607,1.4231583,89.95039045553145
top_sequences_unrelaxed_rank_027_alphafold2_ptm_model_4_seed_006.pdb,4.8168983,1.4504548,89.92388286334057
top_sequences_unrelaxed_rank_028_alphafold2_ptm_model_1_seed_000.pdb,4.974976,1.3209378,89.79817787418655
top_sequences_unrelaxed_rank_029_alphafold2_ptm_model_1_seed_006.pdb,5.085434,1.1822618,89.6567028199566
top_sequences_unrelaxed_rank_030_alphafold2_ptm_model_4_seed_003.pdb,4.7383842,1.6664661,89.67937093275489
top_sequences_unrelaxed_rank_031_alphafold2_ptm_model_1_seed_007.pdb,4.9683404,1.3077843,89.59154013015184
top_sequences_unrelaxed_rank_032_alphafold2_ptm_model_2_seed_002.pdb,5.059907,1.3770114,89.56915401301518
top_sequences_unrelaxed_rank_033_alphafold2_ptm_model_4_seed_002.pdb,4.839205,1.4439895,89.57618221258133
top_sequences_unrelaxed_rank_034_alphafold2_ptm_model_1_seed_005.pdb,5.0074744,1.3716171,89.47108459869848
top_sequences_unrelaxed_rank_035_alphafold2_ptm_model_5_seed_002.pdb,4.899566,1.501909,89.4353579175705
top_sequences_unrelaxed_rank_036_alphafold2_ptm_model_4_seed_000.pdb,4.829685,1.5183809,89.36360086767895
top_sequences_unrelaxed_rank_037_alphafold2_ptm_model_4_seed_001.pdb,4.896483,1.3593547,89.24019522776572
top_sequences_unrelaxed_rank_038_alphafold2_ptm_model_1_seed_004.pdb,5.1819496,1.1475468,89.15986984815618
top_sequences_unrelaxed_rank_039_alphafold2_ptm_model_1_seed_001.pdb,5.092468,1.1609057,89.1944251626898
top_sequences_unrelaxed_rank_040_alphafold2_ptm_model_1_seed_002.pdb,5.321061,1.2559348,88.42318872017354
