Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_A0A2H8TY46,18,20,111
UniRef100_A0A3Q3B3L4,17,18,111
UniRef100_A0A1B6DBY6,18,18,111
UniRef100_A0A1W0XA63,17,21,111
UniRef100_S4RI48,17,21,111
UniRef100_UPI0003F0B023,21,21,111
UniRef100_A0A3Q3WR52,18,30,111
UniRef100_A0A1S3AHZ7,18,22,111
UniRef100_A0A3Q4GNX6,18,23,111
UniRef100_A0A3Q3WCL9,18,23,111
UniRef100_A0A0S7GTP9,18,29,111
UniRef100_A0A3Q1CNY4,18,25,111
UniRef100_A0A1S3ABF6,20,18,111
UniRef100_T1HL11,18,23,111
UniRef100_UPI0006C9C910,22,20,111
UniRef100_A0A3Q2CNW1,22,26,111
UniRef100_A0A5J5CI93,22,32,111
UniRef100_UPI000F600DDD,22,22,111
UniRef100_A0A2C9JM01,22,25,111
UniRef100_A0A3Q3FV90,22,21,111
UniRef100_A0A1U7RDC8,17,23,111
UniRef100_A0A061I063,18,23,111
UniRef100_UPI000462710F,16,20,111
UniRef100_UPI000C854E86,18,19,111
UniRef100_UPI000BF3C70B,17,22,111
UniRef100_A0A433SS56,18,23,111
UniRef100_A0A3M7RHS0,18,28,111
UniRef100_UPI0012ED462C,17,23,111
UniRef100_UPI000BF42694,18,28,111
UniRef100_A0A4W4HGK1,18,23,111
UniRef100_R7V8G0,18,22,111
UniRef100_UPI0006D92F69,18,25,111
UniRef100_A0A5Q0TX28,18,29,111
UniRef100_H3K0H0,18,21,111
UniRef100_UPI0008547E61,22,20,111
UniRef100_A0A3Q2QVB5,18,22,111
UniRef100_H3A3T7,17,24,111
UniRef100_W5M1B0,18,23,111
UniRef100_L5M771,18,19,111
UniRef100_UPI000FFC296B,18,19,111
UniRef100_Q16983,18,22,111
UniRef100_A0A1B0YZ31,22,25,111
UniRef100_UPI000C200E07,17,21,111
UniRef100_A0A498NUB8,18,21,111
UniRef100_A0A3P8UNI7,17,27,111
UniRef100_UPI00064BF216,22,20,111
UniRef100_A0A224XPF4,18,20,111
UniRef100_A0A3Q4HHB3,22,19,111
UniRef100_I3MJT4,20,20,111
UniRef100_A0A182P412,22,20,111
UniRef100_V9KVU9,18,31,111
UniRef100_UPI000703C448,22,20,111
UniRef100_A0A182,19,19,111
UniRef100_A0A1D1W6N8,17,23,111
UniRef100_UPI0008753242,18,20,111
UniRef100_A0A4W4DSB8,22,20,111
UniRef100_UPI000333AEDB,18,26,111
UniRef100_F7EXI2,22,19,111
UniRef100_T1E209,18,23,111
UniRef100_A0A4W3HSE2,17,26,111
UniRef100_A0A4W5PPZ8,18,22,111
UniRef100_UPI0003C8D0FD,22,26,111
UniRef100_UPI0005215D66,22,29,111
UniRef100_UPI000F5D6A91,18,24,111
UniRef100_UPI0006234C37,22,23,111
UniRef100_UPI000B8E568E,18,19,111
UniRef100_UPI0002658BB4,16,29,111
UniRef100_A0A2U9PFW0,22,26,111
UniRef100_UPI00064ABE1D,18,21,111
UniRef100_A0A3P9PY58,17,24,111
UniRef100_A0A3P9Q024,17,17,111
UniRef100_A0A2R5LCZ4,17,18,111
UniRef100_A0A3M0JUW1,18,22,111
UniRef100_A0A2K6H0L3,17,16,111
UniRef100_G1P1I6,18,25,111
UniRef100_A0A5A9N941,17,22,111
UniRef100_A0A2K6FCC7,18,20,111
UniRef100_A0A2K6CQ94,19,20,111
UniRef100_A0A3N0Y5F8,22,33,111
UniRef100_X2BBW7,17,20,111
UniRef100_A0A293LQG1,18,22,111
UniRef100_UPI000CDF6277,18,22,111
UniRef100_UPI000C253B13,18,29,111
UniRef100_UPI0003F16D31,16,20,111
UniRef100_UPI000775995A,17,18,111
UniRef100_UPI0008F9B3C5,22,26,111
UniRef100_A0A077ZAG0,18,30,111
UniRef100_UPI0003F0AD74,18,27,111
UniRef100_A0A060YS14,18,20,111
UniRef100_UPI0011556B5B,22,21,111
UniRef100_A0A0P6C0F3,22,19,111
UniRef100_A0A4U5VTL1,18,18,111
UniRef100_A0A4W4EQ10,18,23,111
UniRef100_UPI0006255C2D,18,18,111
UniRef100_UPI001175C8D5,17,28,111
UniRef100_A0A2K5JST1,17,20,111
UniRef100_A0A210PI29,18,23,111
UniRef100_V4B0M5,18,18,111
UniRef100_UPI000441FAF3,18,20,111
UniRef100_A0A3Q3F6I3,18,19,111
UniRef100_A0A0A9XCA8,18,18,111
UniRef100_A0A556U0Y1,23,25,111
UniRef100_H0WNJ3,21,18,111
UniRef100_A0A3P8W1R3,18,24,111
UniRef100_UPI0010BDA0D0,21,22,111
UniRef100_A0A4W4FZM3,17,22,111
UniRef100_A0A1X7VIB1,18,25,111
UniRef100_K7GIC5,22,20,111
UniRef100_E0VEH3,22,27,111
UniRef100_UPI0007403780,22,28,111
UniRef100_UPI000A1C4E1C,18,20,111
UniRef100_A0A5N4A539,18,20,111
UniRef100_V4B2D2,22,24,111
UniRef100_Q90Y08,22,24,111
UniRef100_UPI000BA80172,22,31,111
UniRef100_A0A3Q2NPZ4,22,21,111
UniRef100_A0A3P8VYT5,22,20,111
UniRef100_UPI00112D353C,18,20,111
UniRef100_A0A0L0C399,22,23,111
UniRef100_UPI000529EEC3,22,22,111
UniRef100_R7UVQ3,17,23,111
UniRef100_UPI00053F5CC1,18,23,111
UniRef100_UPI000E6E1B3F,18,20,111
UniRef100_A0A3Q3WJD5,18,19,111
UniRef100_A0A1D2MRL3,22,32,111
UniRef100_A0A401NRU3,17,35,111
UniRef100_A0A556TIN2,18,24,111
UniRef100_UPI0003F074E5,17,23,111
UniRef100_A0A3Q1IMX0,22,17,111
UniRef100_A0A5C6N0C0,17,24,111
UniRef100_UPI001054367A,17,21,111
UniRef100_A0A2C9L3F1,22,21,111
UniRef100_UPI0007B87190,22,21,111
UniRef100_P43218,18,25,111
UniRef100_UPI000704393A,17,23,111
UniRef100_UPI000703E0EA,18,22,111
UniRef100_A0A5F4CTT2,18,22,111
UniRef100_UPI0003C91640,17,25,111
UniRef100_UPI00093CB2B1,18,21,111
UniRef100_A0A0E3XI08,22,26,111
UniRef100_A0A210PZ56,17,25,111
UniRef100_A0A2U9C884,17,20,111
UniRef100_UPI0004BD49A2,18,24,111
UniRef100_UPI001176BCBD,17,27,111
UniRef100_UPI000D62C208,18,22,111
UniRef100_A0A1S2ZUQ3,19,19,111
UniRef100_UPI00065BCC8A,22,21,111
UniRef100_A0A341C4V7,19,24,111
UniRef100_A0A444UBF5,18,17,111
UniRef100_E0VE04,22,24,111
UniRef100_UPI0007428C4B,17,18,111
UniRef100_UPI00094E051E,18,24,111
UniRef100_UPI000F43F8EB,17,21,111
UniRef100_A0A3Q1CLQ6,18,24,111
UniRef100_A0A3Q3LQP1,18,24,111
UniRef100_A0A3Q3F9Y7,22,27,111
UniRef100_A0A293N016,22,27,111
UniRef100_A0A4W4HCT4,17,27,111
UniRef100_UPI0008F9DA9D,22,19,111
UniRef100_A0A1S2ZPI0,17,25,111
UniRef100_UPI000497AC23,18,21,111
UniRef100_A0A3M7SJM0,22,33,111
UniRef100_UPI00097E150A,23,22,111
UniRef100_A0A3Q2Y516,16,24,111
UniRef100_B4MQ74,22,23,111
UniRef100_UPI00118145DA,19,23,111
UniRef100_A0A151NK47,17,27,111
UniRef100_A0A2G8KNL6,18,21,111
UniRef100_A0A3Q1JUL2,21,18,111
UniRef100_UPI00117ED6D7,22,19,111
UniRef100_A0A1W0WXM1,22,22,111
UniRef100_A0A3Q4AB14,18,21,111
UniRef100_A0A1S3HQG0,22,19,111
UniRef100_UPI00125D27F7,19,22,111
UniRef100_K1R2M4,23,17,111
UniRef100_UPI000359E6DA,19,19,111
UniRef100_A0A3Q0DCP8,17,22,111
UniRef100_A0A556TL80,19,21,111
UniRef100_A0A2G8JKC0,18,20,111
UniRef100_UPI0005AC9369,22,23,111
UniRef100_UPI000D0C7E39,22,20,111
UniRef100_A0A5N4APM0,17,33,111
UniRef100_UPI0010FAA233,17,23,111
UniRef100_A0A1U7SP32,18,21,111
UniRef100_A0A4X1T4Z6,17,17,111
UniRef100_UPI0010FAFABA,22,22,111
UniRef100_UPI0003317A88,22,20,111
UniRef100_A0A5A9N6G7,17,19,111
UniRef100_UPI00096B35C9,18,24,111
UniRef100_UPI000C6DCACA,17,18,111
UniRef100_A0A151MPW3,22,22,111
UniRef100_A0A3B4Z029,19,22,111
UniRef100_R7T7Q8,17,24,111
UniRef100_UPI0006150494,22,23,111
UniRef100_UPI001126026F,18,28,111
UniRef100_UPI000CD646D8,18,22,111
UniRef100_K7FMV5,18,21,111
UniRef100_A0A5E4NSL8,18,19,111
UniRef100_UPI000C2540A0,22,20,111
UniRef100_A0A131XP97,21,19,111
UniRef100_A0A3P8XX12,22,18,111
UniRef100_V4CP91,22,28,111
UniRef100_H3C4M1,17,23,111
UniRef100_T1JQP4,18,18,111
UniRef100_A0A4Y2G0V0,18,23,111
UniRef100_UPI0007197B31,19,22,111
UniRef100_A0A210PW30,22,27,111
UniRef100_UPI0009B49A2F,19,20,111
UniRef100_A0A0B6ZU41,17,21,111
UniRef100_A0A3B3R9V9,18,22,111
UniRef100_UPI0004A2C04C,18,31,111
UniRef100_A0A3Q1CLM5,17,22,111
UniRef100_A0A3Q3H2A5,18,27,111
UniRef100_UPI000D18501B,22,21,111
