Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,27,765,10000
SRR6056297_96046,26,14,99
UniRef100_UPI00111A0E34,26,10,99
SRR6185503_6210776,25,13,99
UniRef100_A0A7X8EH41,28,10,99
UniRef100_A0A3M7NGZ7,25,10,99
UniRef100_A0A8J6ZRL9,23,11,99
EndMetStandDraft_7_1072992.scaffolds.fasta_scaffold7424135_1,32,10,99
MGYP000058693603,25,14,99
SRR5258706_7028216,23,12,99
H3GGY7,28,14,99
UniRef100_A0A1G3ZSV7,27,16,99
5042|contig_141906_2|-861|01,25,9,99
GraSoi2013_115cm_1033766.scaffolds.fasta_scaffold344879_1,26,11,99
UniRef100_A0A7H1AYW1,30,11,99
UniRef100_UPI000D0859CE,26,12,99
UniRef100_A0A7C1C5Z0,27,10,99
UniRef100_A0A9E2ML47,22,10,99
UniRef100_A0A949G5M5,26,11,99
UPI0008282876,29,9,99
UniRef100_A0A837ILP8,25,8,99
ERR1711965_93829,25,8,99
RifCSP16_2_1023846.scaffolds.fasta_scaffold618309_1,23,12,99
UniRef100_A0A432J8S8,29,12,99
SRR3989344_2756525,29,11,99
UniRef100_A0A1M3DRC6,24,12,99
EndMetStandDraft_4_1072995.scaffolds.fasta_scaffold3642995_1,28,8,99
UniRef100_A0A945GGH5,28,8,99
UniRef100_L1IND7,26,10,99
UniRef100_A0A1S9CKW5,23,10,99
MGYP001043210631,26,13,99
UniRef100_UPI001FF3BB61,28,11,99
UniRef100_A0A524EWW0,24,14,99
UniRef100_UPI00235A45B7,22,9,99
SRR3989338_2403813,27,11,99
UniRef100_A0A2E4KGF4,24,10,99
UniRef100_A0A6G3ZLI9,28,9,99
GraSoiStandDraft_45_1057281.scaffolds.fasta_scaffold45559_2,29,17,99
UniRef100_A0A7C3VGC2,24,13,99
6671|scaffold152375_3|-839|01,27,10,99
SRR4030066_853064,22,8,99
22297|Ga0315533_1006121_1|-141|00,25,15,99
UniRef100_A0A2E5KXA2,29,10,99
SRR5258705_2890841,25,10,99
UniRef100_A0A432VXF3,26,10,99
SRR6188474_548628,25,10,99
A0A1W9RPK6,25,10,99
UniRef100_A0A357FVP5,24,10,99
UPI00002E8AE8,25,12,99
ERR1719361_2167043,24,12,99
SRR3989344_7675466,29,12,99
UniRef100_A0A832JZV1,28,11,99
A0A1G1YXI7,28,10,99
D8TAU4,25,9,99
ERR1719362_2646947,25,13,99
UniRef100_A0A842UEQ1,24,9,99
SRR3954454_13006410,27,9,99
7196|NODE_259914_length_1644_cov_1.88194_2|-600|00,28,9,99
UniRef100_A0A7C5GLH6,29,10,99
SRR4051812_29835442,29,14,99
UniRef100_UPI000586F981,24,10,99
UniRef100_A0A398D020,29,9,99
MGYP000923185992,28,9,99
UniRef100_A2FQ69,25,12,99
UniRef100_A0A1H3Y9N2,21,11,99
UniRef100_UPI00166F3FAC,26,11,99
MesohylBB_1024984.scaffolds.fasta_scaffold58465_1,28,12,99
UniRef100_A0A970DJY6,26,12,99
UniRef100_A0A7C1H657,29,11,99
A0A1D7UCC6,24,11,99
UniRef100_A0A497HS85,24,14,99
UniRef100_UPI000BA9A152,23,16,99
ERR1719320_307390,23,13,99
UniRef100_A0A970C114,30,9,99
UniRef100_A0A7X2PMJ6,24,10,99
UniRef100_A0A920B6T9,24,10,99
Cyp1metagenome_2_1107374.scaffolds.fasta_scaffold1143480_1,26,13,99
A0A1V4RIB4,24,11,99
UniRef100_A0A2S7V0G4,23,11,99
MGYP001089127919,27,12,99
UniRef100_A0A9D0YDT0,26,13,99
RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold1924362_1,24,10,99
UniRef100_A0A1F4YGK0,27,11,99
MGYP001028227739,26,10,99
UniRef100_A0A351AU44,26,12,99
UniRef100_A0A136PE24,25,14,99
UniRef100_A0A943G935,29,11,99
ERR1740139_134365,24,8,99
MGYP001135307426,28,8,99
UniRef100_A0A660RJK3,26,9,99
UniRef100_A0A507E2P6,23,10,99
UniRef100_A0A1G6IB31,24,14,99
MGYP001458521086,24,13,99
UniRef100_A0A7C5VXD2,23,14,99
UniRef100_A0A841GQZ3,24,12,99
UniRef100_A0A847B2Y1,30,13,99
UniRef100_A0A1F6S287,27,11,99
ERR1719499_1092783,24,16,99
UniRef100_A0A918MBK9,25,11,99
MGYP001481918335,25,10,99
UniRef100_A0A2E1GSL4,25,13,99
UniRef100_A0A2V9YRH6,27,9,99
GraSoiStandDraft_5_1057265.scaffolds.fasta_scaffold5533187_1,22,9,99
UniRef100_A0A938G224,28,8,99
UniRef100_A0A1F5UPE7,23,13,99
14937|scaffold377830_1|+2|10,27,15,99
LakMenE01Jun11ns_1017448.scaffolds.fasta_scaffold7807815_1,23,10,99
UniRef100_A0A101VXI0,26,11,99
26189|Ga0315274_10362858_1|-71|00,30,10,99
ERR1712130_138693,23,8,99
SRR5215218_4708874,22,9,99
SRR6185437_7558785,24,11,99
UniRef100_A0A485L4N0,27,12,99
GraSoiStandDraft_30_1057271.scaffolds.fasta_scaffold2033039_1,24,16,99
MGYP000859416566,27,13,99
UniRef100_A0A6I2YET1,27,11,99
UniRef100_A0A7V9D8K5,25,15,99
UniRef100_G9WFJ7,24,11,99
UniRef100_A0A2E1QND6,23,13,99
SRR3989338_801608,25,9,99
3300000227.a:TB_AS07_7DRAFT_10000194_23,29,11,99
22688|scaffold_201588_c1_1|-26|01,22,10,99
UniRef100_A0A2P5SXE0,25,10,99
GraSoiStandDraft_58_1057296.scaffolds.fasta_scaffold555110_1,26,9,99
UniRef100_K0YTN7,28,13,99
A0A0M8N7J8,27,13,99
SRR5919202_1918270,28,12,99
A0A023B542,23,8,99
UniRef100_A0A8H8A0D9,27,9,99
UniRef100_A0A534IDC0,25,11,99
UniRef100_A0A7V5D108,27,8,99
UniRef100_A0A968KW91,23,8,99
UniRef100_A0A7Y5H9F9,29,9,99
24505|Ga0214257_1015758_1|+129|00,25,10,99
UniRef100_A0A519FRK6,25,11,99
UniRef100_UPI0021D5AC5E,26,13,99
UniRef100_A0A2H1VQA5,27,12,99
UniRef100_A0A933KDH4,29,10,99
SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold4037278_1,26,14,99
UniRef100_UPI0020044A56,29,11,99
Dee2metaT_27_FD_contig_31_15726_length_349_multi_2_in_0_out_0_1,24,13,99
UPI00069B512B,27,10,99
UniRef100_A0A1V6AUF0,30,9,99
UniRef100_A0A7L4RDH3,28,11,99
UniRef100_A0A194S561,26,8,99
SRR3989338_4883496,27,11,99
UniRef100_A0A7S4KQ35,21,11,99
UPI000201A0B9,24,11,99
UniRef100_A0A7S0ZL70,24,12,99
UniRef100_A0A3D5ZQY9,27,13,99
24532|Ga0153956_1097749_1|-1|10,26,13,99
MGYP001107891719,22,10,99
23846|scaffold_261_c1_106|-102466|00,26,14,99
UniRef100_A0A966S0U4,26,10,99
MGYP000972470722,44,8,99
UniRef100_A0A7R8XKI4,22,10,99
MGYP001211609755,24,9,99
MGYP001049217348,25,11,99
UniRef100_A0A940QNQ2,26,11,99
UniRef100_A0A7S2ZYV9,25,10,99
GraSoiStandDraft_35_1057300.scaffolds.fasta_scaffold2919923_1,27,13,99
UniRef100_UPI001EE1D726,28,9,99
NorSeaMetagenome_1021524.scaffolds.fasta_scaffold474963_1,28,14,99
1186.fasta_scaffold122387_1,26,13,99
UniRef100_A0A2D6NAP0,24,12,99
5158|scaffold15435_4|+2661|00,26,10,99
MGYP000909792420,28,12,99
ABLZ01.1.fsa_nt_gi|174630918|gb|ABLZ01141906.1|_1,26,10,99
UniRef100_A0A9E6BBE0,25,11,99
