,3BE4_1|Chain A|Adenylate kinase|Cryptosporidium parvum Iowa II (353152),"1E4V_1|Chains A, B|Adenylate kinase|Escherichia coli (562)","4TYQ_1|Chains A, B|Adenylate kinase|Bacillus subtilis 168 (224308)","4JLP_1|Chains A, B|Adenylate kinase|Aquifex aeolicus (224324)",1ZIP_1|Chain A|ADENYLATE KINASE|Geobacillus stearothermophilus (1422),"5EJE_1|Chains A, B|Adenylate kinase|Escherichia coli (331111)","6ZJB_1|Chains A, B, C, D, E, F|GTP:AMP phosphotransferase AK3, mitochondrial|Homo sapiens (9606)",5G3Y_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),5G41_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),"4QBI_1|Chains A, B|Adenylate kinase|Geobacillus stearothermophilus (1422)",4QBF_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),"2EU8_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","4X8L_1|Chains A, B|Adenylate kinase|Escherichia coli K-12 (83333)","2ORI_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","2OO7_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)",1P3J_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),4MKG_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),4QBG_1|Chain A[auth B]|Adenylate kinase|Bacillus subtilis (224308),3FB4_1|Chain A|Adenylate kinase|Marinibacillus marinus (86667),"1E4Y_1|Chains A, B|Adenylate kinase|Escherichia coli (562)","8BQF_1|Chains A, B, C, D, E, F|Adenylate kinase|Escherichia coli (562)",3AKY_1|Chain A|ADENYLATE KINASE|Saccharomyces cerevisiae (4932),"4NU0_1|Chains A, B|Adenylate kinase|Streptococcus pneumoniae (373153)","4TYP_1|Chains A, B, C, D|Adenylate kinase|Bacillus subtilis 168 (224308)",5G3Z_1|Chain A|ADENYLATE KINSE|SYNTHETIC CONSTRUCT (32630),"3HPR_1|Chains A, B|Adenylate kinase|Escherichia coli (83333)",5X6J_1|Chain A|Adenylate kinase|Sporosarcina globispora (1459),1S3G_1|Chain A|Adenylate kinase|Sporosarcina globispora (1459),4K46_1|Chain A|Adenylate kinase|Photobacterium profundum (74109),5X6I_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),"3X2S_1|Chains A, B|Adenylate kinase|Escherichia coli str. K-12 substr. MDS42 (1110693)",6HAM_1|Chain A|Adenylate kinase|Escherichia coli (strain K12) (83333),2AKY_1|Chain A|ADENYLATE KINASE|Saccharomyces cerevisiae (4932),"2QAJ_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","3HPQ_1|Chains A, B|Adenylate kinase|Escherichia coli (83333)","4QBH_1|Chains A, B|Adenylate kinase|Geobacillus stearothermophilus (1422)","4X8O_1|Chains A, B|Adenylate kinase|Escherichia coli (562)",6HAP_1|Chain A|Adenylate kinase|Escherichia coli O139:H28 (strain E24377A / ETEC) (331111),"2OSB_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","1ZAK_1|Chains A, B|ADENYLATE KINASE|Zea mays (4577)","3DL0_1|Chains A, B|Adenylate kinase|Bacillus subtilis (1423)","4MKF_1|Chains A, B|Adenylate kinase|Bacillus subtilis (224308)",2RGX_1|Chain A|Adenylate kinase|Aquifex aeolicus (63363),2P3S_1|Chain A|Adenylate kinase|Bacillus subtilis (1423),"4W5J_1|Chains A, B, C, D|Adenylate kinase|Streptococcus pneumoniae D39 (373153)",4MKH_1|Chain A|Adenylate kinase|Bacillus subtilis (224308),"3TLX_1|Chains A, B, C, D|Adenylate kinase 2|Plasmodium falciparum (5833)"
UniRef100_A0A938G224,0.34146341463414637,0.4097560975609756,0.3853658536585366,0.41836734693877553,0.4097560975609756,0.4097560975609756,0.3399014778325123,0.44878048780487806,0.40487804878048783,0.40487804878048783,0.3951219512195122,0.3951219512195122,0.4097560975609756,0.3951219512195122,0.3902439024390244,0.3951219512195122,0.3951219512195122,0.3853658536585366,0.3951219512195122,0.4097560975609756,0.4195121951219512,0.32682926829268294,0.373134328358209,0.3804878048780488,0.4,0.4146341463414634,0.3902439024390244,0.3902439024390244,0.4,0.3951219512195122,0.4146341463414634,0.40487804878048783,0.32682926829268294,0.3951219512195122,0.4146341463414634,0.4097560975609756,0.4097560975609756,0.4146341463414634,0.3902439024390244,0.32,0.40487804878048783,0.3853658536585366,0.41836734693877553,0.3951219512195122,0.373134328358209,0.375609756097561,0.3121951219512195
UniRef100_A0A2E4KGF4,0.40384615384615385,0.3894230769230769,0.3942307692307692,0.40404040404040403,0.375,0.38461538461538464,0.3024390243902439,0.41346153846153844,0.41346153846153844,0.38461538461538464,0.4182692307692308,0.40384615384615385,0.3894230769230769,0.40384615384615385,0.39903846153846156,0.40384615384615385,0.41346153846153844,0.39903846153846156,0.40384615384615385,0.38461538461538464,0.39903846153846156,0.38461538461538464,0.33004926108374383,0.39903846153846156,0.40865384615384615,0.3894230769230769,0.40384615384615385,0.40384615384615385,0.40865384615384615,0.40384615384615385,0.3894230769230769,0.38461538461538464,0.3894230769230769,0.40384615384615385,0.3942307692307692,0.375,0.3894230769230769,0.3894230769230769,0.39903846153846156,0.33663366336633666,0.40865384615384615,0.3942307692307692,0.4090909090909091,0.40384615384615385,0.33004926108374383,0.39903846153846156,0.3605769230769231
UniRef100_A0A7X8EH41,0.3611111111111111,0.37777777777777777,0.3611111111111111,0.4124293785310734,0.3888888888888889,0.37777777777777777,0.3389830508474576,0.4444444444444444,0.4166666666666667,0.4,0.37777777777777777,0.37222222222222223,0.38333333333333336,0.37222222222222223,0.36666666666666664,0.37222222222222223,0.36666666666666664,0.37222222222222223,0.4,0.37222222222222223,0.3888888888888889,0.3388888888888889,0.34444444444444444,0.3888888888888889,0.4111111111111111,0.38333333333333336,0.36666666666666664,0.36666666666666664,0.3888888888888889,0.37222222222222223,0.38333333333333336,0.3888888888888889,0.34444444444444444,0.37222222222222223,0.38333333333333336,0.3888888888888889,0.37777777777777777,0.38333333333333336,0.36666666666666664,0.31666666666666665,0.37777777777777777,0.37777777777777777,0.4124293785310734,0.37222222222222223,0.34444444444444444,0.36666666666666664,0.31666666666666665
UniRef100_A0A6P6S0I7,0.2879581151832461,0.32019704433497537,0.315,0.32142857142857145,0.29,0.31527093596059114,0.3,0.34,0.31155778894472363,0.3,0.315,0.3,0.32019704433497537,0.3,0.3,0.295,0.315,0.315,0.31,0.31527093596059114,0.31527093596059114,0.34,0.3,0.315,0.31155778894472363,0.32019704433497537,0.3316582914572864,0.3316582914572864,0.2857142857142857,0.295,0.32019704433497537,0.3103448275862069,0.34,0.3,0.32019704433497537,0.3,0.31527093596059114,0.32019704433497537,0.3,0.3484848484848485,0.305,0.295,0.3163265306122449,0.3,0.3,0.32,0.3
SRR3989339_900174,0.37073170731707317,0.357487922705314,0.375609756097561,0.3553299492385787,0.3902439024390244,0.357487922705314,0.2961165048543689,0.4097560975609756,0.3902439024390244,0.3902439024390244,0.3902439024390244,0.36585365853658536,0.357487922705314,0.36585365853658536,0.36097560975609755,0.37073170731707317,0.3902439024390244,0.37073170731707317,0.375609756097561,0.3526570048309179,0.3671497584541063,0.375609756097561,0.34,0.37073170731707317,0.3951219512195122,0.36231884057971014,0.36097560975609755,0.36097560975609755,0.33816425120772947,0.37073170731707317,0.36231884057971014,0.357487922705314,0.3804878048780488,0.36585365853658536,0.36231884057971014,0.3853658536585366,0.357487922705314,0.357487922705314,0.36097560975609755,0.3165829145728643,0.375609756097561,0.36585365853658536,0.3604060913705584,0.36585365853658536,0.34,0.375609756097561,0.2926829268292683
ERR1740139_134365,0.38349514563106796,0.4444444444444444,0.36231884057971014,0.39086294416243655,0.3671497584541063,0.4444444444444444,0.35294117647058826,0.391304347826087,0.37681159420289856,0.37681159420289856,0.357487922705314,0.34782608695652173,0.4444444444444444,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.36231884057971014,0.36231884057971014,0.3719806763285024,0.4396135265700483,0.4444444444444444,0.4251207729468599,0.32673267326732675,0.3526570048309179,0.37681159420289856,0.4444444444444444,0.36231884057971014,0.357487922705314,0.4251207729468599,0.34299516908212563,0.4444444444444444,0.43478260869565216,0.4251207729468599,0.34299516908212563,0.4492753623188406,0.38164251207729466,0.4444444444444444,0.4444444444444444,0.34782608695652173,0.3333333333333333,0.34299516908212563,0.34299516908212563,0.39593908629441626,0.34782608695652173,0.32673267326732675,0.3526570048309179,0.34299516908212563
10844|scaffold03870_6|+6375|00,0.3701657458563536,0.3701657458563536,0.4198895027624309,0.4044943820224719,0.40331491712707185,0.3701657458563536,0.3539325842696629,0.43646408839779005,0.4198895027624309,0.39779005524861877,0.4198895027624309,0.39226519337016574,0.3701657458563536,0.39226519337016574,0.3867403314917127,0.39226519337016574,0.4198895027624309,0.4143646408839779,0.40331491712707185,0.36464088397790057,0.3756906077348066,0.40331491712707185,0.34806629834254144,0.4198895027624309,0.425414364640884,0.3756906077348066,0.39779005524861877,0.39779005524861877,0.35911602209944754,0.39226519337016574,0.3756906077348066,0.3756906077348066,0.4088397790055249,0.39226519337016574,0.3756906077348066,0.3812154696132597,0.3701657458563536,0.3756906077348066,0.3867403314917127,0.37988826815642457,0.40331491712707185,0.39226519337016574,0.4101123595505618,0.39226519337016574,0.34806629834254144,0.4143646408839779,0.34806629834254144
SRR5919199_676827,0.3333333333333333,0.38333333333333336,0.4222222222222222,0.4689265536723164,0.4388888888888889,0.38333333333333336,0.3559322033898305,0.4777777777777778,0.46111111111111114,0.4388888888888889,0.42777777777777776,0.43333333333333335,0.3888888888888889,0.4388888888888889,0.43333333333333335,0.42777777777777776,0.42777777777777776,0.4166666666666667,0.4388888888888889,0.37777777777777777,0.3888888888888889,0.35,0.4111111111111111,0.4166666666666667,0.45,0.3888888888888889,0.43333333333333335,0.42777777777777776,0.37777777777777777,0.4222222222222222,0.3888888888888889,0.4,0.35,0.43333333333333335,0.3888888888888889,0.42777777777777776,0.38333333333333336,0.3888888888888889,0.42777777777777776,0.35,0.4222222222222222,0.43333333333333335,0.4745762711864407,0.43333333333333335,0.4111111111111111,0.43333333333333335,0.3055555555555556
HubBroStandDraft_2_1064218.scaffolds.fasta_scaffold178120_2,0.3407821229050279,0.36065573770491804,0.30939226519337015,0.39325842696629215,0.30939226519337015,0.3551912568306011,0.287292817679558,0.36464088397790057,0.35359116022099446,0.3259668508287293,0.3259668508287293,0.32044198895027626,0.36065573770491804,0.32044198895027626,0.3149171270718232,0.32044198895027626,0.3259668508287293,0.30939226519337015,0.35911602209944754,0.3551912568306011,0.366120218579235,0.34806629834254144,0.3149171270718232,0.30939226519337015,0.35359116022099446,0.366120218579235,0.3425414364640884,0.3370165745856354,0.36065573770491804,0.3149171270718232,0.36065573770491804,0.3551912568306011,0.34806629834254144,0.32044198895027626,0.366120218579235,0.32044198895027626,0.36065573770491804,0.36065573770491804,0.3149171270718232,0.2681564245810056,0.3259668508287293,0.3149171270718232,0.398876404494382,0.32044198895027626,0.3149171270718232,0.3149171270718232,0.3701657458563536
GraSoiStandDraft_58_1057296.scaffolds.fasta_scaffold555110_1,0.28717948717948716,0.29743589743589743,0.2923076923076923,0.29533678756476683,0.3333333333333333,0.28205128205128205,0.26153846153846155,0.38461538461538464,0.3384615384615385,0.31794871794871793,0.30256410256410254,0.3076923076923077,0.29743589743589743,0.3076923076923077,0.30256410256410254,0.3128205128205128,0.3076923076923077,0.2923076923076923,0.3076923076923077,0.2923076923076923,0.29743589743589743,0.26153846153846155,0.2717948717948718,0.30256410256410254,0.3435897435897436,0.30256410256410254,0.3076923076923077,0.30256410256410254,0.26666666666666666,0.3076923076923077,0.30256410256410254,0.29743589743589743,0.26666666666666666,0.3076923076923077,0.30256410256410254,0.30256410256410254,0.30256410256410254,0.2923076923076923,0.3076923076923077,0.29533678756476683,0.3076923076923077,0.3128205128205128,0.3005181347150259,0.3076923076923077,0.2717948717948718,0.29743589743589743,0.26666666666666666
