Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,16,1658,7442
UniRef100_UPI0008F9FE91,16,29,120
UniRef100_UPI0009482ECF,17,27,120
UniRef100_UPI0011618038,17,27,120
UniRef100_UPI0005F4EE96,17,33,120
UniRef100_UPI000B91243E,16,35,120
UniRef100_UPI0012B60359,17,33,120
UniRef100_UPI0010BD6224,16,32,120
UniRef100_UPI0008F9B832,16,25,120
UniRef100_S4RG94,16,26,120
UniRef100_UPI0011C0FE68,17,35,120
UniRef100_UPI000874A629,17,23,120
UniRef100_A7RKW8,16,36,120
UniRef100_UPI0005C39C69,17,27,120
UniRef100_A0A060YRY7,17,27,120
UniRef100_UPI0007B826AD,16,24,120
UniRef100_A0A2B4SVG1,17,35,120
UniRef100_A0A3M6TKJ6,17,38,120
UniRef100_UPI000BAF5BC6,17,31,120
UniRef100_UPI0007403780,16,34,120
UniRef100_UPI00123BDB60,18,25,120
UniRef100_A0A183HYQ1,17,28,120
UniRef100_UPI000462710F,16,24,120
UniRef100_A0A401SCF3,17,24,120
UniRef100_UPI000A2A9CFC,16,39,120
UniRef100_UPI0007046CD4,17,34,120
UniRef100_A0A3P8VKY8,17,35,120
UniRef100_A0A2T7PCK9,16,27,120
UniRef100_K7GIC5,16,21,120
UniRef100_S7NKG9,17,30,120
UniRef100_UPI0002658BB4,16,29,120
UniRef100_UPI00123BAD06,17,31,120
UniRef100_UPI0004CCE303,17,30,120
UniRef100_UPI000786C0A8,16,24,120
UniRef100_UPI000B90D331,17,29,120
UniRef100_A0A3B5L3K5,16,31,120
UniRef100_UPI0010FCA2AC,17,26,120
UniRef100_A0A3Q3B3L4,16,21,120
UniRef100_UPI001130E108,17,37,120
UniRef100_A0A0L0BV92,17,33,120
UniRef100_UPI00094F0929,17,31,120
UniRef100_UPI000CDFD91B,17,32,120
UniRef100_UPI000C84D260,16,24,120
UniRef100_UPI0009E60C78,17,29,120
UniRef100_A0A401NRU3,16,30,120
UniRef100_A0A151Z880,17,24,120
UniRef100_H3K0H0,17,34,120
UniRef100_UPI0010FB0B0D,17,26,120
UniRef100_UPI0006440337,17,26,120
UniRef100_A7RFV1,16,30,120
UniRef100_Q22W70,16,43,120
UniRef100_UPI001039C979,16,33,120
UniRef100_UPI000947CB74,16,27,120
UniRef100_UPI000B913063,16,32,120
UniRef100_F0ZYY6,17,33,120
UniRef100_UPI000E453DFE,16,28,120
UniRef100_A0A5F4DAK5,16,29,120
UniRef100_UPI00109BA127,16,35,120
UniRef100_A0A3Q1IMX0,16,31,120
UniRef100_UPI000870B8C9,16,30,120
UniRef100_UPI0003345C67,16,27,120
UniRef100_A0A4W5PMI2,16,31,120
UniRef100_K7JPB2,17,25,120
UniRef100_A0A1B6CNV6,16,33,120
UniRef100_UPI0006234C37,16,26,120
UniRef100_D0MYD4,16,30,120
UniRef100_UPI000B4F3924,16,26,120
UniRef100_UPI0008F9DA9D,17,40,120
UniRef100_A0A3R7SH12,16,34,120
UniRef100_UPI000A2860D2,17,24,120
UniRef100_A0A384DNG6,15,23,120
UniRef100_A0A1Z5L921,16,31,120
UniRef100_A0A4P9XGJ8,17,29,120
UniRef100_F1KS60,17,30,120
UniRef100_UPI00109F0332,16,25,120
UniRef100_A0A0L0DTH4,16,26,120
UniRef100_S4RI48,17,34,120
UniRef100_UPI00103ECB1E,16,27,120
UniRef100_UPI0006D5115D,16,29,120
UniRef100_UPI0012ED462C,16,28,120
UniRef100_A0A2R5LCZ4,16,24,120
UniRef100_UPI00096B3D24,16,41,120
UniRef100_K7IQB3,16,37,120
UniRef100_A0A4U5VTL1,16,28,120
UniRef100_UPI00123A7AD9,17,26,120
UniRef100_A0A553QI50,17,25,120
UniRef100_A0A182FUQ7,17,32,120
UniRef100_A0A452VEF6,16,25,120
UniRef100_UPI000B933DB4,17,31,120
UniRef100_UPI00071192B6,17,26,120
UniRef100_UPI0006D90599,16,25,120
UniRef100_UPI000704393A,16,39,120
UniRef100_UPI0012B679C0,16,36,120
UniRef100_UPI000B90D655,17,33,120
UniRef100_A0A2B4RG08,16,35,120
UniRef100_UPI000C03F0B1,16,24,120
UniRef100_G1T265,16,30,120
UniRef100_A0A2C9JM01,17,30,120
UniRef100_A0A131YIX1,17,30,120
