Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_UPI0000E8DA2F,5,174,600
ERR1712183_437792,24,154,600
I7WD78,24,165,600
T1WHW4,24,135,600
UniRef100_A0A922NWI0,24,144,600
MGYP000989027824,24,115,600
UniRef100_A0A3T0NKK5,5,120,600
UniRef100_UPI001F4FE456,24,151,600
UniRef100_Q71EV9,24,129,600
UniRef100_A0A1G7T0Q5,23,183,600
UniRef100_UPI00106719B7,24,181,600
UniRef100_UPI00001D73C1,24,168,600
UniRef100_UPI00017EE951,5,140,600
UniRef100_A0A4V0CZ93,24,135,600
UniRef100_UPI0023618D47,24,154,600
UniRef100_A0A233W6U0,24,131,600
UniRef100_UPI002016A72E,24,190,600
UniRef100_UPI0001753C05,24,186,600
UniRef100_UPI001F5B5C01,25,129,600
UniRef100_UPI00001D8731,24,217,600
A0A233W6U0,24,133,600
D6S921,24,139,600
MGYP000990441686,24,137,600
UniRef100_A0A3P5YAC1,24,186,600
UniRef100_K9EPZ2,24,139,600
UniRef100_UPI0000D834FD,24,174,600
UniRef100_UPI00130399C2,23,200,600
A0A233VI99,24,129,600
UniRef100_UPI002016A71D,24,203,600
UniRef100_UPI00017EE952,24,193,600
UniRef100_UPI0006775843,24,175,600
UniRef100_K9EBI3,24,181,600
UniRef100_UPI00065F26C3,24,154,600
UniRef100_UPI00005E2B86,24,267,600
UniRef100_K9E8M0,24,140,600
UniRef100_UPI0020779CA9,24,168,600
B4XPB5,24,131,600
UniRef100_Q71EW1,24,131,600
UniRef100_A0A8E4CDU2,24,144,600
UniRef100_UPI0000358800,24,184,600
UniRef100_Q9S6L9,24,123,600
MGYP001114133641,4,148,600
MGYP000883108362,24,144,600
UniRef100_K9EBV2,24,209,600
UniRef100_UPI0002521384,24,151,600
UniRef100_A0A233VMP1,24,164,600
A0A0D1BDG4,24,137,600
UniRef100_E1KY41,4,121,600
E1KY41,4,130,600
UniRef100_UPI001D14DEB7,24,149,600
UniRef100_UPI0015F3524E,24,174,600
MGYP000319749211,24,146,600
UniRef100_UPI0000113178,4,170,600
UniRef100_UPI0000111373,24,168,600
UniRef100_Q71EU3,24,129,600
UniRef100_UPI0022B6E6F5,25,144,600
UniRef100_A0A0P6S320,4,157,600
