Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_A0A8T7MBW2_000538,51,9,59
MGYP000353464527_000112,51,9,59
SRR5687767_12971528_001547,10,9,59
UniRef100_A0A068MTS4_000517,51,10,59
A0A0D6AI59_000997,51,10,59
K9S983_001019,46,9,59
ERR1700722_7501246_000629,52,11,59
MGYP001156659613_000212,46,9,59
SRR5512135_826925_000873,46,9,59
SRR5215468_1401703_000790,46,11,59
ERR1044071_6207539_001181,46,11,59
SRR3954470_19367141_000672,46,12,59
SRR5262245_1749308_000657,46,9,59
SRR5579872_7290322_000366,51,9,59
SRR5437763_800995_000742,46,9,59
SRR5437762_810879_000695,51,9,59
UniRef100_A0A3A4QL01_000862,51,9,59
ERR1700722_8565389_001218,36,9,59
MGYP001104343189_001196,46,10,59
UniRef100_A0A2A2H275_000208,51,9,59
UniRef100_UPI001ED98FE2_000499,46,9,59
SRR4051794_18979206_000038,43,9,59
UniRef100_A0A978T3A4_000495,51,15,59
173_scaffold621188_2_197_00_001273,51,9,59
SRR3990172_3006631_000661,46,11,59
MGYP000949247799_000778,51,9,59
SRR3546814_812124_001090,46,11,59
SRR5688500_11386368_001398,46,10,59
SRR6476661_8254298_000085,10,10,59
ERR1700733_3944419_000597,51,11,59
MGYP001301799217_000165,46,10,59
UniRef100_A0A259CBL6_001141,46,10,59
SRR5579883_2846887_000497,50,10,59
SRR5581483_4770474_000037,51,9,59
SRR5579884_581209_000511,51,9,59
UniRef100_A0A2T6CYC5_000299,46,9,59
UniRef100_A0A352APH5_001042,46,9,59
UniRef100_A0A9D9KEM4_000564,51,10,59
UniRef100_A0A952ASN0_000568,50,10,59
MGYP000338274103_000115,46,11,59
MGYP000057409040_001250,51,9,59
A0A2G3PEZ0_000490,51,14,59
SRR5579863_6216684_001589,51,9,59
D8FUV4_001058,45,9,59
4473_scaffold_2151052_c1_1_2_11_001086,46,10,59
SRR5947209_6814046_000542,52,9,59
UniRef100_A0A3N5RD97_001179,51,10,59
SRR5512135_2792551_000866,45,9,59
SRR5258708_27969647_000608,51,11,59
UniRef100_A0A2V7MCC4_000699,46,11,59
ERR1700722_10926894_001137,47,11,59
UniRef100_A0A1F5RK69_000409,52,9,59
MGYP000178304832_001576,45,11,59
SRR5690242_7819924_001471,18,12,59
A0A182ASR4_000166,51,9,59
15315_Ga0326727_10571937_1_433_00_001638,46,10,59
UniRef100_A0A0G8AS18_000148,51,9,59
MGYP001152894032_000559,46,9,59
SRR5579859_1513625_000201,46,9,59
UniRef100_A0A2N1TJB6_001010,46,10,59
