Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,19,1116,10000
SRR6056297_96046,19,15,99
UniRef100_UPI00111A0E34,22,16,99
SRR6185503_6210776,18,18,99
UniRef100_A0A7X8EH41,13,13,99
UniRef100_A0A3M7NGZ7,21,13,99
UniRef100_A0A8J6ZRL9,22,13,99
EndMetStandDraft_7_1072992.scaffolds.fasta_scaffold7424135_1,19,11,99
MGYP000058693603,20,15,99
SRR5258706_7028216,22,15,99
H3GGY7,21,19,99
UniRef100_A0A1G3ZSV7,19,18,99
5042|contig_141906_2|-861|01,20,12,99
GraSoi2013_115cm_1033766.scaffolds.fasta_scaffold344879_1,19,14,99
UniRef100_A0A7H1AYW1,18,16,99
UniRef100_UPI000D0859CE,19,20,99
UniRef100_A0A7C1C5Z0,19,15,99
UniRef100_A0A9E2ML47,18,13,99
UniRef100_A0A949G5M5,19,14,99
UPI0008282876,16,12,99
UniRef100_A0A837ILP8,19,10,99
ERR1711965_93829,21,13,99
RifCSP16_2_1023846.scaffolds.fasta_scaffold618309_1,21,14,99
UniRef100_A0A432J8S8,18,14,99
SRR3989344_2756525,21,16,99
UniRef100_A0A1M3DRC6,17,16,99
EndMetStandDraft_4_1072995.scaffolds.fasta_scaffold3642995_1,18,17,99
UniRef100_A0A945GGH5,17,13,99
UniRef100_L1IND7,18,13,99
UniRef100_A0A1S9CKW5,20,15,99
MGYP001043210631,19,17,99
UniRef100_UPI001FF3BB61,19,14,99
UniRef100_A0A524EWW0,21,14,99
UniRef100_UPI00235A45B7,19,13,99
SRR3989338_2403813,19,14,99
UniRef100_A0A2E4KGF4,21,12,99
UniRef100_A0A6G3ZLI9,15,16,99
GraSoiStandDraft_45_1057281.scaffolds.fasta_scaffold45559_2,18,20,99
UniRef100_A0A7C3VGC2,22,14,99
6671|scaffold152375_3|-839|01,13,12,99
SRR4030066_853064,22,12,99
22297|Ga0315533_1006121_1|-141|00,20,17,99
UniRef100_A0A2E5KXA2,17,15,99
SRR5258705_2890841,17,14,99
UniRef100_A0A432VXF3,23,13,99
SRR6188474_548628,18,13,99
A0A1W9RPK6,20,11,99
UniRef100_A0A357FVP5,20,17,99
UPI00002E8AE8,22,17,99
ERR1719361_2167043,21,13,99
SRR3989344_7675466,17,14,99
UniRef100_A0A832JZV1,20,12,99
A0A1G1YXI7,18,14,99
D8TAU4,19,12,99
ERR1719362_2646947,20,16,99
UniRef100_A0A842UEQ1,21,12,99
SRR3954454_13006410,18,14,99
7196|NODE_259914_length_1644_cov_1.88194_2|-600|00,16,14,99
UniRef100_A0A7C5GLH6,18,13,99
SRR4051812_29835442,19,17,99
UniRef100_UPI000586F981,21,13,99
UniRef100_A0A398D020,18,17,99
MGYP000923185992,18,12,99
UniRef100_A2FQ69,20,20,99
UniRef100_A0A1H3Y9N2,23,16,99
UniRef100_UPI00166F3FAC,19,15,99
MesohylBB_1024984.scaffolds.fasta_scaffold58465_1,18,15,99
UniRef100_A0A970DJY6,20,14,99
UniRef100_A0A7C1H657,18,15,99
A0A1D7UCC6,20,16,99
UniRef100_A0A497HS85,19,15,99
UniRef100_UPI000BA9A152,21,18,99
ERR1719320_307390,20,19,99
UniRef100_A0A970C114,17,11,99
UniRef100_A0A7X2PMJ6,18,13,99
UniRef100_A0A920B6T9,19,14,99
Cyp1metagenome_2_1107374.scaffolds.fasta_scaffold1143480_1,21,13,99
A0A1V4RIB4,21,14,99
UniRef100_A0A2S7V0G4,18,13,99
MGYP001089127919,20,14,99
UniRef100_A0A9D0YDT0,19,16,99
RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold1924362_1,19,11,99
UniRef100_A0A1F4YGK0,19,14,99
MGYP001028227739,17,13,99
UniRef100_A0A351AU44,19,17,99
UniRef100_A0A136PE24,20,19,99
UniRef100_A0A943G935,18,16,99
ERR1740139_134365,12,14,99
MGYP001135307426,19,14,99
UniRef100_A0A660RJK3,13,11,99
UniRef100_A0A507E2P6,20,10,99
UniRef100_A0A1G6IB31,18,12,99
MGYP001458521086,21,20,99
UniRef100_A0A7C5VXD2,21,16,99
UniRef100_A0A841GQZ3,18,13,99
UniRef100_A0A847B2Y1,20,18,99
UniRef100_A0A1F6S287,19,16,99
ERR1719499_1092783,21,16,99
UniRef100_A0A918MBK9,20,15,99
MGYP001481918335,20,15,99
UniRef100_A0A2E1GSL4,19,19,99
UniRef100_A0A2V9YRH6,19,14,99
GraSoiStandDraft_5_1057265.scaffolds.fasta_scaffold5533187_1,19,18,99
UniRef100_A0A938G224,18,12,99
UniRef100_A0A1F5UPE7,21,18,99
14937|scaffold377830_1|+2|10,19,18,99
LakMenE01Jun11ns_1017448.scaffolds.fasta_scaffold7807815_1,20,14,99
UniRef100_A0A101VXI0,14,12,99
26189|Ga0315274_10362858_1|-71|00,17,14,99
ERR1712130_138693,17,15,99
SRR5215218_4708874,20,12,99
SRR6185437_7558785,21,13,99
UniRef100_A0A485L4N0,20,13,99
GraSoiStandDraft_30_1057271.scaffolds.fasta_scaffold2033039_1,20,23,99
MGYP000859416566,19,14,99
UniRef100_A0A6I2YET1,19,15,99
UniRef100_A0A7V9D8K5,20,17,99
UniRef100_G9WFJ7,20,17,99
UniRef100_A0A2E1QND6,21,17,99
SRR3989338_801608,16,13,99
3300000227.a:TB_AS07_7DRAFT_10000194_23,17,14,99
22688|scaffold_201588_c1_1|-26|01,19,14,99
UniRef100_A0A2P5SXE0,14,11,99
GraSoiStandDraft_58_1057296.scaffolds.fasta_scaffold555110_1,12,11,99
UniRef100_K0YTN7,18,13,99
A0A0M8N7J8,19,18,99
SRR5919202_1918270,18,12,99
A0A023B542,16,13,99
UniRef100_A0A8H8A0D9,18,13,99
UniRef100_A0A534IDC0,21,14,99
UniRef100_A0A7V5D108,15,12,99
UniRef100_A0A968KW91,19,12,99
UniRef100_A0A7Y5H9F9,17,14,99
24505|Ga0214257_1015758_1|+129|00,20,12,99
UniRef100_A0A519FRK6,18,15,99
UniRef100_UPI0021D5AC5E,20,13,99
UniRef100_A0A2H1VQA5,19,15,99
UniRef100_A0A933KDH4,13,12,99
SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold4037278_1,19,14,99
UniRef100_UPI0020044A56,18,14,99
Dee2metaT_27_FD_contig_31_15726_length_349_multi_2_in_0_out_0_1,20,14,99
UPI00069B512B,18,12,99
UniRef100_A0A1V6AUF0,17,14,99
UniRef100_A0A7L4RDH3,18,16,99
UniRef100_A0A194S561,16,13,99
SRR3989338_4883496,18,17,99
UniRef100_A0A7S4KQ35,21,16,99
UPI000201A0B9,21,13,99
UniRef100_A0A7S0ZL70,22,13,99
UniRef100_A0A3D5ZQY9,22,17,99
24532|Ga0153956_1097749_1|-1|10,19,22,99
MGYP001107891719,21,13,99
23846|scaffold_261_c1_106|-102466|00,19,16,99
UniRef100_A0A966S0U4,17,14,99
MGYP000972470722,12,11,99
UniRef100_A0A7R8XKI4,19,12,99
MGYP001211609755,17,15,99
MGYP001049217348,20,13,99
UniRef100_A0A940QNQ2,18,16,99
UniRef100_A0A7S2ZYV9,20,15,99
GraSoiStandDraft_35_1057300.scaffolds.fasta_scaffold2919923_1,18,15,99
UniRef100_UPI001EE1D726,19,15,99
NorSeaMetagenome_1021524.scaffolds.fasta_scaffold474963_1,18,16,99
1186.fasta_scaffold122387_1,22,12,99
UniRef100_A0A2D6NAP0,20,14,99
5158|scaffold15435_4|+2661|00,17,13,99
MGYP000909792420,18,15,99
ABLZ01.1.fsa_nt_gi|174630918|gb|ABLZ01141906.1|_1,20,17,99
UniRef100_A0A9E6BBE0,20,15,99
MGYP001083210615,20,17,99
A0A1Y2K4W0,18,15,99
UniRef100_A0A7Y5GE27,21,19,99
MGYP001165481727,20,16,99
UniRef100_A0A956PIZ7,17,11,99
UniRef100_A0A941NX63,21,20,99
UniRef100_A0A7X9GR94,19,13,99
UniRef100_A0A1J4MA48,19,13,99
UniRef100_A0A381RUD2,19,14,99
UniRef100_A0A382LX33,17,16,99
UPI0003B1C3A0,21,13,99
ERR1719491_52109,20,12,99
UniRef100_UPI0022CE1F31,19,14,99
MGYP000322289226,21,17,99
UniRef100_A0A937PHZ7,20,18,99
UniRef100_A0A915UEJ1,20,18,99
SRR6267142_4641171,19,12,99
SRR4051794_24170284,17,17,99
MGYP000857359955,17,15,99
SRR3954454_6805038,20,16,99
UniRef100_A0A3N5XHX8,21,15,99
TARA_AON_82_MAG_00328_000000004293.2.1,20,17,99
2164|scaffold227987_1|+1|10,21,16,99
UniRef100_A0A2D5W8V7,20,18,99
10844|scaffold03870_6|+6375|00,12,12,99
9308|Ga0075391_10600011_1|+2|10,20,15,99
UniRef100_A0A931FD25,17,15,99
MGYP000513614931,19,16,99
UniRef100_A0A7S1AKJ7,21,22,99
A0A1G1YNP7,18,15,99
MGYP001359667149,21,11,99
A0A0K2JRA8,19,18,99
GraSoiStandDraft_43_1057313.scaffolds.fasta_scaffold1771953_1,16,14,99
B3RNF9,20,15,99
UniRef100_A0A9D8G4P1,18,14,99
