Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,48,1116,2500
MGYP001043895668,48,18,49
UniRef100_A0A8C1H9U8,48,26,49
UniRef100_A0A6P7Y4Y6,48,21,49
UniRef100_A0A9D3MKP7,48,20,49
UniRef100_A0A1D1WA82,48,20,49
UniRef100_UPI00083994BF,48,26,49
ERR1719342_1514845,48,30,49
UniRef100_A0A851YAK8,48,21,49
UniRef100_A0A061S7W5,48,23,49
SRR3989338_108042,48,20,49
UniRef100_A0A914DIE0,48,20,49
9309|Ga0210274_1574327_1|-42|01,47,15,49
UniRef100_UPI001402A2BC,48,20,49
UniRef100_UPI001BF7967D,48,20,49
UniRef100_A0A024UXU4,48,27,49
S4RR31,48,21,49
UniRef100_A0A914AF89,48,23,49
UniRef100_A0A813PWD3,48,24,49
UniRef100_A0A8B8CG71,47,19,49
UniRef100_UPI0008F9A8A2,48,16,49
UniRef100_UPI000EFF08B9,48,23,49
UniRef100_A0A158PE66,48,24,49
A0A1I8IWR4,48,15,49
UniRef100_A0A814HGX0,48,25,49
UniRef100_UPI001BB2275D,48,13,49
UniRef100_A0A2P6TEI9,48,19,49
UniRef100_UPI0014559629,48,18,49
MGYP001046782151,48,22,49
Dee2metaT_28_FD_contig_21_3245477_length_258_multi_5_in_0_out_0_1,48,22,49
UniRef100_A0A6B2L2F5,48,24,49
MGYP001103499012,48,20,49
UniRef100_UPI0005F0715B,48,17,49
ERR1719378_1950428,48,17,49
UniRef100_UPI001CDC40AA,48,22,49
UniRef100_Q9U2U8,48,24,49
A0A151M188,48,24,49
UniRef100_A0A818F958,48,20,49
UniRef100_A0A8D9BPY6,48,22,49
UniRef100_UPI000E6E2328,48,25,49
UniRef100_UPI0022DF808C,48,30,49
UniRef100_A0A811K687,48,23,49
L8HDH5,48,29,49
UniRef100_A0A8C7Z7B7,48,21,49
UniRef100_A0A1A6H976,48,19,49
ERR1719285_1632577|ERR1726614_k119_1852874|+|1718|0|8|452|4227|452[452]:1078[1078]:627[627]|1388[1388]:1633[1633]:246[246]|1972[1978]:2106[2106]:135[129]|2270[2270]:2512[2512]:243[243]|2612[2615]:3031[3031]:420[417]|3080[3095]:3355[3355]:276[261]|3558[3558]:3758[3758]:201[201]|4054[4054]:4227[4227]:174[174],48,22,49
ERR1712136_194773,48,15,49
UniRef100_A0A2G8JGB6,47,13,49
ERR1711988_582555,48,19,49
A0A0N5E4U7,48,22,49
UniRef100_A0A226DUU9,48,23,49
UniRef100_A0A4Z2DW61,48,21,49
UniRef100_A0A3P9Q6E2,48,20,49
UniRef100_A0A261CJB1,48,23,49
UniRef100_A0A1D2MH26,48,25,49
UniRef100_A0A7C9AH48,48,22,49
UniRef100_A8XHW0,47,17,49
UniRef100_UPI0020B3271A,48,28,49
TARA_MED_95_MAG_00463_000000001373.5.11,48,21,49
UniRef100_F0WWH4,48,21,49
UniRef100_A0A3M6TK71,48,24,49
4411|Ga0307468_100442389_1|-2|10,48,21,49
UniRef100_UPI0018F5F14C,48,14,49
MGYP000374436788,48,25,49
UniRef100_UPI001C20B587,48,16,49
A0A1I7VH55,48,27,49
GraSoiStandDraft_45_1057281.scaffolds.fasta_scaffold434787_1,48,22,49
UniRef100_A0A8J1XRH8,48,31,49
UniRef100_UPI00123A2ED2,48,20,49
A0A093PL03,48,23,49
A0A0V1J583,48,27,49
SRR3989338_3549196,48,22,49
H0WR60,48,21,49
UniRef100_Q6R1Y6,48,22,49
UniRef100_UPI0020B401A2,48,22,49
J3M5A3,48,17,49
UniRef100_A0A8J9Z3Y7,48,27,49
UniRef100_UPI001D06020B,48,21,49
T1IWC4,47,20,49
UniRef100_A2FEM8,48,27,49
UniRef100_A0A3B3RPQ2,48,22,49
UniRef100_A0A0P4VYT9,48,17,49
UniRef100_A0A084VVY1,48,21,49
TARA_MED_95_MAG_00520_000000006713.1.3,48,24,49
UniRef100_A0A1J4KIR1,48,21,49
UniRef100_V3ZP67,48,20,49
UniRef100_A0A6J1W3U8,48,19,49
UPI0000DC108B,48,20,49
UniRef100_A0A0F9EA80,48,22,49
UniRef100_A0A914AZW8,48,20,49
25961|Ga0247727_11114821_1|+1|11,48,23,49
UniRef100_A0A7J6YPA5,48,15,49
UniRef100_A0A0N5CK25,48,18,49
UniRef100_A0A8K0NV91,48,11,49
ERR1719494_1202835,48,22,49
ERR1719354_968574,48,16,49
GraSoiStandDraft_10_1057309.scaffolds.fasta_scaffold2251280_1,48,20,49
UniRef100_A0A3B3YAI3,48,23,49
UniRef100_UPI001C3F9800,48,22,49
A9UYJ2,48,22,49
A0A068XLM2,48,18,49
A2FG05,48,24,49
ERR1719272_2732914,48,16,49
MGYP001057110544,48,19,49
Q8WSU4,48,21,49
UniRef100_UPI0008F9B084,48,20,49
ERR550519_4660,48,27,49
A0A1J4KZQ3,48,23,49
UniRef100_UPI001C70B975,48,34,49
UniRef100_UPI002307EA57,48,17,49
UniRef100_W4FKA1,48,23,49
SRR4030042_2644542,48,28,49
UniRef100_A0A669CMC3,48,17,49
MGYP001137528771,48,26,49
UniRef100_A0A6P7G6X4,47,12,49
B4J4Z5,48,20,49
KBSMisStandDraft_5_1062788.scaffolds.fasta_scaffold3713323_1,48,19,49
A0A2C9U7X2,48,29,49
UniRef100_A0A060SX56,48,27,49
UniRef100_UPI001EF8EA99,48,16,49
UniRef100_A7RHA0,48,26,49
UniRef100_A9B4V4,48,25,49
Q54XX5,48,15,49
SRR3972149_2452540,48,28,49
UniRef100_R7TTK0,48,24,49
UniRef100_A0A0N5A9U1,48,24,49
UniRef100_A0A8K1CUB6,48,26,49
UniRef100_A0A8C4R7N8,48,22,49
UniRef100_T1G6L0,48,19,49
GraSoiStandDraft_35_1057300.scaffolds.fasta_scaffold00052_3,48,25,49
UniRef100_UPI001B88A82D,48,22,49
UniRef100_A0A8J4UZM1,48,19,49
UniRef100_UPI001EE0CF29,48,17,49
UniRef100_A0A0N5A830,48,16,49
MGYP001150757241,48,26,49
UniRef100_A0A0V0QK59,48,25,49
ERR1712048_869005,48,21,49
SoimicmetaTmtLAA_FD_contig_31_12196153_length_341_multi_2_in_0_out_0_1,48,29,49
UniRef100_A0A8C6SAW4,48,17,49
Q54U31,48,27,49
UniRef100_A0A1X7TNR9,48,21,49
UniRef100_A0A5S6QCC1,48,26,49
MGYP001090033079,48,23,49
UniRef100_A0A812B6X4,48,19,49
UniRef100_A0A1W0WMS4,48,30,49
UniRef100_L8GIF8,48,21,49
UniRef100_F2U7Y1,48,26,49
UniRef100_G1PY75,48,19,49
GraSoiStandDraft_38_1057308.scaffolds.fasta_scaffold1261967_1,48,28,49
K1RL30,48,16,49
MGYP001496530615,48,29,49
ERR1712127_1032819,48,21,49
APFre7841882654_1041346.scaffolds.fasta_scaffold739470_1,48,32,49
ERR1719461_1800809,48,22,49
ERR1711971_591744,48,26,49
MGYP001045965344,48,32,49
UniRef100_A0A7I8V9L4,48,19,49
UniRef100_A0A0V0S3M5,48,26,49
UniRef100_UPI000C20BF54,48,22,49
A0A1I8BHU5,48,18,49
A0A0D3C0Q3,48,22,49
LakMenE01Jun11ns_1017448.scaffolds.fasta_scaffold4915143_1,48,27,49
UniRef100_UPI002235DD16,48,23,49
W4ZJQ4,48,21,49
UniRef100_A0A8J2KC82,48,22,49
ERR1719296_170195,48,26,49
UniRef100_A0A0L0DNY5,48,23,49
ERR1719427_1296114,48,23,49
UniRef100_A0A4U5PE67,48,18,49
ERR1719210_611836,48,15,49
UniRef100_A0A1I8MBY2,48,28,49
UniRef100_A0A1B1ACY2,48,25,49
UniRef100_A0A914CZH8,48,31,49
UniRef100_A0A1A8S1K0,48,24,49
UniRef100_UPI00065B8F4F,48,20,49
L8H1Q4,48,22,49
SRR5262245_25589293,48,21,49
UniRef100_A0A6I8S3G9,48,24,49
ERR1719259_1117529,48,18,49
UniRef100_A0A8B7YF54,48,29,49
UniRef100_A0A913Y2C8,48,19,49
UniRef100_A0A8J9ZAJ1,48,18,49
UniRef100_UPI002234D159,48,19,49
UniRef100_A0A2C9K9C7,48,23,49
O77050,48,26,49
A0A0R3RRF0,48,21,49
UniRef100_A0A914DG95,48,22,49
Q63132,48,25,49
ERR1719410_449097,48,28,49
R7VHS3,48,17,49
UniRef100_UPI001425787A,47,10,49
A0A196SBV3,48,22,49
UniRef100_R7UTR8,48,27,49
SRR5947209_3466181,48,25,49
GraSoiStandDraft_60_1057301.scaffolds.fasta_scaffold2208557_1,48,25,49
UniRef100_A0A2P6MX36,48,20,49
UniRef100_UPI000C20E20A,48,18,49
ERR1719259_1233745,48,22,49
UniRef100_UPI000C03E907,48,23,49
Q07153,48,27,49
UniRef100_A0A8S1GTH8,47,14,49
ERR550537_830820,48,19,49
ERR1719232_1520735,47,14,49
UniRef100_UPI001CF5D315,48,25,49
ERR1719295_354416,48,22,49
UniRef100_R1E8L0,48,20,49
V8P8P9,48,25,49
SRR5258706_11735652,48,23,49
A0A0L8GTG6,48,22,49
UniRef100_A0A0D2WUJ0,47,15,49
MGYP000199543855,48,23,49
MGYP001034108670,48,21,49
UniRef100_A0A1A8DHB3,48,26,49
MGYP000297566070,48,27,49
ERR1711988_1687149,48,16,49
UniRef100_UPI000BA82433,47,16,49
UniRef100_A0A7D9DDJ9,48,23,49
UniRef100_A0A2G9RDD4,48,27,49
UniRef100_A0A2C9KBH0,48,23,49
UniRef100_A0A3Q3EXY1,48,22,49
UniRef100_T1PQJ9,48,30,49
ERR1711964_4628,48,23,49
UniRef100_UPI000C254B4C,48,31,49
UniRef100_U3I2I6,48,23,49
UniRef100_A0A8C6LQG9,48,21,49
A0A1S3D4Q2,48,9,49
