Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,40,469,2500
UniRef100_UPI0006FC48C0,39,10,49
SRR4051794_13195825,41,10,49
ERR1700712_4028871,40,12,49
UniRef100_UPI00223AB7E9,41,13,49
MGYP001372220067,41,13,49
SRR5690348_5355741,38,12,49
SRR3954454_8403977,38,11,49
12684|Ga0207652_11722284_1|+1|10,38,9,49
SRR5690606_32734380,39,9,49
SRR5688500_14390133,39,13,49
MGYP000968435101,41,12,49
16188|scaffold396175_1|+3|10,39,9,49
SRR5687768_13062983,40,11,49
UniRef100_A0A3A5AMV8,39,9,49
SRR5687767_3050291,40,17,49
ERR1700752_3713811,40,9,49
UniRef100_UPI001EE9442B,41,11,49
RhiMethySRZTD1v2_1073278.scaffolds.fasta_scaffold2055076_1,40,13,49
MGYP000935021440,39,12,49
SRR5918995_814072,41,11,49
UniRef100_O27167,40,18,49
26105|scaffold_302880_c1_1|+3|10,40,11,49
SRR6476646_6946972,40,16,49
SRR5687768_2906383,39,10,49
ERR1700720_4348163,40,10,49
U2E7T8,40,12,49
3973|scaffold35645291_1|-3|11,39,9,49
SRR6185436_17039065,41,14,49
SRR5215472_4198126,37,9,49
UniRef100_UPI000EAFD4D2,38,11,49
ERR1700722_12366374,40,9,49
UniRef100_A0A9E0M7S5,41,12,49
UniRef100_A0A1Z4H5J9,40,13,49
171|scaffold1585334_1|-2|11,40,11,49
ERR1035437_1154656,39,11,49
MGYP001389227295,40,12,49
UniRef100_A0A924UEV4,37,9,49
SRR4051794_26292551,37,9,49
SRR5438105_15652586,40,10,49
UniRef100_A0A846SWT5,39,13,49
UniRef100_A0A6L9ZZJ6,40,11,49
UniRef100_A0A1F9YDV5,41,12,49
MGYP000380281539,41,13,49
18111|scaffold5496596_1|+1|10,39,8,49
MGYP001461277908,39,12,49
UniRef100_M1X0J1,40,11,49
UniRef100_A0A9E0XK36,39,11,49
MGYP000993669757,38,9,49
UniRef100_A0A934IM09,38,10,49
MGYP001278583078,41,17,49
ERR1700722_20511130,40,9,49
UniRef100_A0A4P5VG86,41,11,49
A0A1J5C613,40,11,49
UniRef100_UPI00098B3875,40,10,49
MGYP001066236307,41,12,49
SRR5688572_8839368,40,10,49
ERR1700730_14184032,40,9,49
SRR5208283_4615029,40,10,49
ERR1700733_3944419,41,10,49
ERR1700744_1552269,40,15,49
SRR5579875_1882168,41,14,49
ERR1051325_6712386,39,8,49
UniRef100_UPI001FF365F9,41,10,49
13960|scaffold3178441_1|-3|10,41,13,49
SRR3954468_6301146,38,12,49
GraSoiStandDraft_36_1057302.scaffolds.fasta_scaffold2197951_1,38,8,49
UniRef100_UPI0003674D18,40,11,49
SRR5579864_8100049,40,10,49
1009|scaffold_164546_c1_1|-61|01,39,10,49
UniRef100_A0A419FZ30,40,11,49
SRR5690348_10329468,36,9,49
MGYP001025353121,40,16,49
UniRef100_A0A2Z5SWA1,40,12,49
2994|scaffold1408702_1|+3|10,37,12,49
UniRef100_A0A969QGP7,41,9,49
SRR5262245_48067131,37,8,49
SRR4051812_9386550,40,13,49
SRR5688572_24969558,40,9,49
SRR5476649_2031641,41,12,49
SRR4051812_41837794,39,12,49
UniRef100_A0A1G5QMV4,41,11,49
SRR4051812_13525659,40,8,49
SRR5215469_2096045,40,13,49
UniRef100_A0A957VRB9,40,12,49
A0A1F9YDV5,40,16,49
SRR5687767_10232196,40,15,49
14421|Ga0335080_12489233_1|+1|10,40,11,49
UniRef100_A0A3N5LCK4,38,12,49
SRR4051794_36083926,41,14,49
ERR1700722_2481008,40,17,49
A0A1Z9J5R9,40,10,49
MGYP000975491216,40,10,49
SRR5471032_894942,41,9,49
UniRef100_A0A925KJE3,39,10,49
UniRef100_A0A6P2AVH7,41,15,49
UniRef100_UPI0022ABC7BC,38,10,49
UniRef100_UPI001C0312E0,40,9,49
SRR6056297_1232051,40,13,49
UniRef100_UPI000BBB0EDC,39,11,49
SRR5206468_12654715,38,10,49
UniRef100_A0A842YB97,39,8,49
UniRef100_A0A958FYA2,40,10,49
UniRef100_A0A969LVT8,40,11,49
UniRef100_A0A8I1MLB3,40,12,49
SRR5215212_6862074,41,11,49
SRR5437763_1847144,39,8,49
UniRef100_A0A2N2TE21,39,11,49
ERR1700712_3522394,40,12,49
UniRef100_A0A661RW79,39,11,49
2308|scaffold3535599_2|+154|01,40,13,49
UniRef100_A0A0W1AAC0,39,16,49
UniRef100_A0A2U3KYZ8,41,12,49
SRR5271170_5186789,40,11,49
16318|scaffold4329361_1|-1|10,41,12,49
SRR5436190_13122249,38,12,49
10430|Ga0209474_10144690_2|+905|00,40,10,49
UniRef100_UPI000381C4D0,40,11,49
9894|scaffold58955_1|+2|10,40,10,49
UniRef100_A0A929A0D7,39,10,49
UniRef100_A0A517R0M2,38,10,49
SRR4029079_15302362,41,15,49
UniRef100_A0A1I3Z4Q8,41,14,49
MGYP000861593678,40,10,49
UniRef100_A0A3P3WBM7,38,10,49
SRR5688572_6709826,38,10,49
SRR5436309_11883760,38,8,49
UniRef100_UPI000388386E,41,11,49
SRR6478735_1265867,39,10,49
UniRef100_A0A519GDS4,38,14,49
SRR5688500_1765209,40,13,49
SRR6185436_113182,41,10,49
SRR4051794_5282852,40,13,49
SRR2546423_1827470,40,12,49
MGYP001122549760,40,14,49
SRR3954464_92275,38,13,49
SRR4051812_21121977,39,11,49
SRR5437879_4677045,41,11,49
UniRef100_A0A2V7X935,40,14,49
UniRef100_A0A9E8NCQ1,40,10,49
ERR1041385_7021105,40,15,49
ERR1700742_4553115,40,12,49
SRR5512142_2780170,40,13,49
SRR3954464_11281254,40,12,49
UniRef100_A0A934ZHZ1,39,11,49
SRR5688572_5223885,40,12,49
MGYP001056320070,41,17,49
ERR1700741_3616879,39,9,49
SRR5215212_4966909,40,9,49
UniRef100_A0A5Q4HDZ7,40,11,49
SRR5258708_26845243,39,10,49
5889|Ga0247693_1092479_2|-73|01,40,11,49
SRR5262245_21053283,39,11,49
SRR5215472_10696085,40,9,49
SRR5688572_22257099,38,10,49
ERR671929_666605,41,9,49
UniRef100_A0A978SYP4,40,14,49
SRR6185295_5819301,40,15,49
UniRef100_UPI0007C7CDF6,40,12,49
SRR6185312_1433265,38,10,49
UniRef100_UPI0003480352,41,10,49
UniRef100_A0A1T4Y342,40,12,49
MGYP000402617958,37,12,49
SRR4051812_35137885,40,10,49
SRR5450432_410360,41,12,49
UniRef100_A0A1Z3HNK6,41,9,49
SRR5918911_2630293,39,9,49
SRR5262249_35616129,40,13,49
SRR5690348_834293,40,12,49
UniRef100_UPI001FBB081A,40,11,49
SRR5512140_1866603,39,9,49
UniRef100_A0A932QS39,40,9,49
UniRef100_A0A5B9QXM9,40,13,49
UniRef100_A0A7W0T423,41,13,49
UniRef100_A0A2A3U575,38,8,49
SRR5207248_3272038,39,12,49
SRR3954447_15983665,40,14,49
SoimicmetaTmtLMB_FD_contig_41_2280986_length_732_multi_3_in_0_out_0_2,41,11,49
MGYP001100262719,40,13,49
UniRef100_UPI000949A987,40,14,49
SRR6218665_791880,41,16,49
UniRef100_A0A3C1EZQ8,40,10,49
UniRef100_B7KFQ6,39,10,49
DEB19_MinimDraft_3_1074340.scaffolds.fasta_scaffold00558_11,40,13,49
SRR5256885_6056400,41,10,49
SRR6476469_387071,39,10,49
SRR5215208_4761597,37,9,49
SRR5205085_12007674,38,14,49
UniRef100_A0A7Y4R9W3,40,13,49
SRR3569833_1614500,40,11,49
SRR5579883_146820,40,10,49
MGYP000029325622,40,12,49
SRR5512142_2493476,40,11,49
UniRef100_A0A5R9GNN8,41,8,49
UniRef100_A0A975R7G8,41,12,49
SRR3989442_15969486,39,9,49
SRR5438552_14729310,41,9,49
ERR1035437_1306682,38,9,49
12753|scaffold2797581_1|-1|10,39,10,49
SRR6185503_3141018,40,9,49
SRR5215475_16207902,40,9,49
22526|Ga0209918_1002141_3|-3888|00,41,13,49
ERR1700755_2736157,37,8,49
10576|scaffold24494_2|-1840|00,40,10,49
SRR4051794_6504291,41,14,49
11546|Ga0302155_10504043_2|-92|01,41,9,49
UniRef100_A0A238V520,37,11,49
26217|Ga0315288_10656754_2|+580|00,39,12,49
SRR3954462_14822670,40,8,49
SRR3954462_5469870,40,12,49
UniRef100_UPI0021E125E4,40,14,49
UniRef100_A0A4Q3W7Z8,38,11,49
MGYP000365168829,37,9,49
UniRef100_A0A1G1IJ96,40,12,49
SRR6187549_1112222,40,11,49
UPI000463B7AB,40,12,49
A0A1M7BTQ6,41,9,49
SRR4051812_39967108,41,12,49
UniRef100_A0A7C5ZKV2,40,10,49
MGYP001177781319,40,13,49
SRR5688572_6412517,41,11,49
UniRef100_A0A926TPC0,39,12,49
2942|Ga0136616_10246876_2|+265|00,38,10,49
UniRef100_A0A7V8ZTA7,40,10,49
UniRef100_A0A3N5MRU8,40,9,49
UniRef100_UPI0008330A3D,40,12,49
UniRef100_UPI001655675A,40,13,49
3300025161.a:Ga0209381_1000059_155,40,13,49
SRR5262245_50139842,41,12,49
UniRef100_A0A846AAL4,40,12,49
UniRef100_A0A6P2ADR8,40,11,49
18753|scaffold297192_2|-1307|01,37,10,49
UniRef100_A0A953J5U9,40,12,49
UniRef100_A0A502Y6R9,41,10,49
UniRef100_A0A832S9P6,39,10,49
UniRef100_A0A940VRZ4,41,15,49
MGYP001065615226,39,11,49
UniRef100_UPI0020C5257D,39,11,49
23068|scaffold_2846872_c1_2|-80|01,38,12,49
SRR3954465_2949529,38,12,49
24830|scaffold_62857_c1_2|+1010|00,41,10,49
UniRef100_A0A1L9QSP5,39,8,49
UniRef100_A0A5C4XPJ0,39,11,49
SRR3954470_1804896,40,11,49
SRR4030042_668180,41,12,49
MGYP001346457885,38,9,49
ERR1044071_6346850,40,9,49
A0A1V9FV28,40,10,49
SRR5687768_9919759,41,13,49
SRR5688500_10455638,40,15,49
23889|scaffold_12667_c1_5|-4648|00,40,10,49
SRR5580765_8576686,40,11,49
SRR5579864_3960189,40,14,49
SRR6185503_10146701,38,10,49
SRR5512147_820220,38,10,49
SRR6478672_5408653,40,10,49
SRR6184192_2923604,40,10,49
UniRef100_UPI00196462EA,39,8,49
SRR5664280_1488431,39,9,49
SRR6185503_1734336,40,12,49
MGYP001448036103,39,10,49
ERR1051325_1995856,39,9,49
SRR5437763_15984754,38,9,49
22001|scaffold347243_2|+385|00,40,13,49
3300005101.a:Ga0072934_10062312_5,40,13,49
UniRef100_A0A929FDN0,40,13,49
UniRef100_A0A5Q0EN85,41,12,49
UniRef100_A0A968VCZ5,40,15,49
UniRef100_UPI001565DCEC,40,12,49
SRR5215467_8530085,41,8,49
A0A1V2CGZ9,38,10,49
SRR3954464_5017664,38,9,49
3300005286.a:Ga0065721_10055603_6,41,15,49
UniRef100_A0A3N5JI30,40,10,49
4897|Ga0209722_1004395_9|+8395|00,41,15,49
UniRef100_A0A924TG80,40,10,49
UniRef100_A0A6N2EMP2,41,12,49
MGYP000568355136,39,11,49
SRR4029453_4972704,41,10,49
692|scaffold_331_c1_9|+8123|00,40,13,49
SRR5687767_14767911,40,9,49
12119|Ga0209624_10599000_1|+2|10,37,9,49
A0A0M9EDR1,41,12,49
UniRef100_W4LKA2,38,9,49
ERR1700746_1752687,38,12,49
6728|Ga0208741_11041925_1|-2|11,41,11,49
MGYP000910624549,41,11,49
SRR5689334_19297450,40,10,49
23056|scaffold_250092_c1_2|+372|00,38,9,49
UniRef100_A0A8I2FSR2,38,11,49
SRR5262249_20748905,41,10,49
APLak6261663012_1056037.scaffolds.fasta_scaffold80611_1,41,10,49
SRR6185295_240585,41,13,49
UniRef100_A0A6L4YNY1,39,14,49
3300025246.a:Ga0209646_1000002_1027,38,11,49
SRR5437879_13735226,38,9,49
MGYP000523306397,39,13,49
UniRef100_A0A978U7E1,40,12,49
SRR3954470_847416,40,11,49
16188|scaffold437766_2|+515|00,41,11,49
SRR5579872_6892297,40,11,49
ERR1700737_5516373,41,11,49
MGYP000897754582,40,14,49
SRR5579883_2846887,41,13,49
SRR5688572_17625275,40,12,49
SRR5262249_29068267,39,10,49
MGYP001049093332,40,11,49
UniRef100_A0A957W1G2,40,11,49
MGYP001026620245,41,14,49
SRR6266699_1897987,41,18,49
UniRef100_UPI00190A34C5,41,12,49
MGYP000707665229,40,11,49
UniRef100_UPI00036E68E4,39,12,49
UniRef100_UPI001F4425CB,41,11,49
SRR4030042_2893361,40,13,49
UniRef100_A0A6M4GVG6,39,11,49
18208|scaffold1308709_1|+2|10,40,9,49
SRR5204862_7987645,40,13,49
MGYP000691606298,41,13,49
ERR1700722_7501246,41,14,49
12123|Ga0209625_1018534_1|-121|00,37,12,49
SRR5688572_8394065,40,9,49
UniRef100_A0A924UHZ2,41,10,49
SRR5579871_3073929,40,12,49
MGYP001262297709,40,8,49
UniRef100_A0A5B8NP44,39,8,49
SRR6266536_2842250,40,8,49
SRR5512142_679953,40,10,49
UniRef100_A0A936BL48,40,14,49
MGYP001115732493,37,9,49
SRR6478736_7850779,40,9,49
UniRef100_A0A936MN34,38,8,49
D1Z0I1,41,10,49
MGYP001052831870,37,9,49
UniRef100_UPI001C72C3C0,39,10,49
UniRef100_A0A2I8A1T2,40,12,49
A0A127EN01,40,12,49
SRR5688572_25254041,41,14,49
848|scaffold_1231214_c1_1|+3|11,41,13,49
AntAceMinimDraft_9_1070365.scaffolds.fasta_scaffold1334249_1,39,10,49
UniRef100_UPI000B28CBC7,41,15,49
SRR4030042_1227890,39,13,49
SRR5580658_9059256,40,12,49
UniRef100_A0A7V9KF91,40,10,49
UniRef100_A0A5M6J065,40,14,49
SRR5215204_108230,40,14,49
UniRef100_A0A8J2V8I4,41,12,49
UniRef100_A0A9E8ZJG4,40,12,49
UniRef100_UPI001E49B911,41,9,49
12748|scaffold3401826_1|-1|10,41,15,49
MGYP001107490977,38,10,49
MGYP001328576421,41,9,49
UniRef100_A0A945S339,39,10,49
SRR2546423_656432,38,14,49
SRR4030088_591582,40,9,49
SRR5688572_28419056,38,11,49
UniRef100_A0A6J4VUP1,39,10,49
SRR3990167_9553097,40,15,49
ERR1035437_4349388,41,12,49
ERR1700733_14882006,41,13,49
MGYP000387665789,39,11,49
SRR5690349_13778028,40,16,49
MGYP001202534773,39,9,49
12912|scaffold4490941_1|+2|11,40,11,49
SRR6185295_2885682,41,12,49
ERR1035441_10178891,41,11,49
SRR6185503_19175280,40,13,49
SRR6476469_2017625,40,15,49
UniRef100_A0A977M877,39,10,49
MGYP001047132845,41,12,49
SRR5512140_1027437,39,15,49
SRR5579859_5764648,41,10,49
3300026184.a:Ga0209918_1000379_11,41,16,49
UniRef100_A0A537I5N4,37,8,49
UniRef100_UPI00194FEA27,40,11,49
SRR5690349_13213359,40,10,49
MGYP001195859732,40,13,49
SRR5580704_12000780,39,12,49
ERR1700759_2508342,38,10,49
UniRef100_UPI0002AC7C29,40,13,49
ERR1700736_4166285,37,8,49
SRR5688572_5649392,39,13,49
SRR5690625_1669145,41,14,49
ERR1700736_5474897,41,10,49
SRR3569833_1196333,39,8,49
MGYP000903985403,38,9,49
SRR5688500_4943586,40,10,49
SRR5436305_7251929,40,11,49
SRR4051812_3865497,41,14,49
SRR3569833_2110972,38,12,49
