Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,33,594,2880
UniRef100_UPI0021B1A08F,32,47,220
UniRef100_G5KCK3,33,42,220
UniRef100_S0EYG0,33,42,220
UniRef100_A0A9D9H8S8,33,53,220
UniRef100_A0A3Q9BN77,34,50,220
UniRef100_A0A011RLM6,33,46,220
ERR1719491_447817,33,51,220
UniRef100_A0A0R2I144,33,54,220
UniRef100_UPI00195F4A3A,33,51,220
UniRef100_UPI00203B3423,33,55,220
UniRef100_A0A239SNU5,32,33,220
ERR1719183_2543189,33,50,220
SRR5581483_11355013,32,43,220
SRR3989339_545378,32,51,220
MGYP000998330756,33,44,220
SRR6056297_155728,32,36,220
UniRef100_A0A7S4MBZ4,33,54,220
UniRef100_A0A948WH01,33,56,220
UniRef100_A0A1G9CBK7,31,32,220
UniRef100_U4TNY6,33,55,220
HubBroStandDraft_6_1064221.scaffolds.fasta_scaffold10517918_1,33,48,220
UniRef100_UPI001957B8EE,33,50,220
MGYP000719401620,33,47,220
UniRef100_UPI001CD539AD,32,42,220
UniRef100_A0A1V8ZIU0,33,42,220
MGYP000128604245,33,50,220
UniRef100_UPI00192594C8,33,44,220
UniRef100_UPI000EE34E68,34,35,220
MGYP001419386573,33,55,220
UniRef100_A0A936GAD5,33,48,220
UniRef100_D3RY56,33,40,220
UniRef100_W4HL76,33,36,220
ETNmetMinimDraft_22_1059887.scaffolds.fasta_scaffold150062_1,33,69,220
UniRef100_UPI0021DACF58,33,43,220
UniRef100_A0A2M8P1H8,33,40,220
UniRef100_UPI00235984EC,34,52,220
UniRef100_A0A1I1B0G2,33,71,220
UniRef100_A0A6I2V1R9,33,54,220
UniRef100_A0A399ZPS5,33,45,220
UniRef100_A0A7Z0I0I7,33,45,220
UniRef100_A0A960BVK6,33,54,220
UniRef100_UPI00201AAA4E,33,45,220
UniRef100_UPI00137B0C9C,33,45,220
UniRef100_UPI001CCBC2D2,33,48,220
UniRef100_UPI000B355830,32,38,220
UniRef100_UPI0021D8CBA5,33,48,220
UniRef100_UPI001BEAAF14,33,40,220
UniRef100_A0A924ZG66,33,39,220
UniRef100_A0A2T0WBX5,33,35,220
UniRef100_UPI0021BAC5A5,33,48,220
UniRef100_UPI001781D431,33,58,220
MGYP001051472046,33,43,220
UniRef100_A0A7C3CB06,33,56,220
UniRef100_A0A0Q9LZM5,33,59,220
ERR1719387_31895,32,45,220
A0A061RXK1,32,51,220
MGYP000906938747,34,50,220
UniRef100_A0A957PPH3,33,51,220
UniRef100_A0A7C4UT70,33,52,220
UniRef100_A0A8F6YC22,33,33,220
UniRef100_UPI000419E8E6,33,43,220
UniRef100_UPI0019500BBD,34,42,220
UniRef100_A0A940K6S8,33,58,220
UniRef100_A0A0P7W1L2,33,48,220
SRR6056297_394600,34,57,220
ERR1712176_8349,34,50,220
UniRef100_A0A7U7C6M6,33,52,220
Tabmets4t2r2_1033128.scaffolds.fasta_scaffold1222826_1,32,44,220
UniRef100_UPI001EFB9438,33,48,220
UniRef100_UPI002232502F,33,44,220
UniRef100_S0NXF8,33,54,220
UniRef100_UPI00209E2724,33,52,220
UniRef100_A0A510TTP0,33,55,220
UniRef100_A0A0R1RCQ6,33,47,220
UniRef100_A0A935MRC6,33,53,220
UniRef100_UPI002286330A,34,38,220
UniRef100_A0A1H9NPG2,33,47,220
UniRef100_A0A1X1Q3L9,34,69,220
UniRef100_A0A2S0MLV7,33,43,220
UniRef100_UPI000F1303F6,33,39,220
UniRef100_A0A2T7FUK6,33,36,220
UniRef100_A0A7C7RLS7,33,46,220
GraSoiStandDraft_44_1057316.scaffolds.fasta_scaffold4839990_1,33,59,220
UniRef100_A0A7Y4VTR3,33,50,220
UniRef100_UPI000FD92734,33,51,220
UniRef100_N4WRH0,33,33,220
UniRef100_A0A4Y7WRJ9,33,35,220
UniRef100_UPI000970FE67,33,51,220
UniRef100_A0A1G6H759,34,59,220
UniRef100_A0A1H8TI62,32,45,220
UniRef100_UPI000BA66876,33,49,220
UniRef100_A0A917JEF3,33,45,220
UniRef100_A0A0R1KGU7,33,42,220
UniRef100_A0A3D4S5F3,33,48,220
UniRef100_UPI00048D9198,33,48,220
UniRef100_UPI00226FC751,33,54,220
UniRef100_UPI001EEA40B2,31,42,220
UniRef100_UPI001AE1B175,33,38,220
UniRef100_UPI001555A6A9,32,39,220
UniRef100_A0A359HK25,33,50,220
UniRef100_A0A3D0NLQ7,34,57,220
UniRef100_A0A7D7LNY5,33,42,220
RhiMetStandDraft_4_1073278.scaffolds.fasta_scaffold8045643_1,33,44,220
UniRef100_A0A1F8QUR3,33,53,220
UniRef100_A0A061NSI0,34,47,220
UniRef100_UPI001951BF9C,33,62,220
UniRef100_A0A350WRF3,33,50,220
UniRef100_UPI0015E621D7,33,38,220
SRR3990172_8059294,32,40,220
UniRef100_A0A7C1F9Y2,33,45,220
EndMetStandDraft_3_1072993.scaffolds.fasta_scaffold7584579_1,33,55,220
UniRef100_A0A3M1MZ61,33,48,220
UniRef100_A0A956NZD7,33,53,220
UniRef100_A0A944GQA4,33,40,220
UniRef100_A0A955KXV0,33,46,220
SoiMethySBSTD1v2_1073268.scaffolds.fasta_scaffold4651085_2,31,36,220
UniRef100_A0A5C5TI77,32,43,220
UniRef100_A0A934F8C7,33,56,220
UniRef100_A0A5P1X3E0,33,56,220
MGYP000705639370,32,48,220
UniRef100_A0A2T3NG94,32,40,220
