Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,18,1776,7442
UniRef100_A0A4P9XGJ8,18,30,120
UniRef100_UPI000B91243E,19,34,120
UniRef100_B4JYQ4,18,26,120
UniRef100_A0A1U7U811,18,31,120
UniRef100_A0A0A9XCA8,18,28,120
UniRef100_UPI0003C8D0FD,18,33,120
UniRef100_UPI000C05082F,18,34,120
UniRef100_UPI000B90D777,18,34,120
UniRef100_A0A0L7QUU2,18,27,120
UniRef100_UPI0007046CD4,17,33,120
UniRef100_A0A3Q2C6B8,18,21,120
UniRef100_UPI0011C0FE68,18,32,120
UniRef100_A0A3Q3LQP1,18,32,120
UniRef100_A0A1U7RDC8,18,25,120
UniRef100_A0A1Y3AQN3,18,40,120
UniRef100_A0A315V3V9,17,31,120
UniRef100_UPI000A2A8D8A,19,28,120
UniRef100_UPI00105AD6F4,18,29,120
UniRef100_UPI000B9108A7,18,31,120
UniRef100_UPI000FFC296B,17,32,120
UniRef100_A0A4W3HSE2,18,24,120
UniRef100_UPI000359E6DA,19,27,120
UniRef100_UPI000E6E3BBB,18,40,120
UniRef100_A0A3R7SH12,18,37,120
UniRef100_A0A077ZAG0,19,31,120
UniRef100_UPI0008522245,19,34,120
UniRef100_UPI000F4D68FB,19,21,120
UniRef100_UPI000BE17432,18,33,120
UniRef100_UPI0003F074E5,18,36,120
UniRef100_UPI000E46039C,18,34,120
UniRef100_A0A3Q4HHB3,18,23,120
UniRef100_UPI000947CB74,19,26,120
UniRef100_A0A197JG45,18,33,120
UniRef100_A0A146MFV1,18,24,120
UniRef100_A0A4Y2G0V0,18,32,120
UniRef100_W4XVI7,19,36,120
UniRef100_W4XMI3,18,36,120
UniRef100_Q8UVY5,18,25,120
UniRef100_A0A1B6DQS8,18,36,120
UniRef100_A0A3B5L3K5,18,31,120
UniRef100_UPI0010FB0B0D,18,28,120
UniRef100_UPI000CF7BEF1,18,26,120
UniRef100_UPI0006D90599,18,25,120
UniRef100_A0A1D1V194,18,24,120
UniRef100_UPI0008F9FE91,18,40,120
UniRef100_UPI0003C4B39A,18,26,120
UniRef100_UPI0011325A88,18,28,120
UniRef100_UPI000CDB0BC9,18,24,120
UniRef100_UPI000F09E1AA,18,29,120
UniRef100_A0A3Q2ICC0,18,28,120
UniRef100_UPI0011618038,18,32,120
UniRef100_A0A2T7PCK9,19,20,120
UniRef100_A0A1S3JQ97,18,27,120
UniRef100_UPI0010FAA233,18,19,120
UniRef100_UPI0008756944,19,28,120
UniRef100_UPI00094EF409,17,25,120
UniRef100_P43218,18,28,120
UniRef100_UPI000B913063,19,26,120
UniRef100_A0A5A9PQK5,18,29,120
UniRef100_A0A2B4SVG1,18,29,120
UniRef100_A0A0L0BV92,18,26,120
UniRef100_UPI0005C39C69,18,24,120
UniRef100_Q22W70,19,34,120
UniRef100_UPI000F54E7FE,18,41,120
UniRef100_UPI000B9119AD,18,36,120
UniRef100_UPI0004E48B17,17,25,120
UniRef100_UPI0009E5EAB7,19,27,120
UniRef100_UPI0003F172EE,18,26,120
UniRef100_UPI00094824E0,18,37,120
UniRef100_A0A553QI50,18,19,120
UniRef100_A0A131YIX1,18,34,120
UniRef100_UPI00123ABC21,18,28,120
UniRef100_UPI000BAEAD00,18,38,120
UniRef100_UPI0008FA15C2,18,27,120
UniRef100_UPI000704393A,18,35,120
UniRef100_B3RX97,18,32,120
UniRef100_A0A095A4W2,18,27,120
UniRef100_UPI00114559FA,18,26,120
UniRef100_UPI0007B82540,18,32,120
UniRef100_A0A1S3MFF0,18,36,120
UniRef100_UPI0007B826AD,18,29,120
UniRef100_A0A401SCF3,19,27,120
UniRef100_UPI00077B101E,19,34,120
UniRef100_A0A3P9PY58,18,16,120
UniRef100_UPI000BA80B71,18,30,120
UniRef100_A7T1W6,19,33,120
UniRef100_UPI0005D08AAB,18,33,120
UniRef100_UPI000B911393,18,25,120
UniRef100_UPI000A2A9CFC,19,30,120
UniRef100_UPI000719A6DD,18,19,120
UniRef100_A0A1S3W5Z7,18,24,120
UniRef100_D0MYD4,18,22,120
UniRef100_L9JS77,18,24,120
UniRef100_UPI000814917F,18,34,120
UniRef100_T1IKX4,18,30,120
UniRef100_UPI00057753CB,18,25,120
UniRef100_B3XXP5,18,27,120
UniRef100_A0A384DNG6,19,34,120
UniRef100_UPI0007AD582F,19,27,120
UniRef100_UPI00071C5952,19,34,120
UniRef100_A0A094G5T5,19,32,120
UniRef100_A0A485PF59,18,30,120
UniRef100_UPI00094F0929,18,33,120
UniRef100_UPI0006D5115D,18,27,120
UniRef100_A0A556TIN2,19,19,120
UniRef100_UPI0008F9B832,18,27,120
UniRef100_UPI0012B5DCA9,19,31,120
UniRef100_UPI00122F1249,18,31,120
UniRef100_UPI0005F4EE96,18,28,120
UniRef100_A0A1D1VAJ6,19,39,120
UniRef100_A0A2G8JM54,19,26,120
UniRef100_A0A401NRU3,19,30,120
UniRef100_A0A1V4K0N0,18,36,120
UniRef100_A7RKB4,18,39,120
UniRef100_UPI00053CC55D,19,35,120
UniRef100_UPI0003DF60D4,18,34,120
UniRef100_UPI00096AE0B2,18,28,120
UniRef100_UPI00077A5A4F,18,33,120
UniRef100_UPI000E6E1B3F,17,27,120
UniRef100_A0A2C9JM01,18,22,120
UniRef100_A0A3B3TQR6,18,39,120
UniRef100_UPI000462906A,18,29,120
UniRef100_UPI000703C448,18,36,120
UniRef100_UPI0012B5E9F4,19,33,120
UniRef100_UPI00076FBABB,18,33,120
UniRef100_UPI00125D27F7,19,32,120
UniRef100_UPI00109F0332,18,32,120
UniRef100_UPI000DBEE503,18,30,120
UniRef100_UPI000F514DFB,19,24,120
UniRef100_A0A3Q0T378,18,35,120
UniRef100_S4RG94,20,21,120
UniRef100_A0A5A9N941,17,34,120
UniRef100_A0A1W4U6F9,18,33,120
UniRef100_F1A0V9,18,33,120
UniRef100_A0A3B4DJH3,18,32,120
UniRef100_A0A3P8VKY8,18,36,120
UniRef100_A0A556TZQ6,19,26,120
UniRef100_W5JZ92,19,27,120
UniRef100_UPI000B933DB4,18,31,120
UniRef100_UPI000779FBE0,19,30,120
UniRef100_UPI00123A7AD9,19,25,120
UniRef100_A0A226EDN0,18,37,120
UniRef100_A0A3Q0JUK3,19,26,120
UniRef100_UPI0009482ECF,18,24,120
UniRef100_UPI0012B60359,19,30,120
UniRef100_UPI0010BD6224,18,34,120
UniRef100_UPI000874A629,18,28,120
UniRef100_A7RKW8,18,39,120
UniRef100_A0A060YRY7,18,28,120
UniRef100_A0A3M6TKJ6,19,40,120
UniRef100_UPI000BAF5BC6,19,28,120
UniRef100_UPI0007403780,18,37,120
UniRef100_UPI00123BDB60,19,30,120
UniRef100_A0A183HYQ1,18,35,120
UniRef100_UPI000462710F,18,25,120
UniRef100_K7GIC5,17,19,120
UniRef100_S7NKG9,18,29,120
UniRef100_UPI0002658BB4,18,37,120
UniRef100_UPI00123BAD06,19,27,120
UniRef100_UPI0004CCE303,18,29,120
UniRef100_UPI000786C0A8,18,25,120
UniRef100_UPI000B90D331,18,31,120
UniRef100_UPI0010FCA2AC,19,35,120
UniRef100_A0A3Q3B3L4,17,21,120
UniRef100_UPI001130E108,18,36,120
UniRef100_UPI000CDFD91B,18,42,120
UniRef100_UPI000C84D260,18,34,120
UniRef100_UPI0009E60C78,19,38,120
UniRef100_A0A151Z880,19,24,120
UniRef100_H3K0H0,18,33,120
UniRef100_UPI0006440337,18,25,120
UniRef100_A7RFV1,18,31,120
UniRef100_UPI001039C979,19,32,120
UniRef100_F0ZYY6,19,26,120
UniRef100_UPI000E453DFE,19,24,120
UniRef100_A0A5F4DAK5,18,24,120
UniRef100_UPI00109BA127,18,30,120
UniRef100_A0A3Q1IMX0,18,31,120
UniRef100_UPI000870B8C9,18,39,120
UniRef100_UPI0003345C67,18,37,120
UniRef100_A0A4W5PMI2,18,35,120
UniRef100_K7JPB2,18,34,120
UniRef100_A0A1B6CNV6,18,32,120
UniRef100_UPI0006234C37,18,28,120
UniRef100_UPI000B4F3924,18,39,120
UniRef100_UPI0008F9DA9D,18,35,120
UniRef100_UPI000A2860D2,17,24,120
UniRef100_A0A1Z5L921,18,43,120
UniRef100_Q4S5H7,18,27,120
UniRef100_UPI00051109B6,19,32,120
UniRef100_UPI0010422A72,18,35,120
UniRef100_UPI0004572799,18,28,120
UniRef100_S4RI48,18,31,120
UniRef100_F1PQW8,18,27,120
UniRef100_V4A9C2,18,25,120
UniRef100_A0A1B6E7F3,18,28,120
UniRef100_UPI000C04E2C4,18,27,120
UniRef100_G1T265,18,32,120
UniRef100_UPI0011C1554F,18,18,120
UniRef100_UPI000F43F8EB,19,31,120
UniRef100_UPI0012B671D5,18,34,120
UniRef100_UPI00076FB0B1,18,32,120
UniRef100_UPI00083E9EE5,18,37,120
UniRef100_UPI000775995A,18,27,120
UniRef100_A0A5N4APM0,18,30,120
UniRef100_A0A0L0DTH4,19,25,120
UniRef100_UPI000EF89005,18,27,120
UniRef100_UPI000B39F175,18,26,120
UniRef100_UPI001176BCBD,18,29,120
UniRef100_UPI000B90DAB6,19,43,120
UniRef100_UPI00117D33EA,18,28,120
UniRef100_A0A146X760,18,38,120
UniRef100_A0A2T7PY73,18,28,120
UniRef100_T1IQ43,18,33,120
UniRef100_A0A341C8E8,18,29,120
UniRef100_UPI000D72C44C,18,31,120
UniRef100_UPI000CEABA16,18,25,120
UniRef100_G7MGS5,18,27,120
UniRef100_UPI00077AFC6D,18,36,120
UniRef100_UPI0009E1A7D9,18,32,120
UniRef100_A0A147BB72,18,30,120
UniRef100_A0A3P9C4B2,19,30,120
UniRef100_A0A1X7U3Y8,18,26,120
UniRef100_UPI0011CF9274,18,31,120
UniRef100_UPI00094807A6,19,30,120
UniRef100_A0A2U9C5X0,18,18,120
UniRef100_UPI000950DCDD,19,25,120
UniRef100_L7JME9,18,26,120
UniRef100_UPI0012ED462C,18,25,120
UniRef100_UPI000A2A5A65,18,23,120
UniRef100_A0A4W5MMR6,18,22,120
UniRef100_UPI0007678AF7,18,39,120
UniRef100_UPI001126026F,19,30,120
UniRef100_UPI0007DCB100,19,29,120
UniRef100_A0A182W434,19,25,120
UniRef100_A0A3M6UQG3,18,33,120
UniRef100_A0A5G3IV38,18,34,120
UniRef100_UPI00064BF216,18,45,120
UniRef100_A0A3M6UTK9,18,34,120
UniRef100_A0A2B4RGY6,18,35,120
UniRef100_UPI0009B38F93,19,33,120
UniRef100_UPI000BAF30AB,18,33,120
UniRef100_UPI0005D35871,18,37,120
UniRef100_A0A553N7R3,18,29,120
UniRef100_A0A5N4D236,19,27,120
UniRef100_UPI00105AE2C6,18,25,120
UniRef100_A0A369RTY8,19,37,120
UniRef100_UPI0007B7BBCA,18,31,120
UniRef100_UPI0011560A37,18,21,120
UniRef100_F6Q5D8,18,27,120
UniRef100_UPI000629C8A8,18,27,120
UniRef100_A0A1Q3FHH3,19,34,120
UniRef100_A0A2K5EKJ8,19,21,120
UniRef100_UPI0007A6CE07,18,38,120
UniRef100_A0A1I8P2I1,18,25,120
UniRef100_UPI000E3FB510,18,24,120
UniRef100_UPI00077A48C5,18,30,120
UniRef100_UPI000C78EADE,19,28,120
UniRef100_A0A2D0T734,18,24,120
UniRef100_H9GM83,18,31,120
UniRef100_A0A3Q1GPR3,17,17,120
UniRef100_Q86J18,18,34,120
UniRef100_UPI00111C2B7F,19,25,120
UniRef100_UPI0005CFF980,18,27,120
UniRef100_UPI0006C9A5CB,18,28,120
UniRef100_UPI0007BABBC7,18,34,120
UniRef100_E0VFN2,19,37,120
UniRef100_A0A182FIT6,18,25,120
UniRef100_UPI000C765F4C,18,34,120
UniRef100_UPI0012B5173C,18,30,120
UniRef100_A0A2Z4C0E5,18,37,120
UniRef100_A0A067RRK8,19,32,120
UniRef100_A0A2B4R9G2,18,31,120
UniRef100_UPI0009E3C024,19,35,120
UniRef100_A0A162R491,18,27,120
UniRef100_UPI000B913AD4,18,26,120
UniRef100_A0A3B3RJS4,18,28,120
UniRef100_UPI000B367F75,18,36,120
UniRef100_UPI000B90D655,18,33,120
UniRef100_A0A384JEU1,19,34,120
UniRef100_A0A2C9KTD0,18,32,120
UniRef100_A0A2G8LB39,19,38,120
UniRef100_UPI000C6D7065,18,26,120
UniRef100_A0A3M6U4X3,18,40,120
UniRef100_A7RKS1,18,37,120
UniRef100_A0A3S1A224,18,32,120
UniRef100_T1DBK7,18,44,120
UniRef100_UPI0011AE87FE,19,18,120
UniRef100_UPI0006151662,19,30,120
UniRef100_A0A2R5LCZ4,18,22,120
UniRef100_UPI0003F16D31,19,28,120
UniRef100_A0A397G8S4,19,32,120
UniRef100_A0A182FUQ7,18,30,120
UniRef100_UPI00071D47E4,18,34,120
UniRef100_UPI000A2A4A26,18,27,120
UniRef100_UPI0011F3EB50,18,29,120
UniRef100_T1HL29,18,32,120
UniRef100_UPI000A35F685,18,30,120
UniRef100_A0A1X7VDM1,18,29,120
UniRef100_UPI00074255C2,18,29,120
UniRef100_H3A3T7,18,42,120
UniRef100_A0A3Q3F6I3,17,30,120
UniRef100_A0A195CYE1,18,30,120
UniRef100_UPI0009E5B865,19,27,120
UniRef100_A0A3M0KPC8,18,36,120
UniRef100_A0A2K5JST1,18,29,120
UniRef100_UPI000BF75FE6,18,32,120
UniRef100_UPI0010FCCFC8,18,31,120
UniRef100_A0A1S2ZPI0,18,40,120
UniRef100_W4YQA6,18,36,120
UniRef100_UPI00097525BE,19,27,120
UniRef100_UPI000EAB0EB0,18,32,120
UniRef100_UPI000A2A81A6,19,37,120
UniRef100_UPI0005C369EF,18,29,120
UniRef100_UPI000B8E2E0F,18,30,120
UniRef100_A0A2K6H0L3,18,32,120
UniRef100_A0A131YZ01,18,28,120
UniRef100_UPI00022CAA9D,18,33,120
UniRef100_A0A3P9H3A9,19,30,120
UniRef100_UPI000D09F783,18,27,120
UniRef100_UPI0012B6431E,19,28,120
UniRef100_A0A1W5B736,18,36,120
UniRef100_UPI00074FEC82,18,27,120
UniRef100_A0A4U5VTL1,18,25,120
UniRef100_UPI00077FCBB7,18,41,120
UniRef100_UPI000D72F75E,19,30,120
UniRef100_A0A498NUB8,18,40,120
UniRef100_F7EXI2,19,23,120
UniRef100_UPI001175C8D5,18,35,120
UniRef100_A0A437BZL6,18,26,120
UniRef100_UPI0010A8BC2E,19,32,120
UniRef100_UPI00106ACDE8,18,32,120
UniRef100_UPI0006446E22,18,31,120
UniRef100_A0A087UWI6,18,36,120
UniRef100_UPI0006450E8E,19,26,120
UniRef100_UPI000D313C19,17,25,120
UniRef100_UPI00033397A3,18,33,120
UniRef100_UPI00103ECB1E,18,30,120
UniRef100_A0A3M6U6B4,18,41,120
UniRef100_UPI0012B60995,18,36,120
UniRef100_A0A3Q1INL2,18,32,120
UniRef100_A0A401P8F1,18,26,120
UniRef100_UPI00046298D4,18,28,120
UniRef100_UPI0010A2DFBC,18,29,120
UniRef100_UPI0009482EA5,18,31,120
UniRef100_A0A4S2LH17,18,47,120
UniRef100_UPI000BA81E4A,18,39,120
UniRef100_UPI000F5DC42A,18,31,120
UniRef100_A0A5G3J8F8,18,28,120
UniRef100_UPI000BAF5F38,19,31,120
UniRef100_A0A3M6UYC9,18,28,120
UniRef100_A0A1W0WK76,19,21,120
UniRef100_F0ZVD2,18,35,120
UniRef100_UPI0012DD3C05,18,20,120
UniRef100_UPI0009E29D49,18,31,120
UniRef100_UPI000947F423,18,23,120
UniRef100_R7U3D9,19,29,120
UniRef100_A0A5N4DRF5,18,27,120
UniRef100_UPI000C03EBD2,18,39,120
UniRef100_A0A152A9D4,19,33,120
UniRef100_UPI00109BF367,19,26,120
UniRef100_UPI00038EA7FB,18,33,120
UniRef100_UPI000A2A6561,19,28,120
UniRef100_I3MJT4,18,35,120
UniRef100_A0A498LSR4,18,30,120
UniRef100_A0A5N5LC73,18,32,120
UniRef100_F1KS60,18,36,120
UniRef100_UPI00096B3D24,18,38,120
UniRef100_K7IQB3,18,29,120
UniRef100_A0A452VEF6,18,33,120
UniRef100_UPI00071192B6,19,23,120
UniRef100_UPI0012B679C0,19,33,120
UniRef100_A0A2B4RG08,18,33,120
UniRef100_UPI000C03F0B1,19,22,120
UniRef100_H2ZSS5,18,20,120
UniRef100_UPI00109B8A62,19,35,120
UniRef100_UPI000BAFBDDF,19,33,120
UniRef100_A0A061I1Q9,18,25,120
UniRef100_A0A0B2UYY4,18,30,120
UniRef100_A0A0K0YBE3,18,33,120
UniRef100_UPI001161A0D1,18,30,120
UniRef100_UPI000E56EE18,19,30,120
UniRef100_M3Y3D4,19,28,120
UniRef100_UPI001261CB3C,18,21,120
UniRef100_UPI000C782918,18,39,120
UniRef100_V5UZ27,18,33,120
UniRef100_F4Q2G5,19,31,120
UniRef100_UPI0007A70E6A,18,38,120
UniRef100_A0A226PUC5,19,28,120
UniRef100_A0A0Q3TBQ1,18,30,120
UniRef100_UPI00109F4683,19,27,120
UniRef100_UPI000C9F5E76,18,30,120
UniRef100_UPI000A1C2222,18,23,120
UniRef100_UPI000B45CFD2,19,27,120
UniRef100_A0A448ZMB7,18,36,120
UniRef100_A0A3Q2W3I6,18,22,120
UniRef100_A0A0P5BC06,18,37,120
UniRef100_UPI0009E64B07,18,45,120
UniRef100_UPI000BAE8CC1,18,25,120
UniRef100_UPI0012B63355,18,36,120
UniRef100_A0A2M4DNV1,18,35,120
UniRef100_A0A0D2UBM4,18,33,120
UniRef100_UPI000A2876A2,18,41,120
UniRef100_UPI0003831C1E,19,20,120
UniRef100_UPI000E77E264,18,30,120
UniRef100_UPI0011556B5B,18,28,120
UniRef100_UPI00103FDA52,19,31,120
UniRef100_A0A4W4FZM3,18,33,120
UniRef100_UPI000BF42694,18,31,120
UniRef100_A0A3Q2NPZ4,17,18,120
UniRef100_UPI0007DB6CDA,19,22,120
UniRef100_UPI0006B09EE8,18,28,120
UniRef100_UPI000A1C4E1C,18,26,120
