Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,10,159,1000
rank_038_count_0074_seq_000038,11,29,160
rank_009_count_0101_seq_000009,10,35,160
rank_047_count_0071_seq_000047,12,28,160
rank_020_count_0085_seq_000020,11,28,160
rank_016_count_0089_seq_000016,10,32,160
rank_044_count_0072_seq_000044,10,25,160
rank_024_count_0080_seq_000024,10,28,160
rank_015_count_0092_seq_000015,11,28,160
rank_001_count_0117_seq_000001,10,29,160
rank_039_count_0074_seq_000039,12,28,160
rank_036_count_0075_seq_000036,10,26,160
rank_023_count_0080_seq_000023,10,26,160
rank_003_count_0116_seq_000003,12,31,160
rank_018_count_0087_seq_000018,11,33,160
rank_008_count_0104_seq_000008,10,39,160
rank_041_count_0073_seq_000041,10,30,160
rank_040_count_0073_seq_000040,10,26,160
rank_012_count_0097_seq_000012,10,36,160
rank_050_count_0069_seq_000050,10,25,160
rank_022_count_0081_seq_000022,10,27,160
rank_014_count_0094_seq_000014,11,31,160
rank_028_count_0078_seq_000028,11,28,160
rank_007_count_0105_seq_000007,10,32,160
rank_006_count_0106_seq_000006,10,35,160
rank_037_count_0075_seq_000037,11,28,160
rank_048_count_0070_seq_000048,9,28,160
rank_045_count_0072_seq_000045,11,24,160
rank_021_count_0084_seq_000021,10,33,160
rank_043_count_0072_seq_000043,11,26,160
rank_026_count_0078_seq_000026,11,36,160
rank_029_count_0078_seq_000029,10,25,160
rank_017_count_0088_seq_000017,10,34,160
rank_011_count_0099_seq_000011,11,31,160
rank_042_count_0073_seq_000042,12,26,160
rank_004_count_0110_seq_000004,11,29,160
rank_030_count_0078_seq_000030,11,31,160
rank_005_count_0109_seq_000005,11,32,160
rank_035_count_0075_seq_000035,11,27,160
rank_031_count_0077_seq_000031,10,25,160
rank_027_count_0078_seq_000027,12,25,160
rank_010_count_0100_seq_000010,10,31,160
rank_013_count_0096_seq_000013,11,31,160
rank_032_count_0076_seq_000032,10,28,160
rank_019_count_0086_seq_000019,11,35,160
rank_033_count_0076_seq_000033,11,36,160
rank_025_count_0079_seq_000025,11,31,160
rank_002_count_0116_seq_000002,11,37,160
