Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_UPI0022B6E6F5,23,98,600
UniRef100_A0A3T0NKK5,34,114,600
UniRef100_A0A0P6S320,34,102,600
UniRef100_UPI0000E8DA2F,34,91,600
MGYP000990441686,22,108,600
UniRef100_A0A3P5YAC1,22,116,600
UniRef100_E1KY41,22,101,600
UniRef100_UPI00130399C2,5,176,600
MGYP001114133641,34,98,600
UniRef100_Q9S6L9,34,105,600
UniRef100_UPI0020779CA9,22,116,600
UniRef100_A0A8E4CDU2,34,95,600
UniRef100_K9E8M0,23,146,600
UniRef100_A0A233VMP1,22,102,600
A0A0D1BDG4,22,98,600
UniRef100_UPI0000111373,22,120,600
T1WHW4,34,93,600
UniRef100_Q71EV9,34,97,600
MGYP000319749211,22,101,600
MGYP000989027824,23,99,600
UniRef100_UPI0001753C05,22,107,600
UniRef100_UPI0000113178,34,110,600
UniRef100_A0A4V0CZ93,34,96,600
UniRef100_UPI00106719B7,22,128,600
UniRef100_A0A1G7T0Q5,5,172,600
UniRef100_Q71EW1,34,97,600
ERR1712183_437792,22,108,600
UniRef100_UPI00017EE951,22,89,600
UniRef100_UPI001D14DEB7,23,111,600
UniRef100_A0A922NWI0,22,110,600
UniRef100_UPI00065F26C3,22,100,600
UniRef100_UPI00001D73C1,22,108,600
UniRef100_A0A233W6U0,22,99,600
UniRef100_UPI0006775843,22,110,600
A0A233VI99,34,102,600
UniRef100_UPI001F4FE456,22,103,600
UniRef100_K9EPZ2,23,91,600
D6S921,22,101,600
UniRef100_UPI0002521384,22,97,600
UniRef100_UPI00017EE952,22,107,600
UniRef100_UPI002016A71D,22,127,600
UniRef100_UPI00005E2B86,5,127,600
A0A233W6U0,23,118,600
UniRef100_K9EBI3,22,135,600
UniRef100_UPI0015F3524E,22,131,600
UniRef100_UPI001F5B5C01,22,126,600
MGYP000883108362,22,90,600
UniRef100_Q71EU3,34,101,600
UniRef100_K9EBV2,22,181,600
UniRef100_UPI002016A72E,23,114,600
UniRef100_UPI0000D834FD,22,100,600
B4XPB5,34,90,600
UniRef100_UPI00001D8731,22,112,600
E1KY41,23,94,600
UniRef100_UPI0023618D47,22,107,600
I7WD78,22,117,600
UniRef100_UPI0000358800,5,94,600
