PDB,plddt,6ln2_tmscore,6x18_tmscore,seq_count
af_cluster_compar/GLP1R/msas/GLP1R_120_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_001.pdb,58.87073417721514,0.709,0.75372,101
af_cluster_compar/GLP1R/msas/GLP1R_048_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_001.pdb,48.438430379746826,0.46185,0.44748,6
af_cluster_compar/GLP1R/msas/GLP1R_061_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_001.pdb,41.10268354430381,0.54287,0.57187,4
af_cluster_compar/GLP1R/msas/GLP1R_054_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_001.pdb,41.44746835443037,0.48093,0.50777,4
af_cluster_compar/GLP1R/msas/GLP1R_135_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_001.pdb,41.60794936708861,0.41184,0.38791,4
af_cluster_compar/GLP1R/msas/GLP1R_091_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_001.pdb,46.67663291139243,0.52912,0.55533,13
af_cluster_compar/GLP1R/msas/GLP1R_095_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_001.pdb,40.87812658227851,0.61204,0.65616,4
af_cluster_compar/GLP1R/msas/GLP1R_083_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_001.pdb,44.98301265822784,0.60661,0.61483,4
af_cluster_compar/GLP1R/msas/GLP1R_083_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_001.pdb,41.36724050632909,0.41818,0.40098,4
af_cluster_compar/GLP1R/msas/GLP1R_058_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_001.pdb,63.43860759493676,0.67246,0.71187,48
af_cluster_compar/GLP1R/msas/GLP1R_037_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_001.pdb,64.42298734177216,0.66671,0.63883,79
af_cluster_compar/GLP1R/msas/GLP1R_117_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_001.pdb,41.187670886075985,0.48662,0.43494,4
af_cluster_compar/GLP1R/msas/GLP1R_051_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_001.pdb,44.928430379746835,0.37292,0.37174,5
af_cluster_compar/GLP1R/msas/GLP1R_086_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_001.pdb,71.07162025316455,0.74627,0.73822,90
af_cluster_compar/GLP1R/msas/GLP1R_037_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_001.pdb,63.42103797468355,0.51393,0.51932,79
af_cluster_compar/GLP1R/msas/GLP1R_102_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_001.pdb,38.96762025316453,0.44656,0.45885,4
af_cluster_compar/GLP1R/msas/GLP1R_069_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_001.pdb,42.32060759493671,0.42223,0.40612,4
af_cluster_compar/GLP1R/msas/GLP1R_071_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_001.pdb,43.903518987341776,0.39218,0.36455,5
af_cluster_compar/GLP1R/msas/GLP1R_065_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_001.pdb,44.17721518987341,0.58714,0.60695,5
af_cluster_compar/GLP1R/msas/GLP1R_023_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_001.pdb,67.05817721518986,0.7367,0.7678,42
af_cluster_compar/GLP1R/msas/GLP1R_021_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_001.pdb,49.92075949367091,0.36714,0.38492,11
af_cluster_compar/GLP1R/msas/GLP1R_115_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_001.pdb,38.50301265822784,0.57481,0.58418,6
af_cluster_compar/GLP1R/msas/GLP1R_119_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_001.pdb,46.57572151898736,0.59358,0.64876,6
af_cluster_compar/GLP1R/msas/GLP1R_046_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_001.pdb,38.49979746835442,0.29942,0.32808,4
af_cluster_compar/GLP1R/msas/GLP1R_052_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_001.pdb,66.15708860759493,0.8029,0.88243,21
af_cluster_compar/GLP1R/msas/GLP1R_038_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_001.pdb,61.53362025316453,0.70031,0.67676,56
af_cluster_compar/GLP1R/msas/GLP1R_131_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_001.pdb,39.06805063291143,0.64064,0.63265,4
af_cluster_compar/GLP1R/msas/GLP1R_042_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_001.pdb,58.760227848101295,0.27691,0.27816,84
af_cluster_compar/GLP1R/msas/GLP1R_025_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_001.pdb,50.003341772151934,0.41092,0.36447,22
af_cluster_compar/GLP1R/msas/GLP1R_002_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_001.pdb,60.568025316455646,0.54826,0.56287,92
af_cluster_compar/GLP1R/msas/GLP1R_019_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_001.pdb,51.930126582278454,0.51418,0.55984,12
af_cluster_compar/GLP1R/msas/GLP1R_134_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_001.pdb,54.22430379746833,0.61153,0.62663,17
