Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,12,539,3600
UniRef100_A0A1G1IJ96_000253,13,7,59
MGYP000748824712_000365,11,10,59
ERR1700726_1004440_000640,14,12,59
SRR5437016_2913548_000467,12,13,59
MGYP001033214246_001472,12,13,59
SRR5438034_10928500_000901,12,17,59
SRR4029077_20484695_000610,12,10,59
SRR5690348_8521555_001519,12,12,59
SRR5690349_3543359_000803,11,14,59
UniRef100_A0A1W6MV28_000658,11,9,59
SRR5690606_26999332_001649,12,14,59
11692_Ga0302270_10809905_1_1_10_000073,12,9,59
ERR1700722_12366374_001516,11,14,59
UniRef100_A0A2N2K0P6_000276,12,9,59
SRR5215467_8530085_000599,15,11,59
SRR5689334_14923750_000692,8,9,59
UniRef100_A0A838G637_000668,11,10,59
MGYP001447295107_001289,12,17,59
SRR3954463_8783608_000879,29,9,59
SRR5688500_4565123_001608,12,9,59
11900_scaffold_354500_c1_2_-247_00_000626,14,10,59
UniRef100_A0A0D6AVK9_001027,13,12,59
SRR5882757_629664_001666,11,7,59
UniRef100_A0A350YFX8_001036,12,14,59
SRR5216683_3522529_000988,11,11,59
ERR1700733_8019496_000956,13,10,59
MGYP001185321084_000118,9,7,59
UniRef100_A0A533TCY9_001044,29,11,59
MGYP000958548083_000921,9,12,59
18656_Ga0209286_1077817_2_463_01_001149,8,8,59
SRR5437879_4677045_001607,29,12,59
DeetaT_18_FD_contig_21_7043772_length_238_multi_4_in_0_out_0_1_000858,11,10,59
UniRef100_A0A924V677_000303,12,11,59
SRR4051794_3637598_001606,8,9,59
UniRef100_A0A8T7MBW2_000538,8,12,59
UniRef100_A0A062V272_001588,12,9,59
SRR5688572_5288812_000455,29,14,59
18016_NODE_1618489_length_743_cov_0_522727_1_2_10_000751,12,10,59
SRR5688572_6709826_001386,12,10,59
ERR1700736_846639_001528,12,12,59
SRR4051812_5619853_000515,12,12,59
SRR6186713_1599332_000471,12,10,59
SRR6201999_4532249_001475,29,11,59
MGYP000614726798_000077,9,7,59
MGYP000353464527_000112,29,10,59
UniRef100_T2JX64_000525,12,11,59
UniRef100_A0A538QVY7_000697,29,11,59
UniRef100_A0A7W0IU42_001549,12,12,59
SRR5687767_12971528_001547,29,31,59
SRR4029453_5564848_001122,8,8,59
UniRef100_A0A928VYM9_000506,8,10,59
ERR1700710_1280078_001508,15,8,59
SRR5205085_8567622_000217,12,12,59
MGYP000669006660_000757,12,9,59
SRR6185312_4887914_001158,29,16,59
MGYP000979453861_000204,29,12,59
18645_scaffold911749_2_59_00_000215,11,9,59
ERR1700683_938168_000952,12,11,59
UniRef100_A0A3N5WIZ4_000943,29,10,59
UniRef100_A0A957W382_000314,11,9,59
UniRef100_UPI000B49E177_001063,8,10,59
SRR5256885_5404746_000337,13,14,59
ERR1700726_3277857_000585,12,11,59
MGYP000390817489_000454,8,12,59
SRR6185503_15720686_001578,11,13,59
1713_scaffold_127366_c1_2_-447_01_000975,12,10,59
UniRef100_A0A068MTS4_000517,8,15,59
21861_Ga0302046_13668357_1_-3_10_000676,12,11,59
SRR5208337_2572302_000036,29,14,59
SRR5580692_7392111_001258,8,10,59
ERR1700686_3769326_000575,12,8,59
SRR3977135_389779_000835,12,9,59
A0A0D6AI59_000997,13,12,59
SRR3569832_620281_001285,29,10,59
K9S983_001019,13,12,59
SRR5688572_9252688_000376,10,8,59
SRR4051812_41837794_000726,29,15,59
SRR6187549_3257771_000008,29,14,59
ERR1700674_2176386_000965,12,12,59
ERR1043166_4517172_001231,12,10,59
SRR6267143_7318016_001585,29,12,59
ERR1035438_6629145_001178,11,9,59
SRR5437588_3010212_000449,11,11,59
4431_Ga0307479_11956446_1_2_10_000730,12,10,59
SRR6266849_354534_001078,13,9,59
UniRef100_UPI001D14B857_000160,29,8,59
MGYP001271318262_000126,11,9,59
ERR1700719_1738249_001235,29,13,59
16340_scaffold376236_1_2_10_001300,8,10,59
ERR1700722_7501246_000629,7,12,59
SRR5437762_2639582_000713,12,11,59
MGYP001156659613_000212,12,12,59
UniRef100_A0A535BL86_001533,12,14,59
SRR3954470_1831227_000450,11,11,59
MGYP000121914153_000793,29,10,59
SRR5262245_13277480_001167,29,11,59
SRR5512135_826925_000873,10,8,59
ERR1739841_26744_000145,8,7,59
MGYP000010997215_001113,12,11,59
SRR5690349_13213359_001654,29,11,59
12932_scaffold1888361_2_-450_01_000072,12,12,59
SRR5450755_1042723_001267,13,9,59
ERR1039457_6186505_001321,29,13,59
UniRef100_A0A4S3KB96_000761,12,13,59
UniRef100_I4BK83_000447,29,18,59
6528_Ga0209068_10050810_1_363_00_001110,11,8,59
SRR5438874_1478149_001154,8,12,59
UniRef100_A0A7V3RR77_000554,29,11,59
SRR6185312_2951025_000347,29,11,59
SRR4029078_62791_000078,11,10,59
UniRef100_UPI00232ACDA1_001093,12,11,59
SRR5215468_1401703_000790,12,20,59
SRR5688572_6412517_001652,12,10,59
SRR5512146_1262809_001265,8,11,59
ERR1044071_6207539_001181,12,16,59
12899_scaffold230208_1_103_00_000738,29,11,59
UniRef100_K9S983_001003,12,10,59
SRR4051812_3865497_001542,12,14,59
UniRef100_A0A8T7LB96_000527,29,12,59
UniRef100_A0A7Y4QZ30_001424,12,11,59
MGYP001278409180_000342,8,8,59
2994_scaffold593647_2_122_00_000748,12,13,59
SRR5437868_9296268_000429,13,8,59
17855_scaffold551691_1_3_10_000919,12,9,59
14429_Ga0335084_12381322_1_-42_01_000854,12,16,59
3300027823_a_Ga0209490_10014994_4_001188,12,10,59
11902_scaffold_1068355_c1_1_2_10_001125,12,10,59
11623_Ga0302195_10281879_1_2_10_000061,12,15,59
UniRef100_A0A7C7V255_001293,12,13,59
SRR5438105_8332289_000039,8,11,59
SRR5688572_767049_000724,8,9,59
UniRef100_A0A3N5NFB9_000214,12,11,59
UniRef100_A0A7T1M9R6_000164,12,9,59
SRR5512142_1102406_001249,12,8,59
SRR5512140_514103_000282,11,11,59
SRR6185503_14216966_000589,29,9,59
SRR5581483_7506442_001198,12,10,59
5481_scaffold_167006_c1_3_-990_00_001111,12,10,59
SRR5688572_24014793_000426,12,10,59
11782_Ga0302314_12907339_1_3_10_000802,29,10,59
UniRef100_A0A7W0VR57_000313,12,14,59
SRR5581483_7973771_000734,12,9,59
UniRef100_UPI00202266C5_000120,12,9,59
MGYP001351037633_000143,29,8,59
SRR6185436_8670947_000772,7,8,59
SRR5678815_1567386_000660,29,15,59
SRR3954470_19367141_000672,11,14,59
SRR5579862_5957102_000918,12,9,59
18077_Ga0302326_15912503_1_1_11_000775,29,10,59
8729_scaffold735262_1_-1_10_000966,12,9,59
SRR5579862_3528141_001166,29,15,59
18309_Ga0308175_109381341_1_3_11_001248,29,15,59
18077_Ga0302326_11383997_2_632_01_001026,12,10,59
MGYP001267461289_000500,29,26,59
SRR3954470_5889915_000789,8,9,59
SRR6266404_2811035_000984,12,8,59
UniRef100_A0A0M1JR17_000549,12,11,59
16536_Ga0207927_1217565_1_-3_11_001022,12,13,59
SRR5580692_5523306_000462,12,9,59
MGYP001182425010_000198,11,9,59
UniRef100_A0A940VBE9_000292,12,13,59
SRR5512144_954845_001254,29,10,59
