Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,29,641,3920
UniRef100_UPI0003B3E77D,29,39,260
UniRef100_A0A7C1W8I4,29,42,260
UniRef100_A0A5C8YZS5,29,55,260
JI7StandDraft_1071085.scaffolds.fasta_scaffold1100197_1,28,45,260
UniRef100_A0A1F2YJF5,29,52,260
UniRef100_A0A6I2UFF4,30,43,260
UniRef100_A0A3L9DSP6,29,44,260
MGYP000236668394,29,48,260
UniRef100_A0A1F8QUR3,29,46,260
UniRef100_A0A0M0LIA6,30,44,260
UniRef100_A0A6P2CMT4,29,48,260
UniRef100_UPI001BAFA497,29,47,260
UniRef100_A0A1W1C652,29,38,260
11307|scaffold02522_1|-97|00,30,36,260
MGYP000409701750,29,51,260
UniRef100_A0A2A4VVH0,29,37,260
UniRef100_UPI000378B58D,29,44,260
ERR1719310_60270,29,40,260
UniRef100_UPI001C7DE695,29,43,260
UniRef100_A0A0B8PGX5,29,46,260
UniRef100_A0A291GCF8,28,34,260
UniRef100_A0A327LRR7,29,35,260
UniRef100_UPI00225E0595,29,38,260
UniRef100_G7WBY1,28,31,260
MGYP000396954454,29,42,260
UniRef100_A0A2G6BA43,29,44,260
UniRef100_A0A2T0WBX5,29,49,260
UniRef100_UPI000371EBF7,29,45,260
UniRef100_UPI001555A6A9,28,36,260
UniRef100_A0A4U1DDY5,30,51,260
UniRef100_A0A6N6JH48,28,38,260
UniRef100_A0A5R9EVG0,29,44,260
UniRef100_A0A6M8EMB9,29,42,260
MGYP000272317270,29,59,260
UniRef100_A0A8J2VJE9,29,53,260
UniRef100_UPI0023536CBA,30,41,260
UniRef100_UPI00119E76AE,30,42,260
UniRef100_A0A401FKS1,29,46,260
UniRef100_A0A0R1M0Q7,29,48,260
UniRef100_UPI0007E456C1,29,44,260
UPI00043F39A9,30,42,260
UniRef100_UPI0011BB2D5E,29,48,260
UniRef100_UPI001BCDB71B,29,47,260
3300021387.a:Ga0223845_12307769_2,28,33,260
UniRef100_UPI000DD0309D,29,52,260
UniRef100_UPI00047F0F87,28,34,260
UniRef100_A0A7C7RCF9,30,37,260
UniRef100_A0A7S4DHV5,29,45,260
UniRef100_A0A2N5M852,30,43,260
I4D368,29,46,260
A0A1H6KFQ4,30,43,260
UniRef100_T0KTP2,29,45,260
UniRef100_UPI001F513B2F,29,45,260
UniRef100_A0A5E4JGE7,28,41,260
UniRef100_A0A497C7V2,30,46,260
UniRef100_A0A0N9ZE18,29,32,260
UniRef100_A0A3M1MZ61,30,35,260
UniRef100_UPI00203B3423,30,40,260
UniRef100_UPI00048D9198,29,36,260
UniRef100_UPI000C230F7A,29,36,260
UniRef100_E2ZC43,31,45,260
UniRef100_UPI001C27809E,29,47,260
UniRef100_G7Q478,29,45,260
MGYP000981878658,29,42,260
A0A2H0BH54,28,36,260
MGYP000387627614,29,41,260
MGYP001431016796,30,48,260
UniRef100_A0A0R1M9J9,29,39,260
UniRef100_A0A2M8P1H8,28,33,260
MGYP001400147149,29,40,260
UniRef100_A0A838CR96,29,39,260
UniRef100_UPI000F7A779D,29,42,260
