Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_A2E1P5,24,13,79
UniRef100_A0A2D7E418,24,13,79
tr|A0A0P4WIE0|A0A0P4WIE0_9EUCA,25,14,79
tr|A0A0D2LVH1|A0A0D2LVH1_GOSRA,26,13,79
tr|A0A147ARX7|A0A147ARX7_FUNHE,25,12,79
UniRef100_A0A812NBR3,52,14,79
tr|A0A0C2D290|A0A0C2D290_9BILA,25,13,79
UniRef100_A0A1W0A5Q4,25,13,79
tr|A0A0P4WMI5|A0A0P4WMI5_9EUCA,26,12,79
UniRef100_A0A6A4SPL4,25,13,79
tr|A0A0C1SZE5|A0A0C1SZE5_9CYAN,25,17,79
tr|A0A164V7F0|A0A164V7F0_DAUCA,24,14,79
UniRef100_A0A452UXV3,25,12,79
tr|A0A1F3A116|A0A1F3A116_9PROT,25,13,79
tr|A0A0K9R6Q5|A0A0K9R6Q5_SPIOL,52,14,79
UniRef100_A0A2P6NJR6,25,16,79
tr|A0A1L7T9C2|A0A1L7T9C2_GIBIN,24,14,79
UniRef100_A0A1I8JEC3,25,12,79
tr|A0A1J5SPA4|A0A1J5SPA4_9ZZZZ,25,13,79
UniRef100_A0A7S2I9M3,53,13,79
tr|B9N4W0|B9N4W0_POPTR,25,17,79
UniRef100_UPI00145F083E,25,13,79
tr|A0A0S4J1R1|A0A0S4J1R1_BODSA,51,12,79
UniRef100_A0A7M3RAF2,25,15,79
tr|A0A0C1GSJ6|A0A0C1GSJ6_9RHOB,25,16,79
UniRef100_A0A8H7SKW1,24,12,79
tr|A0A0P7UP52|A0A0P7UP52_9TELE,29,14,79
UniRef100_A0A1N6F6E9,25,12,79
tr|M7B9A2|M7B9A2_CHEMY,25,16,79
tr|A0A1B6APM4|A0A1B6APM4_9ACTN,25,14,79
tr|A0A1S3L6I7|A0A1S3L6I7_SALSA,26,15,79
UniRef100_A0A830HXL5,51,13,79
UniRef100_A0A7S3DM07,25,13,79
UniRef100_A0A8B8EUK4,53,13,79
tr|W9RLH9|W9RLH9_9ROSA,52,13,79
tr|A0A0M6YM51|A0A0M6YM51_9RHOB,25,13,79
tr|M0XLS3|M0XLS3_HORVD,25,13,79
