Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,19,532,5022
MGYP000902592058,8,43,496
11762|Ga0302304_11169405_1|+1|10,19,71,496
UniRef100_C7BQE6,19,55,496
SRR5690348_6113944,19,51,496
UniRef100_A0A2E2E4D2,19,61,496
UniRef100_A0A2V7WY84,19,49,496
UniRef100_A0A0W0VKW3,19,78,496
UniRef100_A0A934CSS0,7,44,496
3300020714.a:Ga0214182_1001246_8,9,39,496
UniRef100_A0A539DW22,20,56,496
UniRef100_A0A2N6GHU1,19,45,496
A0A2E2P0E8,19,62,496
UniRef100_UPI0019803722,19,63,496
UniRef100_A0A2H4ZGA3,19,51,496
ERR1035437_754504,19,48,496
UniRef100_A0A7L9R975,19,62,496
MGYP001123568598,19,53,496
UniRef100_UPI000463D749,9,48,496
SRR5579885_3479564,19,55,496
UniRef100_A0A095VEB3,19,61,496
UniRef100_UPI00035DB439,9,43,496
A0A139VR67,19,64,496
UniRef100_UPI00082B17F8,19,47,496
UniRef100_A0A418WJD0,19,44,496
SRR5690242_18904345,20,41,496
UniRef100_A0A5N5RJM2,19,68,496
A1U820,19,72,496
UniRef100_A0A9E8KW24,19,93,496
C8X073,8,42,496
UniRef100_A0A1M4V0G9,19,60,496
UniRef100_A0A967Z7J6,19,47,496
21914|scaffold342203_1|+3|10,19,73,496
A0A1I5U8E8,19,67,496
UniRef100_A0A2T2WLJ2,19,50,496
UniRef100_A0A7Y0BRS8,19,65,496
MGYP000067756917,19,50,496
UniRef100_A0A2A6HYF6,20,51,496
UniRef100_UPI00200C6B7A,19,61,496
SRR3990167_6171658,19,50,496
MGYP000939490761,19,62,496
MGYP000238057308,19,77,496
SRR3546814_10981111,19,55,496
SRR5258706_2057691,19,76,496
MGYP000980434614,19,59,496
MGYP000389122552,7,42,496
ERR1041385_1377671,19,56,496
UniRef100_UPI001A8F3153,20,43,496
SRR5271157_1784534,19,45,496
MGYP000100174614,19,67,496
UniRef100_A0A1H3XN79,19,70,496
UniRef100_UPI001B7FA06B,19,61,496
SRR5690606_8137719,19,62,496
A0A0K1RDY7,20,60,496
UniRef100_UPI001C955149,19,41,496
SRR5882724_4872393,6,47,496
MGYP001263537148,8,45,496
UniRef100_UPI001F06B515,19,49,496
SRR5215469_8101413,7,46,496
UniRef100_A0A6L8EB95,19,77,496
UniRef100_UPI0021BC712A,19,72,496
UniRef100_UPI00037877AE,8,53,496
SRR5207237_7740672,7,59,496
UniRef100_A0A4R2MZT9,20,50,496
MGYP000573705625,19,67,496
10840|scaffold107852_2|-450|00,19,68,496
SRR5437868_4540218,8,46,496
MGYP000895608820,8,50,496
UniRef100_A0A9C8ZLM4,19,46,496
UniRef100_A0A9D5ZFR0,6,39,496
MGYP000252061614,19,71,496
UniRef100_UPI001F0831BE,19,44,496
SRR5262245_37979910,19,56,496
UniRef100_UPI0020127D90,19,48,496
MGYP000896229227,7,46,496
UniRef100_UPI000882BF59,11,47,496
A0A1Z4GWV5,8,43,496
SRR6266571_3389742,8,51,496
UniRef100_UPI00135BB559,20,39,496
MGYP000745980588,20,44,496
SRR5258706_7893928,19,49,496
SRR5437899_12896882,18,41,496
MGYP001097629024,19,46,496
SRR5438105_4791228,9,56,496
UniRef100_A0A511QVQ1,19,75,496
SRR5208283_632435,20,53,496
UniRef100_A0A7H1NRP5,5,38,496
SRR5689334_21255833,6,68,496
UniRef100_A0A2S6CYJ4,19,45,496
UniRef100_UPI00167A9604,8,44,496
UniRef100_A0A850NR02,9,49,496
ERR1041385_7264329,19,53,496
SRR5207248_10630720,19,45,496
UniRef100_A0A965PQM7,19,55,496
ERR1700730_8013868,19,61,496
UniRef100_A0A1F9CX82,19,54,496
