Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,16,105,1000
rank_038_count_0074_seq_000038,17,20,160
rank_046_count_0071_seq_000046,16,15,160
rank_009_count_0101_seq_000009,16,24,160
rank_047_count_0071_seq_000047,18,16,160
rank_020_count_0085_seq_000020,17,17,160
rank_049_count_0069_seq_000049,17,15,160
rank_016_count_0089_seq_000016,15,22,160
rank_044_count_0072_seq_000044,15,17,160
rank_024_count_0080_seq_000024,16,21,160
rank_015_count_0092_seq_000015,17,19,160
rank_001_count_0117_seq_000001,17,21,160
rank_039_count_0074_seq_000039,17,17,160
rank_036_count_0075_seq_000036,16,14,160
rank_034_count_0076_seq_000034,17,17,160
rank_023_count_0080_seq_000023,16,17,160
rank_003_count_0116_seq_000003,19,20,160
rank_018_count_0087_seq_000018,19,20,160
rank_008_count_0104_seq_000008,16,27,160
rank_041_count_0073_seq_000041,16,22,160
rank_040_count_0073_seq_000040,17,17,160
rank_012_count_0097_seq_000012,16,23,160
rank_050_count_0069_seq_000050,17,18,160
rank_022_count_0081_seq_000022,16,18,160
rank_014_count_0094_seq_000014,16,20,160
rank_028_count_0078_seq_000028,17,18,160
rank_007_count_0105_seq_000007,16,21,160
rank_006_count_0106_seq_000006,16,22,160
rank_037_count_0075_seq_000037,18,20,160
rank_048_count_0070_seq_000048,14,18,160
rank_045_count_0072_seq_000045,17,14,160
rank_021_count_0084_seq_000021,16,22,160
rank_043_count_0072_seq_000043,16,17,160
rank_011_count_0099_seq_000011,18,18,160
rank_017_count_0088_seq_000017,16,20,160
rank_042_count_0073_seq_000042,17,18,160
rank_004_count_0110_seq_000004,17,20,160
rank_030_count_0078_seq_000030,16,26,160
rank_005_count_0109_seq_000005,16,22,160
rank_035_count_0075_seq_000035,16,20,160
rank_031_count_0077_seq_000031,16,20,160
rank_026_count_0078_seq_000026,17,23,160
rank_029_count_0078_seq_000029,16,16,160
rank_033_count_0076_seq_000033,17,22,160
rank_025_count_0079_seq_000025,17,20,160
rank_032_count_0076_seq_000032,14,20,160
rank_019_count_0086_seq_000019,17,24,160
rank_027_count_0078_seq_000027,19,17,160
rank_010_count_0100_seq_000010,19,20,160
rank_013_count_0096_seq_000013,16,23,160
rank_002_count_0116_seq_000002,16,24,160
