Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
tr|G8LRB9|G8LRB9_9FLAO,11,48,240
tr|R5J4I4|R5J4I4_9FIRM,11,53,240
tr|G4D007|G4D007_9ACTN,10,42,240
tr|D2VVX6|D2VVX6_NAEGR,9,57,240
tr|A0A1I7SSW0|A0A1I7SSW0_BURXY,11,45,240
tr|A0A165VFT2|A0A165VFT2_NILLU,11,46,240
tr|A0A182G578|A0A182G578_AEDAL,10,42,240
tr|A0A1J4GDZ5|A0A1J4GDZ5_9STAP,11,49,240
tr|A3GHJ4|A3GHJ4_PICST,7,49,240
tr|C5LC75|C5LC75_PERM5,11,44,240
tr|M0RZW6|M0RZW6_MUSAM,9,47,240
tr|A0A078AQZ4|A0A078AQZ4_STYLE,11,42,240
tr|A0A1L9STE1|A0A1L9STE1_9EURO,9,39,240
tr|A0A023X7J5|A0A023X7J5_9ACTN,12,45,240
tr|A0A0C4DJX5|A0A0C4DJX5_MAGP6,11,50,240
tr|G7JBL5|G7JBL5_MEDTR,11,51,240
tr|X5JLF4|X5JLF4_9NOST,9,40,240
tr|G8JXE4|G8JXE4_ERECY,10,34,240
tr|H0W0J2|H0W0J2_CAVPO,10,55,240
tr|V6UG49|V6UG49_9ACTN,11,46,240
tr|A0A1F2P384|A0A1F2P384_9EURY,10,47,240
tr|A0A0M2U475|A0A0M2U475_9FIRM,10,44,240
tr|A0A0M3K8Y1|A0A0M3K8Y1_ANISI,9,44,240
tr|A0A1L7TU96|A0A1L7TU96_9HYPO,11,50,240
tr|A7SGJ3|A7SGJ3_NEMVE,10,41,240
tr|A0A1J4W269|A0A1J4W269_9ARCH,11,52,240
tr|A0A1A7ZER6|A0A1A7ZER6_NOTFU,12,54,240
tr|F3KZS5|F3KZS5_9GAMM,11,46,240
tr|A0A1Q3UKR8|A0A1Q3UKR8_9SPHI,10,46,240
tr|A0A0C3BBP9|A0A0C3BBP9_9HOMO,11,42,240
tr|F6TE38|F6TE38_XENTR,11,53,240
tr|K0P5C4|K0P5C4_9BACT,11,52,240
tr|U1Q2N7|U1Q2N7_9ACTO,10,42,240
tr|W4ZCB1|W4ZCB1_STRPU,10,42,240
tr|A0A178ANQ5|A0A178ANQ5_9PLEO,12,56,240
tr|E3JUQ4|E3JUQ4_PUCGT,11,59,240
tr|A0A1C5PWL1|A0A1C5PWL1_9FIRM,10,43,240
tr|A0A0F2KVV6|A0A0F2KVV6_9PROT,10,44,240
tr|R6XIK4|R6XIK4_9BACT,11,40,240
tr|A0A1H9FRR9|A0A1H9FRR9_9SPIO,11,44,240
tr|A0A1E4SU53|A0A1E4SU53_9ASCO,7,36,240
tr|C6H9F7|C6H9F7_AJECH,11,49,240
tr|A0A1M6IYX0|A0A1M6IYX0_9CLOT,10,48,240
tr|A0A1A6YPT7|A0A1A6YPT7_9NOST,9,43,240
tr|A0A1J4W048|A0A1J4W048_9ARCH,10,41,240
tr|A0A1F3CQU5|A0A1F3CQU5_9BACT,11,49,240
tr|C1BMJ0|C1BMJ0_CALRO,11,54,240
tr|H2V9S5|H2V9S5_TAKRU,11,44,240
tr|K2FG13|K2FG13_9ZZZZ,11,44,240
tr|A0A1L0DKL6|A0A1L0DKL6_9ASCO,10,55,240
tr|A0A1F9ZE35|A0A1F9ZE35_9EURY,9,44,240
tr|A0A1L9G670|A0A1L9G670_CORDP,11,52,240
tr|A0A0S7LUH9|A0A0S7LUH9_9TELE,11,55,240
