Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
101,7,1323,2500
MGYP001103499012,7,30,49
UniRef100_UPI0005F0715B,7,23,49
ERR1719378_1950428,7,26,49
UniRef100_UPI001CDC40AA,7,30,49
UniRef100_Q9U2U8,7,24,49
A0A151M188,7,27,49
UniRef100_A0A818F958,7,18,49
UniRef100_A0A8D9BPY6,7,24,49
UniRef100_UPI000E6E2328,7,32,49
UniRef100_UPI0022DF808C,7,32,49
UniRef100_A0A811K687,7,28,49
L8HDH5,7,31,49
UniRef100_A0A8C7Z7B7,7,25,49
UniRef100_A0A1A6H976,7,28,49
ERR1719285_1632577|ERR1726614_k119_1852874|+|1718|0|8|452|4227|452[452]:1078[1078]:627[627]|1388[1388]:1633[1633]:246[246]|1972[1978]:2106[2106]:135[129]|2270[2270]:2512[2512]:243[243]|2612[2615]:3031[3031]:420[417]|3080[3095]:3355[3355]:276[261]|3558[3558]:3758[3758]:201[201]|4054[4054]:4227[4227]:174[174],7,30,49
ERR1712136_194773,7,21,49
UniRef100_A0A2G8JGB6,7,18,49
ERR1711988_582555,7,31,49
A0A0N5E4U7,7,32,49
UniRef100_A0A226DUU9,7,25,49
UniRef100_A0A4Z2DW61,7,26,49
UniRef100_A0A3P9Q6E2,7,30,49
UniRef100_A0A261CJB1,7,32,49
UniRef100_A0A1D2MH26,7,28,49
UniRef100_A0A7C9AH48,7,28,49
UniRef100_A8XHW0,7,24,49
UniRef100_UPI0020B3271A,7,35,49
TARA_MED_95_MAG_00463_000000001373.5.11,7,28,49
UniRef100_F0WWH4,7,18,49
UniRef100_A0A3M6TK71,7,23,49
MGYP001043895668,7,23,49
UniRef100_A0A8C1H9U8,7,31,49
UniRef100_A0A6P7Y4Y6,7,19,49
UniRef100_A0A9D3MKP7,7,33,49
UniRef100_A0A1D1WA82,7,20,49
UniRef100_UPI00083994BF,7,31,49
ERR1719342_1514845,7,30,49
UniRef100_A0A851YAK8,7,24,49
UniRef100_A0A061S7W5,7,30,49
SRR3989338_108042,7,26,49
UniRef100_A0A914DIE0,7,30,49
9309|Ga0210274_1574327_1|-42|01,7,21,49
UniRef100_UPI001402A2BC,7,32,49
UniRef100_UPI001BF7967D,7,28,49
UniRef100_A0A024UXU4,7,34,49
S4RR31,7,27,49
UniRef100_A0A914AF89,7,25,49
