,"3L0S_1|Chains A, B[auth C]|Adenylate kinase|Desulfovibrio gigas (879)","4NP6_1|Chains A, B, C, D|Adenylate kinase|Vibrio cholerae O1 biovar El Tor (243277)",2XB4_1|Chain A|ADENYLATE KINASE|DESULFOVIBRIO GIGAS (879),"2C9Y_1|Chain A|ADENYLATE KINASE ISOENZYME 2, MITOCHONDRIAL|HOMO SAPIENS (9606)",4W5H_1|Chain A|Adenylate kinase|Streptococcus pneumoniae D39 (373153),6S36_1|Chain A|Adenylate kinase|Escherichia coli (562),6RZE_1|Chain A|Adenylate kinase|Escherichia coli (562),"4PZL_1|Chains A, B, C, D|Adenylate kinase|Francisella tularensis subsp. tularensis (177416)",3L0P_1|Chain A|Adenylate kinase|Desulfovibrio gigas (879)
UniRef100_A0A1Y6F1K7,0.36018957345971564,0.7230046948356808,0.36018957345971564,0.46634615384615385,0.41379310344827586,0.704225352112676,0.704225352112676,0.5446009389671361,0.36018957345971564
UniRef100_A0A1H3Y9N2,0.33649289099526064,0.6431924882629108,0.33490566037735847,0.46153846153846156,0.4236453201970443,0.647887323943662,0.647887323943662,0.5539906103286385,0.33649289099526064
UniRef100_A0A2E9VDK4,0.3160377358490566,0.6009389671361502,0.3160377358490566,0.46634615384615385,0.4482758620689655,0.5539906103286385,0.5539906103286385,0.5352112676056338,0.3160377358490566
UniRef100_A0A960RTW1,0.3076923076923077,0.4019607843137255,0.3076923076923077,0.39215686274509803,0.3768844221105528,0.4117647058823529,0.4117647058823529,0.3872549019607843,0.3076923076923077
UniRef100_A0A957W8F3,0.3480392156862745,0.43902439024390244,0.3480392156862745,0.3902439024390244,0.475,0.40487804878048783,0.40487804878048783,0.3853658536585366,0.3480392156862745
UniRef100_A0A938TB16,0.29901960784313725,0.3883495145631068,0.29411764705882354,0.33980582524271846,0.3482587064676617,0.3592233009708738,0.3592233009708738,0.3786407766990291,0.29901960784313725
UniRef100_A0A5C5Y5P7,0.3218390804597701,0.4114285714285714,0.3218390804597701,0.41714285714285715,0.37142857142857144,0.4114285714285714,0.4114285714285714,0.37142857142857144,0.3218390804597701
UniRef100_A0A645EEG9,0.3615819209039548,0.42134831460674155,0.3559322033898305,0.4044943820224719,0.3539325842696629,0.4157303370786517,0.4101123595505618,0.39325842696629215,0.3615819209039548
UniRef100_A0A7S4KQ35,0.29081632653061223,0.34517766497461927,0.2857142857142857,0.30456852791878175,0.3096446700507614,0.29441624365482233,0.29441624365482233,0.3147208121827411,0.29081632653061223
12613|JGI10216J12902_122417909_2|-130|01,0.3285024154589372,0.4230769230769231,0.3285024154589372,0.4182692307692308,0.3793103448275862,0.4423076923076923,0.4423076923076923,0.3557692307692308,0.3285024154589372
ETNvirome_6_1000_1030641.scaffolds.fasta_scaffold449056_1,0.31343283582089554,0.33980582524271846,0.31343283582089554,0.32524271844660196,0.3482587064676617,0.32524271844660196,0.32524271844660196,0.35784313725490197,0.31343283582089554
SRR6185312_5854521,0.3502824858757062,0.4157303370786517,0.3502824858757062,0.4044943820224719,0.39325842696629215,0.4044943820224719,0.4044943820224719,0.4157303370786517,0.3502824858757062
